FrameTimeMillis,MemoryUsageBytes,Technique
35.8309,0,NaiveDebugWorld
257.6653,879008,NaiveDebugWorld
37.0996,2866680,NaiveDebugWorld
44.4288,36167536,NaiveDebugWorld
547.2182,102441720,NaiveDebugWorld
942.8575,104416784,NaiveDebugWorld
44.7251,106617832,NaiveDebugWorld
40.5114,172896768,NaiveDebugWorld
748.1729,245884456,NaiveDebugWorld
665.7278,245883128,NaiveDebugWorld
8.363501,245889432,NaiveDebugWorld
4.6633,245889912,NaiveDebugWorld
4.8903,245890392,NaiveDebugWorld
104.8851,245885048,NaiveDebugWorld
96.4898,245885528,NaiveDebugWorld
34.821,245891832,NaiveDebugWorld
35.6247,245892312,NaiveDebugWorld
36.1476,245892792,NaiveDebugWorld
36.1295,245893272,NaiveDebugWorld
92.103,248168704,NaiveDebugWorld
19.8054,250443848,NaiveDebugWorld
17.5146,325169232,NaiveDebugWorld
495.0619,399896344,NaiveDebugWorld
500.7021,402171056,NaiveDebugWorld
21.013,404451464,NaiveDebugWorld
18.8296,479181624,NaiveDebugWorld
5.3338,0,CullingDebugWorld
101.0408,764560,CullingDebugWorld
34.6552,942296,CullingDebugWorld
9.9478,1294808,CullingDebugWorld
11.1211,1661568,CullingDebugWorld
53.2926,2005600,CullingDebugWorld
11.7629,2390576,CullingDebugWorld
11.9775,2757352,CullingDebugWorld
54.2034,2877560,CullingDebugWorld
56.861,2878472,CullingDebugWorld
5.4423,2878952,CullingDebugWorld
5.1084,2879432,CullingDebugWorld
5.7759,2879912,CullingDebugWorld
5.8991,2880392,CullingDebugWorld
5.5244,2880872,CullingDebugWorld
6.4669,2881352,CullingDebugWorld
5.4359,2881848,CullingDebugWorld
5.4876,2882328,CullingDebugWorld
5.4757,2882808,CullingDebugWorld
110.79,2880472,CullingDebugWorld
57.2555,3271144,CullingDebugWorld
11.6672,3661888,CullingDebugWorld
11.0333,3664576,CullingDebugWorld
55.9163,4055488,CullingDebugWorld
11.7527,4446232,CullingDebugWorld
11.9078,4448952,CullingDebugWorld
39.9328,0,NaiveDebugWorld
165.303,883216,NaiveDebugWorld
23.0446,2864800,NaiveDebugWorld
27.7564,36167472,NaiveDebugWorld
340.8522,102441656,NaiveDebugWorld
656.5276,104416752,NaiveDebugWorld
19.803,106617800,NaiveDebugWorld
17.9786,172896736,NaiveDebugWorld
426.1289,245885904,NaiveDebugWorld
465.8108,245885560,NaiveDebugWorld
8.0619,245890360,NaiveDebugWorld
5.1606,245890840,NaiveDebugWorld
4.3407,245891320,NaiveDebugWorld
104.6911,245885016,NaiveDebugWorld
48.3164,245891320,NaiveDebugWorld
35.3039,245891800,NaiveDebugWorld
35.9188,245892280,NaiveDebugWorld
35.9699,245892760,NaiveDebugWorld
37.1453,245893240,NaiveDebugWorld
94.6331,248162848,NaiveDebugWorld
18.9334,250443840,NaiveDebugWorld
17.664,325169232,NaiveDebugWorld
496.0492,399896304,NaiveDebugWorld
524.3995,402171016,NaiveDebugWorld
21.9405,404451424,NaiveDebugWorld
18.4016,479181584,NaiveDebugWorld
5.0199,0,CullingDebugWorld
102.8719,764552,CullingDebugWorld
35.077,942272,CullingDebugWorld
9.6951,1290456,CullingDebugWorld
11.0739,1657296,CullingDebugWorld
52.7542,2009728,CullingDebugWorld
11.6258,2390488,CullingDebugWorld
10.7723,2757264,CullingDebugWorld
53.2303,2877568,CullingDebugWorld
56.4803,2877088,CullingDebugWorld
5.4318,2877568,CullingDebugWorld
5.3441,2879400,CullingDebugWorld
5.6346,2879880,CullingDebugWorld
5.2137,2880360,CullingDebugWorld
5.7504,2880840,CullingDebugWorld
7.0173,2881320,CullingDebugWorld
5.0554,2881800,CullingDebugWorld
5.4176,2882280,CullingDebugWorld
5.1697,2882776,CullingDebugWorld
107.5407,2880392,CullingDebugWorld
58.7357,3271064,CullingDebugWorld
12.2008,3661904,CullingDebugWorld
11.5006,3664496,CullingDebugWorld
55.2584,4058536,CullingDebugWorld
14.7888,4450440,CullingDebugWorld
11.9355,4453016,CullingDebugWorld
38.5525,0,NaiveDebugWorld
169.8727,878992,NaiveDebugWorld
24.1405,2860600,NaiveDebugWorld
31.9423,36163264,NaiveDebugWorld
396.333,102437472,NaiveDebugWorld
647.5105,104412528,NaiveDebugWorld
19.5925,106613584,NaiveDebugWorld
17.1916,172892512,NaiveDebugWorld
