FrameTimeMillis,MemoryUsageBytes,Technique
37.9705,0,NaiveDebugWorld
37.3444,3304,NaiveDebugWorld
37.8531,-1128,NaiveDebugWorld
38.2655,-632,NaiveDebugWorld
39.1825,-376,NaiveDebugWorld
40.4192,424,NaiveDebugWorld
34.3274,808,NaiveDebugWorld
38.085,1288,NaiveDebugWorld
39.153,1704,NaiveDebugWorld
37.2431,2344,NaiveDebugWorld
37.8416,2728,NaiveDebugWorld
46.8087,2984,NaiveDebugWorld
40.1853,3784,NaiveDebugWorld
33.2322,4168,NaiveDebugWorld
33.3991,4792,NaiveDebugWorld
33.898,5048,NaiveDebugWorld
38.3065,5848,NaiveDebugWorld
30.6263,6232,NaiveDebugWorld
27.6959,6712,NaiveDebugWorld
29.2766,6968,NaiveDebugWorld
29.2749,7608,NaiveDebugWorld
30.3275,8248,NaiveDebugWorld
27.8472,8632,NaiveDebugWorld
31.2588,9112,NaiveDebugWorld
33.4663,9368,NaiveDebugWorld
29.7462,10168,NaiveDebugWorld
28.4689,10648,NaiveDebugWorld
28.0503,11032,NaiveDebugWorld
26.5557,11512,NaiveDebugWorld
29.0535,11880,NaiveDebugWorld
29.5659,12632,NaiveDebugWorld
28.9289,74732832,NaiveDebugWorld
834.9526,76999392,NaiveDebugWorld
35.2297,77022808,NaiveDebugWorld
16.34,151749896,NaiveDebugWorld
504.9837,154009208,NaiveDebugWorld
29.7251,154018056,NaiveDebugWorld
12.6739,228747704,NaiveDebugWorld
507.2647,231015888,NaiveDebugWorld
24.0575,231024816,NaiveDebugWorld
7.7222,264186600,NaiveDebugWorld
226.7551,265161400,NaiveDebugWorld
18.2448,265169808,NaiveDebugWorld
7.8526,298331592,NaiveDebugWorld
265.4773,299302432,NaiveDebugWorld
24.7977,299310840,NaiveDebugWorld
10.6398,299309984,NaiveDebugWorld
31.1935,299310368,NaiveDebugWorld
118.8694,299305024,NaiveDebugWorld
51.4272,299311328,NaiveDebugWorld
52.2198,299311904,NaiveDebugWorld
53.5937,299312288,NaiveDebugWorld
49.6648,299312544,NaiveDebugWorld
