FrameTimeMillis,MemoryUsageBytes,Technique
37.477,0,NaiveDebugWorld
38.5922,2235848,NaiveDebugWorld
37.379,2237680,NaiveDebugWorld
37.3198,2238176,NaiveDebugWorld
38.1126,2238688,NaiveDebugWorld
41.591,2239168,NaiveDebugWorld
36.678,2239648,NaiveDebugWorld
37.586,2240128,NaiveDebugWorld
41.328,2239104,NaiveDebugWorld
40.3144,2238560,NaiveDebugWorld
33.638,2239040,NaiveDebugWorld
41.3469,2239520,NaiveDebugWorld
5.0311,0,CullingDebugWorld
6.2669,5456,CullingDebugWorld
56.4041,397960,CullingDebugWorld
12.2592,402240,CullingDebugWorld
5.4969,402464,CullingDebugWorld
5.2854,402944,CullingDebugWorld
5.5806,403424,CullingDebugWorld
5.3533,403904,CullingDebugWorld
5.2133,404384,CullingDebugWorld
5.5766,404864,CullingDebugWorld
5.3138,405344,CullingDebugWorld
4.8283,405856,CullingDebugWorld
5.3175,406336,CullingDebugWorld
5.5466,409696,CullingDebugWorld
42.1932,0,NaiveDebugWorld
35.4188,2235472,NaiveDebugWorld
61.314,2237696,NaiveDebugWorld
16.9296,2238192,NaiveDebugWorld
37.5217,2238704,NaiveDebugWorld
35.4624,2239184,NaiveDebugWorld
38.8192,2239664,NaiveDebugWorld
38.2523,2240144,NaiveDebugWorld
40.4734,2239120,NaiveDebugWorld
36.1644,2238576,NaiveDebugWorld
41.1319,2239056,NaiveDebugWorld
35.0253,2239536,NaiveDebugWorld
5.2232,0,CullingDebugWorld
4.7711,5440,CullingDebugWorld
63.537,63104,CullingDebugWorld
12.1234,62800,CullingDebugWorld
5.0871,67600,CullingDebugWorld
5.7628,68080,CullingDebugWorld
5.1513,68560,CullingDebugWorld
5.3417,69040,CullingDebugWorld
5.0466,69520,CullingDebugWorld
5.4857,70000,CullingDebugWorld
5.167,70480,CullingDebugWorld
5.0816,70992,CullingDebugWorld
5.3243,71472,CullingDebugWorld
5.2082,74832,CullingDebugWorld
35.2109,0,NaiveDebugWorld
37.7525,2235848,NaiveDebugWorld
39.7317,2237656,NaiveDebugWorld
37.9719,2238152,NaiveDebugWorld
36.7283,2238664,NaiveDebugWorld
40.0818,2239144,NaiveDebugWorld
36.5403,2239624,NaiveDebugWorld
38.5658,2238600,NaiveDebugWorld
37.2672,2239080,NaiveDebugWorld
38.2979,2238536,NaiveDebugWorld
39.9607,2239016,NaiveDebugWorld
36.7592,2239496,NaiveDebugWorld
4.7076,0,CullingDebugWorld
5.0727,5432,CullingDebugWorld
59.4671,397968,CullingDebugWorld
14.1579,397664,CullingDebugWorld
4.9906,402472,CullingDebugWorld
5.9274,402952,CullingDebugWorld
5.3294,403432,CullingDebugWorld
5.0215,403912,CullingDebugWorld
5.6198,404392,CullingDebugWorld
5.5891,404872,CullingDebugWorld
5.1097,405352,CullingDebugWorld
5.2383,405832,CullingDebugWorld
4.897,406344,CullingDebugWorld
5.356,409704,CullingDebugWorld
