FrameTimeMillis,MemoryUsageBytes,Technique,RepeatNumber
18.4143,231885448,LightOff,0
15.0857,232950243,LightOff,0
16.5897,232998544,LightOff,0
16.7081,232788340,LightOff,0
16.8737,232851375,LightOff,0
16.3131,232911825,LightOff,0
17.0965,231918371,LightOff,0
16.8836,232995789,LightOff,0
16.0294,232783570,LightOff,0
16.6164,232843413,LightOff,0
16.8689,232900137,LightOff,0
16.5603,232899317,LightOff,0
16.8079,232900256,LightOff,0
17.0029,232898340,LightOff,0
16.4581,232898328,LightOff,0
16.585,232904364,LightOff,0
16.5005,232910244,LightOff,0
16.6202,232946174,LightOff,0
16.5568,232993651,LightOff,0
16.9233,232789067,LightOff,0
16.3685,232849339,LightOff,0
17.2712,232907732,LightOff,0
16.1705,232944820,LightOff,0
16.6488,232996011,LightOff,0
17.3446,232789824,LightOff,0
16.1964,232849641,LightOff,0
16.3351,232914674,LightOff,0
16.7964,232910854,LightOff,0
16.6871,231859481,LightOff,0
16.6027,232910588,LightOff,0
16.8092,232912391,LightOff,0
16.6987,232906528,LightOff,0
16.5051,232915820,LightOff,0
16.6801,232948988,LightOff,0
16.986,232998518,LightOff,0
16.2962,232795635,LightOff,0
16.573,232857973,LightOff,0
16.9724,232923472,LightOff,0
16.485,232953474,LightOff,0
16.7731,232998465,LightOff,0
17.2391,231753620,LightOff,0
15.8844,232847477,LightOff,0
17.0498,232911206,LightOff,0
16.4873,232944615,LightOff,0
16.677,232989821,LightOff,0
16.5454,231751084,LightOff,0
17.0903,232790525,LightOff,0
16.1234,232796503,LightOff,0
16.9446,232788453,LightOff,0
16.6391,232791155,LightOff,0
16.4522,232789497,LightOff,0
16.6313,232792514,LightOff,0
17.855,232794293,LightOff,0
15.7947,232852849,LightOff,0
16.4597,232918940,LightOff,0
16.7288,232952288,LightOff,0
16.46,232995326,LightOff,0
16.986,232791836,LightOff,0
16.4735,232798704,LightOff,0
16.6049,232802914,LightOff,0
16.9028,232796933,LightOff,0
16.6001,232794713,LightOff,0
16.5674,232801364,LightOff,0
16.5246,232797238,LightOff,0
18.2555,230817007,LightOff,0
15.5067,232782140,LightOff,0
16.2041,232775642,LightOff,0
16.9923,232777290,LightOff,0
16.4059,232779800,LightOff,0
16.5744,232783755,LightOff,0
17.0356,232777979,LightOff,0
16.3139,232777891,LightOff,0
16.8967,231745156,LightOff,0
16.5226,232775148,LightOff,0
16.565,232790863,LightOff,0
17.0675,232787500,LightOff,0
16.4087,232787452,LightOff,0
16.5153,232777877,LightOff,0
16.7316,231742464,LightOff,0
17.0613,232778124,LightOff,0
16.1453,231738136,LightOff,0
17.1288,232766174,LightOff,0
16.3916,232770629,LightOff,0
16.6285,232767670,LightOff,0
