FrameTimeMillis,MemoryUsageBytes,Technique,RepeatNumber
16.9033,250756051,LightOff,0
17.4652,253711414,LightOff,0
15.7233,251772158,LightOff,0
16.6547,253006778,LightOff,0
16.5224,253460450,LightOff,0
16.8018,253012973,LightOff,0
16.3219,253471731,LightOff,0
17.2037,253002147,LightOff,0
16.426,253466615,LightOff,0
16.4682,253010848,LightOff,0
16.7228,253466277,LightOff,0
17.6762,253013325,LightOff,0
15.7219,251779122,LightOff,0
17.3229,254765052,LightOff,0
16.6521,253600431,LightOff,1
16.6476,254854923,LightOff,1
16.5289,253258469,LightOff,1
16.6503,253120518,LightOff,1
17.085,253263788,LightOff,1
16.2336,253163447,LightOff,1
16.7971,253629539,LightOff,1
16.611,253170288,LightOff,1
18.3626,251940414,LightOff,1
14.8509,253117370,LightOff,1
16.995,253256665,LightOff,1
16.4535,253117597,LightOff,1
16.7095,253263709,LightOff,1
16.7871,254931150,LightOff,1
16.6729,253280461,LightOff,2
16.8491,255490404,LightOff,2
16.9487,252269270,LightOff,2
16.1068,253761946,LightOff,2
16.6446,253296025,LightOff,2
16.5854,253762508,LightOff,2
17.2192,253296001,LightOff,2
16.3647,253762703,LightOff,2
16.3388,253307407,LightOff,2
16.732,253756734,LightOff,2
16.988,253307415,LightOff,2
16.4829,253763156,LightOff,2
17.1816,253300511,LightOff,2
17.9531,253833076,LightOff,2
17.1766,232327239,LightOn,0
16.2855,235371011,LightOn,0
16.6761,234582980,LightOn,0
16.7745,235052132,LightOn,0
16.5188,234587151,LightOn,0
16.5515,235050460,LightOn,0
16.5504,234582781,LightOn,0
17.1138,235050217,LightOn,0
16.2016,234591951,LightOn,0
16.7269,235044220,LightOn,0
16.7385,234589911,LightOn,0
16.9214,235056013,LightOn,0
16.3124,234582726,LightOn,0
17.1227,235413061,LightOn,0
16.9277,235212452,LightOn,1
16.3718,235118356,LightOn,1
16.7057,235241711,LightOn,1
17.0069,234782719,LightOn,1
16.3705,235250206,LightOn,1
16.6513,234784610,LightOn,1
16.7727,235251721,LightOn,1
16.651,234789354,LightOn,1
16.6366,235241718,LightOn,1
16.7205,234791489,LightOn,1
16.4988,235245262,LightOn,1
16.7564,234791466,LightOn,1
16.8585,235250759,LightOn,1
16.3676,235145518,LightOn,1
16.2101,234995564,LightOn,2
16.7435,234895281,LightOn,2
16.9714,235028743,LightOn,2
16.4811,234568266,LightOn,2
16.5647,235026499,LightOn,2
17.6875,233537772,LightOn,2
15.7223,235031450,LightOn,2
16.461,234563079,LightOn,2
16.8899,235030613,LightOn,2
17.2099,234563024,LightOn,2
16.1976,235033321,LightOn,2
16.7916,234571991,LightOn,2
16.1783,235028704,LightOn,2
16.6734,234940411,LightOn,2
