FrameTimeMillis,MemoryUsageBytes,Technique,RepeatNumber
18.5087,231823083,LightOff,0
168.0032,234052029,LightOff,0
11.2479,236636593,LightOff,0
69.061,233154660,LightOff,0
66.3105,234652777,LightOff,0
16.7075,234193589,LightOff,0
16.7182,234660752,LightOff,0
16.6102,234186689,LightOff,0
16.7674,234657691,LightOff,0
16.609,234186634,LightOff,0
16.6805,234657546,LightOff,0
16.4984,234193486,LightOff,0
16.8548,234651318,LightOff,0
16.6444,231957299,LightOff,0
209.0493,234085557,LightOff,0
15.2542,236075375,LightOff,0
16.372,232068159,LightOff,1
128.6722,232228019,LightOff,1
20.0028,234898026,LightOff,1
67.9085,234434025,LightOff,1
66.7229,234905951,LightOff,1
66.836,234445973,LightOff,1
33.2008,234900962,LightOff,1
16.9093,234441106,LightOff,1
16.3143,234898014,LightOff,1
16.6864,234436579,LightOff,1
17.2075,233204474,LightOff,1
16.5496,234427943,LightOff,1
16.4556,232196611,LightOff,1
166.3497,234436205,LightOff,1
8.512799,237016142,LightOff,1
16.5333,232179063,LightOff,2
128.8145,234395942,LightOff,2
12.905,236421996,LightOff,2
74.9551,234999210,LightOff,2
66.9651,234549815,LightOff,2
66.2015,235009789,LightOff,2
50.0394,234542533,LightOff,2
33.3263,235009929,LightOff,2
16.6013,234536275,LightOff,2
16.6866,235004802,LightOff,2
16.9191,234545175,LightOff,2
16.4354,235004578,LightOff,2
16.6248,234546771,LightOff,2
16.6326,232309095,LightOff,2
161.9514,234549638,LightOff,2
7.864501,237170646,LightOff,2
16.6324,232399895,LightOn,0
484.4913,233200033,LightOn,0
19.2204,233784493,LightOn,0
63.0247,235294619,LightOn,0
82.97,234823147,LightOn,0
66.6324,235297293,LightOn,0
16.7792,234829123,LightOn,0
16.5932,235287301,LightOn,0
16.6391,234828818,LightOn,0
16.6399,235296013,LightOn,0
16.7276,234820603,LightOn,0
16.6164,235292020,LightOn,0
16.7491,232590059,LightOn,0
346.3491,232915563,LightOn,0
16.9613,232096875,LightOn,1
529.4175,232910449,LightOn,1
11.5801,235543187,LightOn,1
75.2774,233480891,LightOn,1
66.8109,234978635,LightOn,1
83.2503,234520277,LightOn,1
16.4676,234982470,LightOn,1
16.8346,234519627,LightOn,1
16.5967,234983881,LightOn,1
33.7947,234517449,LightOn,1
16.1149,234983870,LightOn,1
16.5966,234520566,LightOn,1
17.0158,234975677,LightOn,1
16.3985,232282663,LightOn,1
366.9886,233141959,LightOn,1
10.0881,235432605,LightOn,1
16.8627,232387831,LightOn,2
428.6282,232812291,LightOn,2
43.6204,233036721,LightOn,2
44.4085,235281831,LightOn,2
66.4977,234807507,LightOn,2
67.2092,235284302,LightOn,2
16.2959,234818053,LightOn,2
16.5542,235277198,LightOn,2
16.8781,234820546,LightOn,2
16.4801,235277112,LightOn,2
16.7702,234813968,LightOn,2
16.6331,235279680,LightOn,2
19.5601,232574771,LightOn,2
277.8133,232899195,LightOn,2
