FrameTimeMillis,MemoryUsageBytes,Technique,RepeatNumber
1506.567,94162707,LightOff,0
597.3973,95454878,LightOff,0
83.0731,95213442,LightOff,0
18.1342,95263111,LightOff,0
44.7361,95511714,LightOff,0
49.9761,95287777,LightOff,0
50.3414,95542617,LightOff,0
16.5611,95301267,LightOff,0
16.7374,95563580,LightOff,0
16.8308,95326692,LightOff,0
16.2241,95361688,LightOff,0
16.8588,95373164,LightOff,0
16.736,95631040,LightOff,0
16.5263,95408888,LightOff,0
16.702,95644935,LightOff,0
17.3574,95445995,LightOff,0
15.898,95442745,LightOff,0
16.7201,95466354,LightOff,0
16.9401,95488303,LightOff,0
16.5297,95769020,LightOff,0
16.6144,95511244,LightOff,0
16.5365,95533680,LightOff,0
16.6215,95557387,LightOff,0
16.8668,95578113,LightOff,0
16.984,95600302,LightOff,0
28.8441,95622738,LightOff,0
13.1756,95896036,LightOff,0
7.8075,95629159,LightOff,0
16.2321,95896395,LightOff,0
16.7133,95674893,LightOff,0
16.8124,95942403,LightOff,0
16.6716,95709807,LightOff,0
16.7038,95917170,LightOff,0
16.7705,95759086,LightOff,0
16.3767,95931104,LightOff,0
16.7665,95820543,LightOff,0
16.7802,95958242,LightOff,0
16.534,95785146,LightOff,0
16.4923,95617331,LightOff,0
17.0627,96086495,LightOff,0
16.2672,95617259,LightOff,0
16.8819,95642703,LightOff,0
16.7218,96088400,LightOff,0
16.5012,95641639,LightOff,0
16.5588,96108510,LightOff,0
16.8187,95913618,LightOff,0
16.4961,96119961,LightOff,0
16.7085,95927248,LightOff,0
16.7323,96182897,LightOff,0
16.584,95949261,LightOff,0
16.7746,96207413,LightOff,0
16.8019,95974168,LightOff,0
16.6494,96182496,LightOff,0
16.4667,95617151,LightOff,0
16.8819,95628755,LightOff,0
16.2633,96264134,LightOff,0
16.8201,96045982,LightOff,0
16.6651,95628671,LightOff,0
16.6596,96324860,LightOff,0
16.6117,95628791,LightOff,0
16.9347,96114995,LightOff,0
16.3134,96344438,LightOff,0
16.8964,95640275,LightOff,0
16.5622,95640263,LightOff,0
16.6236,96391861,LightOff,0
16.5613,96183385,LightOff,0
17.0031,95641363,LightOff,0
16.4557,96463065,LightOff,0
16.7335,96228389,LightOff,0
16.6803,95629615,LightOff,0
16.5239,96478999,LightOff,0
16.7039,96285147,LightOff,0
16.8886,96517424,LightOff,0
16.5993,96310790,LightOff,0
16.5386,96457476,LightOff,0
16.8561,96408999,LightOff,0
16.4057,96456415,LightOff,0
16.6662,96467203,LightOff,0
16.9287,96500328,LightOff,0
22.2263,95660831,LightOff,0
15.9903,97101568,LightOff,0
11.5804,96086675,LightOff,0
33.3314,97153203,LightOff,0
17.6976,96931787,LightOff,0
15.7584,97221207,LightOff,0
16.5494,96131099,LightOff,0
17.0488,97240626,LightOff,0
16.4761,96131411,LightOff,0
16.4758,97260918,LightOff,0
16.7385,96131079,LightOff,0
16.5507,97284229,LightOff,0
16.7708,96131199,LightOff,0
16.717,97309186,LightOff,0
16.5083,96130871,LightOff,0
16.7017,97330600,LightOff,0
16.7658,96131015,LightOff,0
16.6954,97354749,LightOff,0
16.4894,96130831,LightOff,0
17.1566,96142547,LightOff,0
16.2811,96142679,LightOff,0
16.7518,96143707,LightOff,0
16.6614,97419029,LightOff,0
16.5284,96130931,LightOff,0
16.7535,97498320,LightOff,0
16.7234,96170034,LightOff,0
16.4251,96568820,LightOff,0
16.8749,96346091,LightOff,0
18.2235,96752201,LightOff,0
14.8692,96466571,LightOff,0
16.7319,96798468,LightOff,0
16.8464,96523375,LightOff,0
16.5966,96913009,LightOff,0
16.6565,96521995,LightOff,0
16.7412,96935282,LightOff,0
16.3862,96521331,LightOff,0
17.098,96956904,LightOff,0
16.4571,96521563,LightOff,0
16.4546,96979338,LightOff,0
16.6716,96521503,LightOff,0
16.8384,96765018,LightOff,0
16.543,97013593,LightOff,0
16.6631,96757489,LightOff,0
16.8997,96824564,LightOff,0
16.4141,96586591,LightOff,0
16.5949,96586019,LightOff,0
16.9485,96574311,LightOff,0
16.419,97115192,LightOff,0
16.8483,96927470,LightOff,0
16.6902,97201604,LightOff,0
16.3811,96562587,LightOff,0
16.75,96996796,LightOff,0
16.7563,97197012,LightOff,0
16.4797,97002752,LightOff,0
16.6955,97175347,LightOff,0
16.9006,96740715,LightOff,0
16.4581,97576382,LightOff,0
16.7251,97335166,LightOff,0
16.9614,97648503,LightOff,0
16.3743,96812079,LightOff,0
16.6325,97613330,LightOff,0
16.924,96810187,LightOff,0
16.479,97428988,LightOff,0
16.6155,97663413,LightOff,0
16.6605,96825003,LightOff,0
16.6882,97695104,LightOff,0
16.7532,97446558,LightOff,0
16.5442,97717314,LightOff,0
16.5712,97469704,LightOff,0
16.6747,97743907,LightOff,0
16.7763,97495097,LightOff,0
16.5795,97770662,LightOff,0
16.5829,97519628,LightOff,0
17.0472,97805930,LightOff,0
16.2867,97556060,LightOff,0
16.991,97827248,LightOff,0
16.6286,97581250,LightOff,0
16.298,97865909,LightOff,0
33.6146,96856779,LightOff,0
16.4281,97892209,LightOff,0
16.7875,96855591,LightOff,0
16.7812,96878811,LightOff,0
16.5299,97898195,LightOff,0
16.6269,96867171,LightOff,0
16.8079,97923108,LightOff,0
16.5184,96878479,LightOff,0
16.7326,97946303,LightOff,0
16.647,97746957,LightOff,0
16.5442,97995508,LightOff,0
16.7145,97801916,LightOff,0
16.8757,97838763,LightOff,0
16.5137,97901850,LightOff,0
16.5669,98209741,LightOff,0
16.923,97228455,LightOff,0
16.773,98529210,LightOff,0
16.4971,98340592,LightOff,0
16.9202,98302671,LightOff,0
16.1887,97310167,LightOff,0
16.7238,98622151,LightOff,0
16.7902,97354947,LightOff,0
16.5871,98719028,LightOff,0
16.6354,98497480,LightOff,0
16.8363,97428835,LightOff,0
16.4076,98733950,LightOff,0
16.9182,98547428,LightOff,0
16.5538,98955514,LightOff,0
16.6875,98669932,LightOff,0
16.6422,98944483,LightOff,0
16.9543,98752283,LightOff,0
16.515,97565175,LightOff,0
16.5466,99027160,LightOff,0
16.762,97541391,LightOff,0
16.465,99074902,LightOff,0
16.7153,97541367,LightOff,0
16.8475,99100218,LightOff,0
16.4302,97541247,LightOff,0
16.8766,99065212,LightOff,0
16.6491,98857372,LightOff,0
16.4618,99122180,LightOff,0
16.7136,98890576,LightOff,0
17.0093,99132819,LightOff,0
16.2874,97563303,LightOff,0
16.9174,99169328,LightOff,0
16.4245,98975076,LightOff,0
16.6093,99248204,LightOff,0
16.6957,98995758,LightOff,0
16.8411,99188775,LightOff,0
16.5699,99026988,LightOff,0
16.5076,99137468,LightOff,0
16.7943,99301736,LightOff,0
16.6292,99186104,LightOff,0
16.5665,99412752,LightOff,0
16.827,99611938,LightOff,0
16.9934,99687914,LightOff,0
16.3936,99542894,LightOff,0
25.4715,100095520,LightOff,0
7.7041,99910820,LightOff,0
16.4164,100344169,LightOff,0
16.9717,98655695,LightOff,0
16.6842,100594557,LightOff,0
16.5605,100414727,LightOff,0
16.6631,100638386,LightOff,0
16.6199,100416218,LightOff,0
16.7734,98704447,LightOff,0
16.6674,100709132,LightOff,0
16.5355,98692263,LightOff,0
16.7602,100742528,LightOff,0
16.5676,100494982,LightOff,0
16.7504,100788266,LightOff,0
16.588,100540400,LightOff,0
16.8005,100820632,LightOff,0
16.6789,100667252,LightOff,0
16.6346,100981573,LightOff,0
16.5212,100659915,LightOff,0
16.6586,101026659,LightOff,0
16.6768,100730239,LightOff,0
16.8628,100855736,LightOff,0
16.4788,101134655,LightOff,0
16.6011,100901665,LightOff,0
16.7556,101210590,LightOff,0
16.6595,100963034,LightOff,0
16.709,99013895,LightOff,0
16.7364,99014039,LightOff,0
16.439,101225278,LightOff,0
17.0147,99002559,LightOff,0
16.6821,99014163,LightOff,0
16.4127,101246016,LightOff,0
16.7478,101139074,LightOff,0
16.6502,101271280,LightOff,0
16.5987,101152428,LightOff,0
16.53,99008103,LightOff,0
16.9049,99228352,LightOff,0
16.4037,99243732,LightOff,0
16.8582,99554704,LightOff,0
16.8546,99383042,LightOff,0
16.3981,99973657,LightOff,0
17.4279,99874971,LightOff,0
16.3704,100011340,LightOff,0
16.1239,100054222,LightOff,0
17.0139,99694327,LightOff,0
16.7152,100278518,LightOff,0
16.3006,100047150,LightOff,0
16.7007,100234911,LightOff,0
20.9662,100305247,LightOff,0
12.5793,100989234,LightOff,0
16.5446,100677399,LightOff,0
16.7669,101086884,LightOff,0
16.6988,101281448,LightOff,0
16.6121,100709095,LightOff,0
16.4902,101293963,LightOff,0
16.5564,101134803,LightOff,0
16.7913,101368072,LightOff,0
16.7709,101656947,LightOff,0
17.2636,101956603,LightOff,0
15.9305,101664059,LightOff,0
16.8262,102142886,LightOff,0
16.7316,101347815,LightOff,0
16.4793,102050013,LightOff,0
16.7869,101870410,LightOff,0
16.4329,101881423,LightOff,0
16.6137,102076674,LightOff,0
16.7425,101908105,LightOff,0
16.6972,102155952,LightOff,0
16.5732,101994484,LightOff,0
16.9263,102213424,LightOff,0
16.845,102036406,LightOff,0
16.5087,102282066,LightOff,0
16.6714,102027002,LightOff,0
16.5121,102291822,LightOff,0
16.5733,102061294,LightOff,0
16.7725,101449367,LightOff,0
20.7992,102159136,LightOff,0
12.2418,102217555,LightOff,0
17.173,102229321,LightOff,0
16.4108,102451449,LightOff,0
16.5579,102283169,LightOff,0
16.7102,101556867,LightOff,0
22.8398,102796010,LightOff,0
10.1535,102580384,LightOff,0
17.0424,103133807,LightOff,0
16.6859,102887957,LightOff,0
16.5534,103347960,LightOff,0
18.0858,103716343,LightOff,0
14.8995,103279081,LightOff,0
17.0831,103478313,LightOff,0
17.0698,103349521,LightOff,0
16.1919,103841697,LightOff,0
16.8817,103471265,LightOff,0
16.6009,103775117,LightOff,0
16.7268,102647143,LightOff,0
16.5293,102804578,LightOff,0
16.8698,102970934,LightOff,0
21.8659,103162221,LightOff,0
10.9314,102956671,LightOff,0
17.0672,102945387,LightOff,0
16.5997,103271146,LightOff,0
17.7648,103423249,LightOff,0
15.3212,103447430,LightOff,0
16.84,103610282,LightOff,0
16.6396,103416754,LightOff,0
16.7386,103560893,LightOff,0
16.7085,103879618,LightOff,0
16.4273,103656532,LightOff,0
16.8513,103381063,LightOff,0
16.6025,103944015,LightOff,0
16.7848,103758425,LightOff,0
16.5387,104015019,LightOff,0
16.7034,103839662,LightOff,0
16.6721,104013314,LightOff,0
16.5941,103446183,LightOff,0
16.5579,104028324,LightOff,0
16.798,103869820,LightOff,0
16.6823,104027895,LightOff,0
16.6109,103917027,LightOff,0
16.7676,103403951,LightOff,0
16.7108,104154980,LightOff,0
16.4516,103403927,LightOff,0
