FrameTimeMillis,MemoryUsageBytes,Technique,RepeatNumber
16.7288,253061484,NoParrallel,0
16.5914,253124090,NoParrallel,0
16.6284,253167672,NoParrallel,0
16.8335,253207742,NoParrallel,0
16.5012,253000215,NoParrallel,0
16.9372,253063169,NoParrallel,0
16.6836,253126751,NoParrallel,0
16.4961,253162131,NoParrallel,0
16.4983,253197515,NoParrallel,0
16.7545,252997297,NoParrallel,0
16.579,253052072,NoParrallel,0
17.1173,253115974,NoParrallel,0
16.3681,253157947,NoParrallel,0
16.9548,253194632,NoParrallel,0
16.2525,252990874,NoParrallel,0
16.7108,253062837,NoParrallel,0
16.6318,253124967,NoParrallel,0
16.9365,253169415,NoParrallel,0
16.7036,253202727,NoParrallel,0
17.4855,252996949,NoParrallel,0
15.6545,253057355,NoParrallel,0
16.5765,253124867,NoParrallel,0
16.4806,253161320,NoParrallel,0
16.6992,253191965,NoParrallel,0
16.7097,252988516,NoParrallel,0
16.6549,253054565,NoParrallel,0
16.6848,253112693,NoParrallel,0
17.3697,252116223,NoParrallel,0
15.8934,253188519,NoParrallel,0
16.6807,252979192,NoParrallel,0
16.7297,253037383,NoParrallel,0
16.5849,253102731,NoParrallel,0
16.8714,253100846,NoParrallel,0
16.5251,253096171,NoParrallel,0
16.6429,253097528,NoParrallel,0
16.5901,253104774,NoParrallel,0
16.8521,253102750,NoParrallel,0
16.676,253108192,NoParrallel,0
16.6608,253144832,NoParrallel,0
16.5992,253191141,NoParrallel,0
16.5309,252983833,NoParrallel,0
16.7338,253044602,NoParrallel,0
16.7633,253110183,NoParrallel,0
16.5446,253145010,NoParrallel,0
16.6753,253191816,NoParrallel,0
16.7047,252990243,NoParrallel,0
16.6658,253055706,NoParrallel,0
16.6034,253104694,NoParrallel,0
16.8487,253106842,NoParrallel,0
16.5468,253109069,NoParrallel,0
16.5757,253111757,NoParrallel,0
16.6894,253111373,NoParrallel,0
16.6193,253119875,NoParrallel,0
16.6326,253152950,NoParrallel,0
16.9947,253196879,NoParrallel,0
16.405,252991955,NoParrallel,0
16.5932,253053535,NoParrallel,0
16.6722,253116120,NoParrallel,0
16.6681,253150915,NoParrallel,0
16.6249,253201268,NoParrallel,0
18.1386,251952492,NoParrallel,0
15.206,253046221,NoParrallel,0
16.9938,253113912,NoParrallel,0
16.4054,253148299,NoParrallel,0
16.5763,253189329,NoParrallel,0
16.7021,252982060,NoParrallel,0
16.7859,253048340,NoParrallel,0
16.5568,253104786,NoParrallel,0
16.6126,253140720,NoParrallel,0
17.0471,253184536,NoParrallel,0
16.257,252977567,NoParrallel,0
16.7366,252988821,NoParrallel,0
16.7609,252988180,NoParrallel,0
16.6001,253001843,NoParrallel,0
16.6258,253053511,NoParrallel,0
16.6397,252080464,NoParrallel,0
16.6358,253145055,NoParrallel,0
16.682,253197027,NoParrallel,0
16.8527,252989322,NoParrallel,0
17.5692,253061692,NoParrallel,0
15.6114,253110696,NoParrallel,0
16.7933,253146879,NoParrallel,0
16.9745,251882203,NoParrallel,0
16.2084,251948852,NoParrallel,0
16.864,253050700,NoParrallel,0
16.4012,253093024,NoParrallel,0
16.7863,253134832,NoParrallel,0
16.6245,253182036,NoParrallel,0
16.5904,252975828,NoParrallel,0
16.6381,252979286,NoParrallel,0
16.8467,252983763,NoParrallel,0
16.6741,252980189,NoParrallel,0
16.6896,252975190,NoParrallel,0
16.4847,251942984,NoParrallel,0
16.6504,252978425,NoParrallel,0
16.6863,252981489,NoParrallel,0
16.746,252981221,NoParrallel,0
16.6424,252982010,NoParrallel,0
16.5313,252981137,NoParrallel,0
16.907,252976859,NoParrallel,0
16.3944,252976759,NoParrallel,0
16.8125,252968248,NoParrallel,0
16.9974,252968567,NoParrallel,0
16.4564,252968802,NoParrallel,0
16.407,252968824,NoParrallel,0
16.7712,252970697,NoParrallel,0
16.5979,252954920,NoParrallel,0
16.7506,252949308,NoParrallel,0
16.7475,252951488,NoParrallel,0
16.6095,252966054,NoParrallel,0
16.5155,252963929,NoParrallel,0
17.1258,252963819,NoParrallel,0
16.2581,252959407,NoParrallel,0
16.6503,252962487,NoParrallel,0
16.7197,251933128,NoParrallel,0
16.694,252958114,NoParrallel,0
16.6763,252965657,NoParrallel,0
16.6202,252967681,NoParrallel,0
16.6982,252965661,NoParrallel,0
16.5841,252966416,NoParrallel,0
16.7516,252968452,NoParrallel,0
16.513,252966392,NoParrallel,0
16.6795,252953096,NoParrallel,0
16.8997,252954442,NoParrallel,0
16.4006,252958032,NoParrallel,0
17.0762,251926448,NoParrallel,0
16.2988,252953276,NoParrallel,0
16.6496,252951608,NoParrallel,0
16.7086,252956099,NoParrallel,0
16.9065,252955444,NoParrallel,0
16.3928,252950733,NoParrallel,0
16.5689,252955805,NoParrallel,0
17.0208,252960056,NoParrallel,0
16.3874,252964691,NoParrallel,0
16.7571,252964272,NoParrallel,0
16.6187,252964633,NoParrallel,0
16.742,251925871,NoParrallel,0
16.5135,251923448,NoParrallel,0
16.8097,252961443,NoParrallel,0
16.6104,252960059,NoParrallel,0
16.8098,252960159,NoParrallel,0
17.4767,252958243,NoParrallel,0
15.7382,252961457,NoParrallel,0
16.5625,251853810,NoParrallel,0
16.5657,253839592,NoParrallel,0
16.8718,253765680,NoParrallel,0
16.7445,251781826,NoParrallel,0
16.3886,253768496,NoParrallel,0
17.751,251780803,NoParrallel,0
15.9816,251782318,NoParrallel,0
16.414,253770862,NoParrallel,0
16.4903,253770376,NoParrallel,0
16.7482,253776187,NoParrallel,0
16.6099,253783307,NoParrallel,0
16.7187,253779004,NoParrallel,0
16.7311,253777009,NoParrallel,0
16.5619,253779659,NoParrallel,0
16.8925,251783930,NoParrallel,0
16.6192,253779060,NoParrallel,0
16.4179,253779439,NoParrallel,0
17.104,251779427,NoParrallel,0
16.232,253766541,NoParrallel,0
16.678,253769470,NoParrallel,0
16.799,251778454,NoParrallel,0
16.6811,251778858,NoParrallel,0
16.4982,253757067,NoParrallel,0
16.6796,253758738,NoParrallel,0
16.8911,251743913,NoParrallel,0
16.6601,253724654,NoParrallel,0
16.5498,251744369,NoParrallel,0
17.0843,253718017,NoParrallel,0
16.6868,251744345,NoParrallel,0
16.5313,251743494,NoParrallel,0
16.288,253733906,NoParrallel,0
16.697,251778904,NoParrallel,0
16.9782,253766626,NoParrallel,0
16.4685,253757766,NoParrallel,0
16.487,253756048,NoParrallel,0
16.9899,251776455,NoParrallel,0
16.3047,253757609,NoParrallel,0
16.8968,251770406,NoParrallel,0
16.7433,251770694,NoParrallel,0
16.5986,251771658,NoParrallel,0
16.4722,251771290,NoParrallel,0
16.7899,251736114,NoParrallel,0
16.4979,253705056,NoParrallel,0
17.4945,251737409,NoParrallel,0
15.9037,251737397,NoParrallel,0
17.0722,251737385,NoParrallel,0
16.5104,251768816,NoParrallel,0
16.7197,251767965,NoParrallel,0
16.2484,253742849,NoParrallel,0
16.6487,253746570,NoParrallel,0
16.8205,253739988,NoParrallel,0
16.8848,251767217,NoParrallel,0
16.307,251765452,NoParrallel,0
17.0326,251764601,NoParrallel,0
16.6153,251764078,NoParrallel,0
16.6046,251763642,NoParrallel,0
16.4838,251763166,NoParrallel,0
16.6627,253728478,NoParrallel,0
16.7949,251761152,NoParrallel,0
16.6003,251758751,NoParrallel,0
16.4533,251759218,NoParrallel,0
16.8784,251758630,NoParrallel,0
16.434,251759194,NoParrallel,0
16.7417,253721636,NoParrallel,0
17.0169,251758008,NoParrallel,0
16.2505,253724798,NoParrallel,0
16.7095,251757358,NoParrallel,0
17.174,253726981,NoParrallel,0
16.2326,251758718,NoParrallel,0
16.6368,251757796,NoParrallel,0
16.679,251011679,NoParrallel,0
17.0513,253722133,NoParrallel,0
16.2949,251755990,NoParrallel,0
16.9446,251753976,NoParrallel,0
16.4543,251753858,NoParrallel,0
16.7879,251753270,NoParrallel,0
16.3126,253716704,NoParrallel,0
16.7669,253720255,NoParrallel,0
16.6346,251753714,NoParrallel,0
16.6921,253703756,NoParrallel,0
16.9284,251749818,NoParrallel,0
16.9972,251750462,NoParrallel,0
16.0307,253700680,NoParrallel,0
16.5328,253706686,NoParrallel,0
16.9963,251750602,NoParrallel,0
16.5884,253700548,NoParrallel,0
16.8046,251749572,NoParrallel,0
16.5603,251748984,NoParrallel,0
16.7266,251751481,NoParrallel,0
16.3248,253711698,NoParrallel,0
16.7456,251750750,NoParrallel,0
16.5605,251750306,NoParrallel,0
16.8788,251750294,NoParrallel,0
16.4613,253704388,NoParrallel,0
16.944,251740398,NoParrallel,0
16.4938,253686264,NoParrallel,0
16.6167,253681741,NoParrallel,0
16.6087,253682408,NoParrallel,0
16.7163,251740808,NoParrallel,0
16.8239,251740940,NoParrallel,0
16.8206,251740352,NoParrallel,0
16.6011,251701614,NoParrallel,0
16.6545,251702345,NoParrallel,0
16.9077,251702333,NoParrallel,0
16.3697,253634445,NoParrallel,0
16.4218,251701243,NoParrallel,0
17.3863,251010623,NoParrallel,0
16.1132,251701068,NoParrallel,0
16.9737,251701463,NoParrallel,0
16.3839,251707507,NoParrallel,0
16.4807,251707399,NoParrallel,0
16.756,253653754,NoParrallel,0
16.8115,253643445,NoParrallel,0
16.94,251705614,NoParrallel,0
16.3717,251705247,NoParrallel,0
16.6687,253626151,NoParrallel,0
16.335,251693245,NoParrallel,0
17.0208,251692657,NoParrallel,0
16.7747,251690877,NoParrallel,0
16.516,253611398,NoParrallel,0
16.7851,251690853,NoParrallel,0
16.312,253618769,NoParrallel,0
17.0996,253614156,NoParrallel,0
16.794,251690769,NoParrallel,0
16.0998,251690901,NoParrallel,0
16.9071,253620008,NoParrallel,0
16.8675,251693537,NoParrallel,0
16.341,251693429,NoParrallel,0
16.4732,251692647,NoParrallel,0
17.1522,251692635,NoParrallel,0
16.3135,253621199,NoParrallel,0
16.9679,251722599,NoParrallel,0
16.5571,251723538,NoParrallel,0
16.6647,251689857,NoParrallel,0
16.3584,253611477,NoParrallel,0
16.7815,251689737,NoParrallel,0
16.6172,253618158,NoParrallel,0
16.7452,253598086,NoParrallel,0
16.6664,251679093,NoParrallel,0
16.5626,251678085,NoParrallel,0
17.3247,251677247,NoParrallel,0
16.9391,251010347,NoParrallel,0
16.4765,253585581,NoParrallel,0
16.1754,253583258,NoParrallel,0
16.7322,253583124,NoParrallel,0
16.9346,251685196,NoParrallel,0
16.4971,251684326,NoParrallel,0
16.5868,251684154,NoParrallel,0
16.9025,251684254,NoParrallel,0
