FrameTimeMillis,MemoryUsageBytes,Technique,RepeatNumber
16.4658,252658267,NoParrallel,0
522.0028,252846259,NoParrallel,0
34.9161,253850014,NoParrallel,0
42.9513,255082707,NoParrallel,0
83.9445,255537009,NoParrallel,0
16.0921,255081731,NoParrallel,0
17.0067,255536140,NoParrallel,0
16.2349,255082078,NoParrallel,0
16.8641,255542992,NoParrallel,0
16.6144,255072509,NoParrallel,0
16.541,255542108,NoParrallel,0
16.6424,252845831,NoParrallel,0
15.8446,252483927,NoParrallel,1
410.0326,252671963,NoParrallel,1
31.8465,254996395,NoParrallel,1
58.03,254910627,NoParrallel,1
66.8879,255369991,NoParrallel,1
66.56509,254899006,NoParrallel,1
33.8447,253675813,NoParrallel,1
16.0972,254907442,NoParrallel,1
16.6822,255366385,NoParrallel,1
16.7171,254903603,NoParrallel,1
16.3971,255361889,NoParrallel,1
16.7322,252669799,NoParrallel,1
16.7126,252656851,NoParrallel,2
428.13,252844959,NoParrallel,2
32.6804,255072183,NoParrallel,2
55.6065,255545961,NoParrallel,2
66.7884,255083605,NoParrallel,2
83.5222,255534106,NoParrallel,2
33.3167,255081033,NoParrallel,2
16.6626,255537096,NoParrallel,2
16.6089,255078335,NoParrallel,2
16.8698,255543997,NoParrallel,2
16.1344,255069699,NoParrallel,2
16.8838,252842783,NoParrallel,2
16.6174,251845051,NoParrallelNoBurst,0
266.4566,252265651,NoParrallelNoBurst,0
642.0178,254360820,NoParrallelNoBurst,0
6.1537,254359897,NoParrallelNoBurst,0
68.4509,254388273,NoParrallelNoBurst,0
66.30569,254388263,NoParrallelNoBurst,0
67.0076,254388636,NoParrallelNoBurst,0
66.6049,254387587,NoParrallelNoBurst,0
16.6743,254386649,NoParrallelNoBurst,0
16.4847,254387041,NoParrallelNoBurst,0
16.6953,254384684,NoParrallelNoBurst,0
16.6004,252256431,NoParrallelNoBurst,0
16.593,253042383,NoParrallelNoBurst,1
204.3555,253462927,NoParrallelNoBurst,1
563.1714,255560659,NoParrallelNoBurst,1
6.9416,255555517,NoParrallelNoBurst,1
75.2138,255554085,NoParrallelNoBurst,1
66.9505,255550123,NoParrallelNoBurst,1
33.256,255550757,NoParrallelNoBurst,1
16.5359,255549046,NoParrallelNoBurst,1
33.0778,253453711,NoParrallelNoBurst,1
4.2154,255549409,NoParrallelNoBurst,1
12.9987,255546805,NoParrallelNoBurst,1
16.2921,253453675,NoParrallelNoBurst,1
16.5919,253026411,NoParrallelNoBurst,2
197.294,253446823,NoParrallelNoBurst,2
609.9037,254488368,NoParrallelNoBurst,2
9.064,255541567,NoParrallelNoBurst,2
66.9057,255538085,NoParrallelNoBurst,2
66.7355,255536578,NoParrallelNoBurst,2
66.43,255534133,NoParrallelNoBurst,2
16.7217,255537642,NoParrallelNoBurst,2
16.9228,255531601,NoParrallelNoBurst,2
16.3709,255533659,NoParrallelNoBurst,2
16.9008,255533072,NoParrallelNoBurst,2
16.5452,253437675,NoParrallelNoBurst,2
16.6021,252309807,Standard,0
397.6063,253153403,Standard,0
11.2403,253733023,Standard,0
74.5821,254720449,Standard,0
66.5544,255198858,Standard,0
66.6531,254735515,Standard,0
17.0494,255190448,Standard,0
16.86,254732874,Standard,0
16.2632,255189898,Standard,0
16.7065,254732543,Standard,0
17.0081,255200877,Standard,0
16.2753,254725424,Standard,0
16.7697,255195866,Standard,0
16.5174,252497275,Standard,0
306.6753,253359469,Standard,0
12.3195,255569563,Standard,0
17.0594,252700539,Standard,1
454.5024,253536442,Standard,1
10.3972,255671964,Standard,1
67.9932,255588129,Standard,1
66.637,255134684,Standard,1
16.6104,255589812,Standard,1
17.0503,255129901,Standard,1
16.5879,255589168,Standard,1
16.629,254097192,Standard,1
16.3846,253900146,Standard,1
16.6481,255124868,Standard,1
16.6963,255595074,Standard,1
16.8313,255133987,Standard,1
16.7657,252892091,Standard,1
250.8596,253773820,Standard,1
11.783,256529580,Standard,1
16.4807,252537491,Standard,2
447.2398,253362920,Standard,2
9.4256,256000548,Standard,2
76.7812,253926450,Standard,2
66.3993,255432371,Standard,2
16.8919,254964986,Standard,2
16.6273,255433001,Standard,2
16.6376,254967644,Standard,2
16.4681,255429259,Standard,2
16.7076,254971188,Standard,2
16.7424,255433437,Standard,2
16.6937,254964507,Standard,2
16.4716,255432960,Standard,2
16.9142,252728959,Standard,2
255.0856,253645082,Standard,2
13.1458,255688821,Standard,2
