FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
100.2608,1974681684,0,Naive_FlatArray,0
101.3542,1974683704,2020,Naive_FlatArray,0
100.4734,1974683580,1896,Naive_FlatArray,0
100.172,1974683728,2044,Naive_FlatArray,0
100.7864,1974683812,2128,Naive_FlatArray,0
99.79201,1974683656,1972,Naive_FlatArray,0
100.2394,1974683692,2008,Naive_FlatArray,0
90.1064,1974684352,2668,Naive_FlatArray,0
90.7457,1974683620,1936,Naive_FlatArray,0
90.113,1974684232,2548,Naive_FlatArray,0
89.9376,1974684316,2632,Naive_FlatArray,0
88.6692,1974684048,2364,Naive_FlatArray,0
89.6803,1974683620,1936,Naive_FlatArray,0
87.6509,1974683704,2020,Naive_FlatArray,0
85.6467,1974683596,1912,Naive_FlatArray,0
87.0288,1974683584,1900,Naive_FlatArray,0
86.3014,1974683524,1840,Naive_FlatArray,0
77.5423,1974683560,1876,Naive_FlatArray,0
77.2718,1974683644,1960,Naive_FlatArray,0
77.7423,1974683536,1852,Naive_FlatArray,0
77.2808,1974683620,1936,Naive_FlatArray,0
67.1903,1974683512,1828,Naive_FlatArray,0
67.0881,1974683596,1912,Naive_FlatArray,0
67.0524,1974683488,1804,Naive_FlatArray,0
68.6003,1974683732,2048,Naive_FlatArray,0
66.8105,1974684916,3232,Naive_FlatArray,0
67.0686,1974685000,3316,Naive_FlatArray,0
66.9249,1974684232,2548,Naive_FlatArray,0
66.9361,1974683424,1740,Naive_FlatArray,0
67.179,1974683460,1776,Naive_FlatArray,0
61.8737,1974683400,1716,Naive_FlatArray,0
63.1255,1974683436,1752,Naive_FlatArray,0
59.2461,1974683264,1580,Naive_FlatArray,0
61.1902,1974688500,6816,Naive_FlatArray,0
60.7529,1974688392,6708,Naive_FlatArray,0
60.9277,1975687666,1005982,Naive_FlatArray,0
50.6905,1975765600,1083916,Naive_FlatArray,0
51.1224,1974798196,116512,Naive_FlatArray,0
50.7344,1975927478,1245794,Naive_FlatArray,0
50.3391,1974816820,135136,Naive_FlatArray,0
50.7633,1974730488,48804,Naive_FlatArray,0
49.4869,1976050612,1368928,Naive_FlatArray,0
50.6358,1974840124,158440,Naive_FlatArray,0
50.447,1976075262,1393578,Naive_FlatArray,0
50.6429,1974881768,200084,Naive_FlatArray,0
50.6268,1976101948,1420264,Naive_FlatArray,0
50.7218,1974924764,243080,Naive_FlatArray,0
50.8021,1976131666,1449982,Naive_FlatArray,0
50.9028,1974877072,195388,Naive_FlatArray,0
50.1476,1975104488,422804,Naive_FlatArray,0
50.3297,1974877320,195636,Naive_FlatArray,0
50.379,1976112228,1430544,Naive_FlatArray,0
50.1258,1974949020,267336,Naive_FlatArray,0
49.8166,1975047068,365384,Naive_FlatArray,0
41.8876,1974871624,189940,Naive_FlatArray,0
40.8514,1974782704,101020,Naive_FlatArray,0
42.2463,1974780300,98616,Naive_FlatArray,0
39.9878,1974745436,63752,Naive_FlatArray,0
41.3088,1974744864,63180,Naive_FlatArray,0
40.6165,1974744756,63072,Naive_FlatArray,0
41.4457,1974744744,63060,Naive_FlatArray,0
40.5377,1974744684,63000,Naive_FlatArray,0
30.437,1974744816,63132,Naive_FlatArray,0
31.4409,1974744708,63024,Naive_FlatArray,0
30.266,1974744696,63012,Naive_FlatArray,0
30.5592,1974744524,62840,Naive_FlatArray,0
30.6739,1974744624,62940,Naive_FlatArray,0
30.7011,1974744756,63072,Naive_FlatArray,0
30.5844,1974744648,62964,Naive_FlatArray,0
30.4168,1974744636,62952,Naive_FlatArray,0
30.7879,1974682200,516,Naive_FlatArray,0
30.5896,1974681808,124,Naive_FlatArray,0
30.295,1975160113,478429,Naive_FlatArray,0
30.6163,1974681624,-60,Naive_FlatArray,0
30.7989,1975171825,490141,Naive_FlatArray,0
30.589,1974681552,-132,Naive_FlatArray,0
30.0599,1975183921,502237,Naive_FlatArray,0
30.6286,1974689316,7632,Naive_FlatArray,0
30.6445,1975225733,544049,Naive_FlatArray,0
30.4333,1974816296,134612,Naive_FlatArray,0
30.6137,1975233331,551647,Naive_FlatArray,0
30.2816,1974876156,194472,Naive_FlatArray,0
30.4285,1975261719,580035,Naive_FlatArray,0
30.6748,1974846216,164532,Naive_FlatArray,0
30.2009,1975285059,603375,Naive_FlatArray,0
30.596,1974907020,225336,Naive_FlatArray,0
30.5747,1975315121,633437,Naive_FlatArray,0
29.9224,1974932964,251280,Naive_FlatArray,0
30.0767,1975345877,664193,Naive_FlatArray,0
30.1653,1974746748,65064,Naive_FlatArray,0
30.2594,1975253151,571467,Naive_FlatArray,0
30.3346,1974946968,265284,Naive_FlatArray,0
29.9246,1974816128,134444,Naive_FlatArray,0
19.7492,1974740876,59192,Naive_FlatArray,0
20.4069,1974739344,57660,Naive_FlatArray,0
20.0764,1974739476,57792,Naive_FlatArray,0
19.9647,1974739464,57780,Naive_FlatArray,0
19.645,1974739356,57672,Naive_FlatArray,0
19.7297,1974739344,57660,Naive_FlatArray,0
