FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
100.2383,1977156324,0,Naive_FlatArray,0
466.3628,1978753620,1597296,Naive_FlatArray,0
9.2132,2013750038,36593714,Naive_FlatArray,0
246.5669,2027644368,50488044,Naive_FlatArray,0
209.2939,2028860380,51704056,Naive_FlatArray,0
10.7296,2027640900,50484576,Naive_FlatArray,0
99.8771,2027638768,50482444,Naive_FlatArray,0
96.3323,2027638756,50482432,Naive_FlatArray,0
95.0492,2027638744,50482420,Naive_FlatArray,0
96.0666,2027638732,50482408,Naive_FlatArray,0
95.87849,2027638720,50482396,Naive_FlatArray,0
96.2258,2027638708,50482384,Naive_FlatArray,0
95.25951,2027639272,50482948,Naive_FlatArray,0
95.9352,2027638684,50482360,Naive_FlatArray,0
1032.277,2029020352,51864028,Naive_FlatArray,0
11.3725,2081897052,104740728,Naive_FlatArray,0
6.3394,1981884644,0,Culling_FlatArray,0
730.316,1983185046,1300402,Culling_FlatArray,0
13.3403,1982888988,1004344,Culling_FlatArray,0
43.261,1983721077,1836433,Culling_FlatArray,0
55.4524,1982884940,1000296,Culling_FlatArray,0
54.5286,1982884928,1000284,Culling_FlatArray,0
43.6984,1982884084,999440,Culling_FlatArray,0
9.7795,1982884072,999428,Culling_FlatArray,0
10.276,1982883428,998784,Culling_FlatArray,0
10.1068,1982883416,998772,Culling_FlatArray,0
10.3949,1982883404,998760,Culling_FlatArray,0
10.3029,1982883392,998748,Culling_FlatArray,0
10.3502,1982883380,998736,Culling_FlatArray,0
756.3468,1984274742,2390098,Culling_FlatArray,0
8.5082,1983429084,1544440,Culling_FlatArray,0
47.5165,1984368908,2484264,Culling_FlatArray,0
9.404201,91400856,0,Greedy_FlatArray,0
429.6903,92947508,1546652,Greedy_FlatArray,0
8.9417,93698618,2297762,Greedy_FlatArray,0
44.4216,91430252,29396,Greedy_FlatArray,0
52.4668,91429320,28464,Greedy_FlatArray,0
31.1853,91429276,28420,Greedy_FlatArray,0
10.9544,91429264,28408,Greedy_FlatArray,0
9.2826,91428500,27644,Greedy_FlatArray,0
9.4736,91428488,27632,Greedy_FlatArray,0
9.4622,91428540,27684,Greedy_FlatArray,0
9.7126,91428528,27672,Greedy_FlatArray,0
9.2556,91428516,27660,Greedy_FlatArray,0
9.565801,91428504,27648,Greedy_FlatArray,0
9.3765,91427896,27040,Greedy_FlatArray,0
781.6201,93117612,1716756,Greedy_FlatArray,0
10.7457,94263924,2863068,Greedy_FlatArray,0
42.0002,92447506,1046650,Greedy_FlatArray,0
100.6541,1982842744,0,Naive_FlatArray,1
1015.012,1984160612,1317868,Naive_FlatArray,1
10.984,2045974486,63131742,Naive_FlatArray,1
152.4395,2033330868,50488124,Naive_FlatArray,1
203.0672,2034251087,51408343,Naive_FlatArray,1
13.7517,2033331272,50488528,Naive_FlatArray,1
100.9588,2033330688,50487944,Naive_FlatArray,1
97.48,2033328620,50485876,Naive_FlatArray,1
96.0603,2033328608,50485864,Naive_FlatArray,1
94.8597,2033328596,50485852,Naive_FlatArray,1
95.9426,2033328584,50485840,Naive_FlatArray,1
94.9999,2033328572,50485828,Naive_FlatArray,1
96.3987,2033329148,50486404,Naive_FlatArray,1
95.155,2033328548,50485804,Naive_FlatArray,1
1154.572,2034740728,51897984,Naive_FlatArray,1
10.4232,2142854140,160011396,Naive_FlatArray,1
