FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
474.7284,74101287,0,Naive_FlatArray,0
222.4563,74479843,378556,Naive_FlatArray,0
33.4546,74479831,378544,Naive_FlatArray,0
30.1271,74479739,378452,Naive_FlatArray,0
48.0125,74479567,378280,Naive_FlatArray,0
41.1725,74479811,378524,Naive_FlatArray,0
43.266,74479703,378416,Naive_FlatArray,0
41.8966,74479691,378404,Naive_FlatArray,0
43.2701,74479775,378488,Naive_FlatArray,0
7.9677,74479763,378476,Naive_FlatArray,0
7.987,74479751,378464,Naive_FlatArray,0
7.7142,74479739,378452,Naive_FlatArray,0
7.8544,74479727,378440,Naive_FlatArray,0
7.9261,74479619,378332,Naive_FlatArray,0
7.7863,74479607,378320,Naive_FlatArray,0
8.1933,74479595,378308,Naive_FlatArray,0
8.3158,74479583,378296,Naive_FlatArray,0
9.474,79442833,5341546,Naive_FlatArray,0
26.4475,79406005,5304718,Naive_FlatArray,0
14.2981,79498661,5397374,Naive_FlatArray,0
5.1214,79425417,5324130,Naive_FlatArray,0
7.9013,79463083,5361796,Naive_FlatArray,0
9.577499,79464029,5362742,Naive_FlatArray,0
10.0501,79465087,5363800,Naive_FlatArray,0
7.9542,79672629,5571342,Naive_FlatArray,0
8.381599,79490327,5389040,Naive_FlatArray,0
7.4483,79454649,5353362,Naive_FlatArray,0
7.934501,79492219,5390932,Naive_FlatArray,0
7.6723,79493165,5391878,Naive_FlatArray,0
7.4963,79494159,5392872,Naive_FlatArray,0
7.8605,79495121,5393834,Naive_FlatArray,0
7.8198,79571391,5470104,Naive_FlatArray,0
7.7431,79536703,5435416,Naive_FlatArray,0
7.6175,79468329,5367042,Naive_FlatArray,0
8.921201,79844809,5743522,Naive_FlatArray,0
11.9483,79553401,5452114,Naive_FlatArray,0
5.6659,79743567,5642280,Naive_FlatArray,0
8.0899,79554363,5453076,Naive_FlatArray,0
17.7215,79927551,5826264,Naive_FlatArray,0
17.393,80572859,6471572,Naive_FlatArray,0
5.2992,80627637,6526350,Naive_FlatArray,0
10.9345,80628647,6527360,Naive_FlatArray,0
10.8973,80629817,6528530,Naive_FlatArray,0
9.5988,80743733,6642446,Naive_FlatArray,0
9.0012,80860619,6759332,Naive_FlatArray,0
8.870399,80755589,6654302,Naive_FlatArray,0
8.9893,80910289,6809002,Naive_FlatArray,0
8.951099,80816665,6715378,Naive_FlatArray,0
9.1554,82089649,7988362,Naive_FlatArray,0
14.4429,82068929,7967642,Naive_FlatArray,0
5.8428,82574545,8473258,Naive_FlatArray,0
9.595,82904909,8803622,Naive_FlatArray,0
