FrameTimeMillis,MemoryUsageBytes,Technique,RepeatNumber
100.5776,0,Naive_FlatArray,0
100.1763,5034857,Naive_FlatArray,0
83.4812,7170264,Naive_FlatArray,0
122.3722,7170092,Naive_FlatArray,0
77.0687,7168860,Naive_FlatArray,0
100.2307,7170084,Naive_FlatArray,0
83.2333,7170100,Naive_FlatArray,0
99.8639,7168748,Naive_FlatArray,0
100.1216,7167848,Naive_FlatArray,0
100.0482,7167824,Naive_FlatArray,0
83.4569,7167824,Naive_FlatArray,0
99.1195,7167800,Naive_FlatArray,0
100.0227,7167800,Naive_FlatArray,0
83.2486,8165089,Naive_FlatArray,0
16.6068,0,Culling_FlatArray,0
16.8617,938928,Culling_FlatArray,0
16.3398,75400,Culling_FlatArray,0
16.9288,75316,Culling_FlatArray,0
16.4575,76260,Culling_FlatArray,0
16.8858,76248,Culling_FlatArray,0
16.7869,76220,Culling_FlatArray,0
16.377,76208,Culling_FlatArray,0
16.5973,76196,Culling_FlatArray,0
16.9343,76200,Culling_FlatArray,0
16.4365,76188,Culling_FlatArray,0
16.7439,76176,Culling_FlatArray,0
16.5884,76164,Culling_FlatArray,0
16.7195,168108,Culling_FlatArray,0
16.7767,0,Greedy_FlatArray,0
16.5427,983924,Greedy_FlatArray,0
16.7666,5556,Greedy_FlatArray,0
16.6285,5472,Greedy_FlatArray,0
16.5764,5460,Greedy_FlatArray,0
16.7587,6404,Greedy_FlatArray,0
16.5953,6376,Greedy_FlatArray,0
16.7789,6364,Greedy_FlatArray,0
16.5602,6352,Greedy_FlatArray,0
16.6923,6356,Greedy_FlatArray,0
16.7296,6344,Greedy_FlatArray,0
16.6364,6332,Greedy_FlatArray,0
16.6225,6320,Greedy_FlatArray,0
16.6338,992112,Greedy_FlatArray,0
100.0129,0,Naive_FlatArray,1
100.0259,9196568,Naive_FlatArray,1
100.2718,7144940,Naive_FlatArray,1
138.6924,7143436,Naive_FlatArray,1
44.392,7143520,Naive_FlatArray,1
99.919,7144768,Naive_FlatArray,1
100.122,7144772,Naive_FlatArray,1
99.8542,7143432,Naive_FlatArray,1
83.49689,7142520,Naive_FlatArray,1
99.9185,7142508,Naive_FlatArray,1
99.8185,7142496,Naive_FlatArray,1
83.32719,7142484,Naive_FlatArray,1
100.2077,7142472,Naive_FlatArray,1
99.8315,9050616,Naive_FlatArray,1
16.5204,0,Culling_FlatArray,1
16.6681,931788,Culling_FlatArray,1
16.6181,75388,Culling_FlatArray,1
16.987,79540,Culling_FlatArray,1
16.3278,80484,Culling_FlatArray,1
16.7869,80472,Culling_FlatArray,1
16.5973,80444,Culling_FlatArray,1
16.5886,80432,Culling_FlatArray,1
16.6554,80420,Culling_FlatArray,1
16.7056,80424,Culling_FlatArray,1
16.6306,80412,Culling_FlatArray,1
16.7499,80400,Culling_FlatArray,1
16.6986,80388,Culling_FlatArray,1
16.523,1013960,Culling_FlatArray,1
16.6196,0,Greedy_FlatArray,1
16.8751,983488,Greedy_FlatArray,1
16.4353,5552,Greedy_FlatArray,1
16.7776,5480,Greedy_FlatArray,1
16.7704,6412,Greedy_FlatArray,1
16.5058,6396,Greedy_FlatArray,1
16.6524,6372,Greedy_FlatArray,1
16.7735,6372,Greedy_FlatArray,1
16.5409,6348,Greedy_FlatArray,1
16.615,6364,Greedy_FlatArray,1
16.7102,6340,Greedy_FlatArray,1
16.6886,6340,Greedy_FlatArray,1
16.625,6316,Greedy_FlatArray,1
16.6593,991672,Greedy_FlatArray,1
100.0386,0,Naive_FlatArray,2
99.8774,1053379,Naive_FlatArray,2
83.2698,7142924,Naive_FlatArray,2
99.9526,7726130,Naive_FlatArray,2
100.0169,7144864,Naive_FlatArray,2
99.9144,7142560,Naive_FlatArray,2
100.1971,7142548,Naive_FlatArray,2
83.2344,7142536,Naive_FlatArray,2
99.8447,7142524,Naive_FlatArray,2
99.7832,7142512,Naive_FlatArray,2
99.9203,7142500,Naive_FlatArray,2
83.3973,7142488,Naive_FlatArray,2
99.896,7142476,Naive_FlatArray,2
100.0111,8164111,Naive_FlatArray,2
16.5811,0,Culling_FlatArray,2
16.6326,938879,Culling_FlatArray,2
16.8337,75416,Culling_FlatArray,2
16.6652,79556,Culling_FlatArray,2
16.5895,80500,Culling_FlatArray,2
16.6449,80472,Culling_FlatArray,2
16.5907,80460,Culling_FlatArray,2
16.7126,80448,Culling_FlatArray,2
16.7543,80436,Culling_FlatArray,2
16.4678,80440,Culling_FlatArray,2
16.7664,80428,Culling_FlatArray,2
16.6974,80416,Culling_FlatArray,2
16.6536,80404,Culling_FlatArray,2
16.6614,1035743,Culling_FlatArray,2
16.6382,0,Greedy_FlatArray,2
16.7337,983484,Greedy_FlatArray,2
16.6636,5540,Greedy_FlatArray,2
16.5753,5456,Greedy_FlatArray,2
16.7132,6400,Greedy_FlatArray,2
16.8311,6372,Greedy_FlatArray,2
16.4833,6360,Greedy_FlatArray,2
16.7298,6348,Greedy_FlatArray,2
16.812,6336,Greedy_FlatArray,2
16.4087,6340,Greedy_FlatArray,2
16.8113,6328,Greedy_FlatArray,2
16.7241,6316,Greedy_FlatArray,2
16.5082,6304,Greedy_FlatArray,2
16.6638,991656,Greedy_FlatArray,2
