FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
14.3578,231721687,0,Light Off,0
12.972,232820878,1099191,Light Off,0
13.2847,232893554,1171867,Light Off,0
13.7302,232950793,1229106,Light Off,0
14.5313,231953146,231459,Light Off,0
12.2432,233028322,1306635,Light Off,0
13.6286,232815557,1093870,Light Off,0
13.2345,232878584,1156897,Light Off,0
13.8658,232934021,1212334,Light Off,0
13.3313,232970599,1248912,Light Off,0
15.5454,233018519,1296832,Light Off,0
13.1323,232813607,1091920,Light Off,0
14.0727,232873706,1152019,Light Off,0
13.3591,232934784,1213097,Light Off,0
13.5661,232973731,1252044,Light Off,0
13.5903,233015507,1293820,Light Off,0
14.2506,232814256,1092569,Light Off,0
13.4149,232883021,1161334,Light Off,0
13.8207,232944633,1222946,Light Off,0
13.9056,232983856,1262169,Light Off,0
14.4942,233034037,1312350,Light Off,0
13.7853,232817267,1095580,Light Off,0
13.7239,232878947,1157260,Light Off,0
13.6889,232946638,1224951,Light Off,0
13.7848,232976304,1254617,Light Off,0
13.925,231730623,8936,Light Off,0
13.8276,231796881,75194,Light Off,0
13.6706,232888231,1166544,Light Off,0
13.9675,232947243,1225556,Light Off,0
14.023,232983389,1261702,Light Off,0
13.4901,233028796,1307109,Light Off,0
13.7175,232825244,1103557,Light Off,0
13.7893,232887079,1165392,Light Off,0
14.1581,232940638,1218951,Light Off,0
14.2698,232945963,1224276,Light Off,0
13.7602,232948491,1226804,Light Off,0
14.0454,232990067,1268380,Light Off,0
13.9566,233033119,1311432,Light Off,0
14.2952,232827475,1105788,Light Off,0
14.3411,232893660,1171973,Light Off,0
13.6092,232950900,1229213,Light Off,0
13.9554,232990469,1268782,Light Off,0
14.0293,233037474,1315787,Light Off,0
14.1316,232826844,1105157,Light Off,0
14.587,232887162,1165475,Light Off,0
13.5721,232946125,1224438,Light Off,0
13.9542,232985748,1264061,Light Off,0
14.0167,233031157,1309470,Light Off,0
14.0544,232827514,1105827,Light Off,0
14.1982,232880895,1159208,Light Off,0
14.3558,232936564,1214877,Light Off,0
14.3651,232971842,1250155,Light Off,0
14.0038,233023336,1301649,Light Off,0
14.3401,232818888,1097201,Light Off,0
14.0939,232881948,1160261,Light Off,0
14.7742,231916101,194414,Light Off,0
13.8929,232970937,1249250,Light Off,0
14.0933,233025188,1303501,Light Off,0
14.4157,232816051,1094364,Light Off,0
13.8666,232873566,1151879,Light Off,0
14.5556,231914759,193072,Light Off,0
14.0833,232980031,1258344,Light Off,0
13.9604,233033633,1311946,Light Off,0
14.8873,232828044,1106357,Light Off,0
13.8886,232887463,1165776,Light Off,0
14.0752,232910055,1188368,Light Off,0
14.0253,232984467,1262780,Light Off,0
15.5249,231722525,838,Light Off,0
13.3259,231784580,62893,Light Off,0
14.4778,232886222,1164535,Light Off,0
14.6568,232945883,1224196,Light Off,0
14.0475,232984830,1263143,Light Off,0
14.0622,233030526,1308839,Light Off,0
14.4837,232822731,1101044,Light Off,0
14.631,232882668,1160981,Light Off,0
14.4379,232932985,1211298,Light Off,0
14.3187,232966403,1244716,Light Off,0
14.2493,233012561,1290874,Light Off,0
14.2601,231780294,58607,Light Off,0
14.4712,232870925,1149238,Light Off,0
13.9713,232933891,1212204,Light Off,0
14.6034,232965535,1243848,Light Off,0
