FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
14.3578,231721687,0,Greedy_FlatArray,0
12.972,232820878,1099191,Greedy_FlatArray,0
13.2847,232893554,1171867,Greedy_FlatArray,0
13.7302,232950793,1229106,Greedy_FlatArray,0
14.5313,231953146,231459,Greedy_FlatArray,0
12.2432,233028322,1306635,Greedy_FlatArray,0
13.6286,232815557,1093870,Greedy_FlatArray,0
13.2345,232878584,1156897,Greedy_FlatArray,0
13.8658,232934021,1212334,Greedy_FlatArray,0
13.3313,232970599,1248912,Greedy_FlatArray,0
15.5454,233018519,1296832,Greedy_FlatArray,0
13.1323,232813607,1091920,Greedy_FlatArray,0
14.0727,232873706,1152019,Greedy_FlatArray,0
13.3591,232934784,1213097,Greedy_FlatArray,0
13.5661,232973731,1252044,Greedy_FlatArray,0
13.5903,233015507,1293820,Greedy_FlatArray,0
14.2506,232814256,1092569,Greedy_FlatArray,0
13.4149,232883021,1161334,Greedy_FlatArray,0
13.8207,232944633,1222946,Greedy_FlatArray,0
13.9056,232983856,1262169,Greedy_FlatArray,0
14.4942,233034037,1312350,Greedy_FlatArray,0
13.7853,232817267,1095580,Greedy_FlatArray,0
13.7239,232878947,1157260,Greedy_FlatArray,0
13.6889,232946638,1224951,Greedy_FlatArray,0
13.7848,232976304,1254617,Greedy_FlatArray,0
13.925,231730623,8936,Greedy_FlatArray,0
13.8276,231796881,75194,Greedy_FlatArray,0
13.6706,232888231,1166544,Greedy_FlatArray,0
13.9675,232947243,1225556,Greedy_FlatArray,0
14.023,232983389,1261702,Greedy_FlatArray,0
13.4901,233028796,1307109,Greedy_FlatArray,0
13.7175,232825244,1103557,Greedy_FlatArray,0
13.7893,232887079,1165392,Greedy_FlatArray,0
14.1581,232940638,1218951,Greedy_FlatArray,0
14.2698,232945963,1224276,Greedy_FlatArray,0
13.7602,232948491,1226804,Greedy_FlatArray,0
14.0454,232990067,1268380,Greedy_FlatArray,0
13.9566,233033119,1311432,Greedy_FlatArray,0
14.2952,232827475,1105788,Greedy_FlatArray,0
14.3411,232893660,1171973,Greedy_FlatArray,0
13.6092,232950900,1229213,Greedy_FlatArray,0
13.9554,232990469,1268782,Greedy_FlatArray,0
14.0293,233037474,1315787,Greedy_FlatArray,0
14.1316,232826844,1105157,Greedy_FlatArray,0
14.587,232887162,1165475,Greedy_FlatArray,0
13.5721,232946125,1224438,Greedy_FlatArray,0
13.9542,232985748,1264061,Greedy_FlatArray,0
14.0167,233031157,1309470,Greedy_FlatArray,0
14.0544,232827514,1105827,Greedy_FlatArray,0
14.1982,232880895,1159208,Greedy_FlatArray,0
14.3558,232936564,1214877,Greedy_FlatArray,0
14.3651,232971842,1250155,Greedy_FlatArray,0
14.0038,233023336,1301649,Greedy_FlatArray,0
14.3401,232818888,1097201,Greedy_FlatArray,0
14.0939,232881948,1160261,Greedy_FlatArray,0
14.7742,231916101,194414,Greedy_FlatArray,0
13.8929,232970937,1249250,Greedy_FlatArray,0
14.0933,233025188,1303501,Greedy_FlatArray,0
14.4157,232816051,1094364,Greedy_FlatArray,0
13.8666,232873566,1151879,Greedy_FlatArray,0
14.5556,231914759,193072,Greedy_FlatArray,0
14.0833,232980031,1258344,Greedy_FlatArray,0
13.9604,233033633,1311946,Greedy_FlatArray,0
14.8873,232828044,1106357,Greedy_FlatArray,0
13.8886,232887463,1165776,Greedy_FlatArray,0
14.0752,232910055,1188368,Greedy_FlatArray,0
14.0253,232984467,1262780,Greedy_FlatArray,0
15.5249,231722525,838,Greedy_FlatArray,0
13.3259,231784580,62893,Greedy_FlatArray,0
14.4778,232886222,1164535,Greedy_FlatArray,0
14.6568,232945883,1224196,Greedy_FlatArray,0
14.0475,232984830,1263143,Greedy_FlatArray,0
14.0622,233030526,1308839,Greedy_FlatArray,0
14.4837,232822731,1101044,Greedy_FlatArray,0
14.631,232882668,1160981,Greedy_FlatArray,0
14.4379,232932985,1211298,Greedy_FlatArray,0
14.3187,232966403,1244716,Greedy_FlatArray,0
14.2493,233012561,1290874,Greedy_FlatArray,0
14.2601,231780294,58607,Greedy_FlatArray,0
14.4712,232870925,1149238,Greedy_FlatArray,0
13.9713,232933891,1212204,Greedy_FlatArray,0
14.6034,232965535,1243848,Greedy_FlatArray,0
14.3398,233012054,1290367,Greedy_FlatArray,0
15.0207,232808688,1087001,Greedy_FlatArray,0
14.1617,232817907,1096220,Greedy_FlatArray,0
14.6136,232823625,1101938,Greedy_FlatArray,0
13.7523,231846183,124496,Greedy_FlatArray,0
14.5587,232941945,1220258,Greedy_FlatArray,0
14.166,232968030,1246343,Greedy_FlatArray,0
14.1638,233015441,1293754,Greedy_FlatArray,0
14.163,232812817,1091130,Greedy_FlatArray,0
14.5083,232819571,1097884,Greedy_FlatArray,0
14.3176,232815987,1094300,Greedy_FlatArray,0
14.2716,231771547,49860,Greedy_FlatArray,0
14.1072,232810905,1089218,Greedy_FlatArray,0
14.4657,232803811,1082124,Greedy_FlatArray,0
14.0584,232805351,1083664,Greedy_FlatArray,0
14.052,231772027,50340,Greedy_FlatArray,0
14.1772,232806167,1084480,Greedy_FlatArray,0
14.2263,232793131,1071444,Greedy_FlatArray,0
14.0883,232790578,1068891,Greedy_FlatArray,0
13.9695,232792585,1070898,Greedy_FlatArray,0
14.4685,232796035,1074348,Greedy_FlatArray,0
14.1165,232788891,1067204,Greedy_FlatArray,0
14.0233,232802593,1080906,Greedy_FlatArray,0
14.368,232800390,1078703,Greedy_FlatArray,0
14.0131,232795723,1074036,Greedy_FlatArray,0
13.8491,231768811,47124,Greedy_FlatArray,0
13.8826,232801359,1079672,Greedy_FlatArray,0
14.2199,231768668,46981,Greedy_FlatArray,0
14.2384,232803712,1082025,Greedy_FlatArray,0
13.9578,232809669,1087982,Greedy_FlatArray,0
14.1327,232802242,1080555,Greedy_FlatArray,0
14.1999,232804171,1082484,Greedy_FlatArray,0
13.9491,232804998,1083311,Greedy_FlatArray,0
14.2207,232804857,1083170,Greedy_FlatArray,0
14.2556,232803908,1082221,Greedy_FlatArray,0
14.5849,232789843,1068156,Greedy_FlatArray,0
13.788,231763435,41748,Greedy_FlatArray,0
14.1322,232797718,1076031,Greedy_FlatArray,0
14.3694,232792300,1070613,Greedy_FlatArray,0
13.9702,232787445,1065758,Greedy_FlatArray,0
14.2132,232789419,1067732,Greedy_FlatArray,0
14.0666,232789404,1067717,Greedy_FlatArray,0
14.1922,232786264,1064577,Greedy_FlatArray,0
14.3128,231761485,39798,Greedy_FlatArray,0
13.7193,232792446,1070759,Greedy_FlatArray,0
14.3684,232792700,1071013,Greedy_FlatArray,0
13.9124,232798871,1077184,Greedy_FlatArray,0
14.0742,232796811,1075124,Greedy_FlatArray,0
14.1626,232800463,1078776,Greedy_FlatArray,0
14.1324,232799110,1077423,Greedy_FlatArray,0
14.1116,232794631,1072944,Greedy_FlatArray,0
14.0272,232799924,1078237,Greedy_FlatArray,0
14.1899,232801091,1079404,Greedy_FlatArray,0
13.8471,231762765,41078,Greedy_FlatArray,0
13.9308,232795337,1073650,Greedy_FlatArray,0
13.918,232795418,1073731,Greedy_FlatArray,0
14.2013,232796832,1075145,Greedy_FlatArray,0
14.4893,231758237,36550,Greedy_FlatArray,0
14.2138,232795907,1074220,Greedy_FlatArray,0
13.6099,232794209,1072522,Greedy_FlatArray,0
13.977,232783823,1062136,Greedy_FlatArray,0
14.0317,232779818,1058131,Greedy_FlatArray,0
13.7726,232778283,1056596,Greedy_FlatArray,0
13.5463,232778013,1056326,Greedy_FlatArray,0
14.195,232775396,1053709,Greedy_FlatArray,0
15.2218,231748982,27295,Greedy_FlatArray,0
12.6232,232785196,1063509,Greedy_FlatArray,0
13.9003,232778133,1056446,Greedy_FlatArray,0
13.5303,232781847,1060160,Greedy_FlatArray,0
13.7319,232778044,1056357,Greedy_FlatArray,0
14.0782,231750385,28698,Greedy_FlatArray,0
13.8599,232787081,1065394,Greedy_FlatArray,0
14.0166,232787347,1065660,Greedy_FlatArray,0
13.6481,232791714,1070027,Greedy_FlatArray,0
13.7418,232788217,1066530,Greedy_FlatArray,0
13.8516,232791642,1069955,Greedy_FlatArray,0
13.6756,232789855,1068168,Greedy_FlatArray,0
13.9748,232791922,1070235,Greedy_FlatArray,0
13.8114,232789948,1068261,Greedy_FlatArray,0
13.8766,232786581,1064894,Greedy_FlatArray,0
14.0018,232782066,1060379,Greedy_FlatArray,0
13.2907,232779136,1057449,Greedy_FlatArray,0
13.4707,232723878,1002191,Greedy_FlatArray,0
13.883,233685241,1963554,Greedy_FlatArray,0
13.5502,233617194,1895507,Greedy_FlatArray,0
14.0421,233605078,1883391,Greedy_FlatArray,0
13.686,233596649,1874962,Greedy_FlatArray,0
13.3676,233595222,1873535,Greedy_FlatArray,0
13.669,233595786,1874099,Greedy_FlatArray,0
13.604,233600703,1879016,Greedy_FlatArray,0
13.5599,233596166,1874479,Greedy_FlatArray,0
13.6998,231613363,-108324,Greedy_FlatArray,0
14.3166,231613351,-108336,Greedy_FlatArray,0
13.2976,233594082,1872395,Greedy_FlatArray,0
13.5986,231612591,-109096,Greedy_FlatArray,0
13.2839,233594408,1872721,Greedy_FlatArray,0
13.9338,233592557,1870870,Greedy_FlatArray,0
13.5184,233606167,1884480,Greedy_FlatArray,0
13.5148,233603866,1882179,Greedy_FlatArray,0
13.6053,233601647,1879960,Greedy_FlatArray,0
13.6971,233604907,1883220,Greedy_FlatArray,0
13.7381,233603246,1881559,Greedy_FlatArray,0
13.9198,233599918,1878231,Greedy_FlatArray,0
13.0558,233601146,1879459,Greedy_FlatArray,0
14.088,231612595,-109092,Greedy_FlatArray,0
13.0648,231606913,-114774,Greedy_FlatArray,0
13.3805,233580080,1858393,Greedy_FlatArray,0
13.7536,231606917,-114770,Greedy_FlatArray,0
13.7369,231606795,-114892,Greedy_FlatArray,0
13.3332,231606520,-115167,Greedy_FlatArray,0
12.7743,231606379,-115308,Greedy_FlatArray,0
13.462,231606367,-115320,Greedy_FlatArray,0
13.5246,233579397,1857710,Greedy_FlatArray,0
13.8942,233581433,1859746,Greedy_FlatArray,0
12.7854,231606171,-115516,Greedy_FlatArray,0
13.4769,233576772,1855085,Greedy_FlatArray,0
13.2888,231606259,-115428,Greedy_FlatArray,0
14.0517,233588592,1866905,Greedy_FlatArray,0
13.6117,231604880,-116807,Greedy_FlatArray,0
14.2568,230843168,-878519,Greedy_FlatArray,0
12.151,231604689,-116998,Greedy_FlatArray,0
13.1968,233581744,1860057,Greedy_FlatArray,0
13.1387,233583231,1861544,Greedy_FlatArray,0
13.614,231603724,-117963,Greedy_FlatArray,0
13.2018,233584435,1862748,Greedy_FlatArray,0
13.3851,231600775,-120912,Greedy_FlatArray,0
13.4222,231600541,-121146,Greedy_FlatArray,0
13.9432,231599114,-122573,Greedy_FlatArray,0
12.7066,231599887,-121800,Greedy_FlatArray,0
15.1109,231599875,-121812,Greedy_FlatArray,0
12.5819,231598448,-123239,Greedy_FlatArray,0
13.6252,233574035,1852348,Greedy_FlatArray,0
13.4403,231595989,-125698,Greedy_FlatArray,0
13.1609,233568826,1847139,Greedy_FlatArray,0
13.8253,233565561,1843874,Greedy_FlatArray,0
12.8161,231595023,-126664,Greedy_FlatArray,0
13.0332,233566616,1844929,Greedy_FlatArray,0
13.4252,231595111,-126576,Greedy_FlatArray,0
12.8133,233565714,1844027,Greedy_FlatArray,0
13.6698,233563443,1841756,Greedy_FlatArray,0
12.8617,231594175,-127512,Greedy_FlatArray,0
13.8868,231594067,-127620,Greedy_FlatArray,0
13.3676,233574129,1852442,Greedy_FlatArray,0
12.7565,233569881,1848194,Greedy_FlatArray,0
13.2096,233569870,1848183,Greedy_FlatArray,0
12.748,233572718,1851031,Greedy_FlatArray,0
13.9788,230842420,-879267,Greedy_FlatArray,0
12.639,231592837,-128850,Greedy_FlatArray,0
13.8432,231591986,-129701,Greedy_FlatArray,0
12.8795,231592187,-129500,Greedy_FlatArray,0
13.0742,233563974,1842287,Greedy_FlatArray,0
13.0688,233560321,1838634,Greedy_FlatArray,0
13.1132,233557246,1835559,Greedy_FlatArray,0
13.4084,233558073,1836386,Greedy_FlatArray,0
13.0268,231588828,-132859,Greedy_FlatArray,0
