FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
13.9519,250836236,0,Greedy_FlatArray,0
13.2772,255289849,4453613,Greedy_FlatArray,0
14.8949,252049514,1213278,Greedy_FlatArray,0
12.6436,253543178,2706942,Greedy_FlatArray,0
13.3511,253084965,2248729,Greedy_FlatArray,0
15.0172,253538392,2702156,Greedy_FlatArray,0
13.7817,253035221,2198985,Greedy_FlatArray,0
13.3798,253179030,2342794,Greedy_FlatArray,0
13.7463,253082883,2246647,Greedy_FlatArray,0
13.9057,253544656,2708420,Greedy_FlatArray,0
13.4041,253078560,2242324,Greedy_FlatArray,0
13.5112,253548702,2712466,Greedy_FlatArray,0
13.5409,253085855,2249619,Greedy_FlatArray,0
13.7854,255305520,4469284,Greedy_FlatArray,0
13.7752,253662020,0,Greedy_FlatArray,1
14.0294,254976311,1314291,Greedy_FlatArray,1
13.4591,251995757,-1666263,Greedy_FlatArray,1
13.362,253217378,-444642,Greedy_FlatArray,1
13.7957,253689756,27736,Greedy_FlatArray,1
14.5369,253224537,-437483,Greedy_FlatArray,1
14.0713,253689033,27013,Greedy_FlatArray,1
13.3949,253231264,-430756,Greedy_FlatArray,1
13.6724,253683363,21343,Greedy_FlatArray,1
13.8445,253226647,-435373,Greedy_FlatArray,1
13.6577,253694171,32151,Greedy_FlatArray,1
13.6257,253219978,-442042,Greedy_FlatArray,1
13.8434,253686960,24940,Greedy_FlatArray,1
13.3321,254993253,1331233,Greedy_FlatArray,1
13.7321,253250225,0,Greedy_FlatArray,2
13.5925,255482783,2232558,Greedy_FlatArray,2
13.6729,253264160,13935,Greedy_FlatArray,2
13.982,253731535,481310,Greedy_FlatArray,2
13.7589,253275696,25471,Greedy_FlatArray,2
15.0808,253725527,475302,Greedy_FlatArray,2
13.5862,253273332,23107,Greedy_FlatArray,2
13.3618,253731495,481270,Greedy_FlatArray,2
13.5872,253281907,31682,Greedy_FlatArray,2
14.6836,252045787,-1204438,Greedy_FlatArray,2
12.9524,253268249,18024,Greedy_FlatArray,2
13.6564,253738109,487884,Greedy_FlatArray,2
13.9387,253271260,21035,Greedy_FlatArray,2
13.9271,255497724,2247499,Greedy_FlatArray,2
