FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
13.875,231985888,0,Greedy_FlatArray,0
110.354,234225858,2239970,Greedy_FlatArray,0
7.467,236347501,4361613,Greedy_FlatArray,0
69.7206,233124705,1138817,Greedy_FlatArray,0
68.2718,234362060,2376172,Greedy_FlatArray,0
46.5543,234822972,2837084,Greedy_FlatArray,0
14.0933,234363177,2377289,Greedy_FlatArray,0
13.8581,234826325,2840437,Greedy_FlatArray,0
13.5955,234361324,2375436,Greedy_FlatArray,0
15.0189,234833177,2847289,Greedy_FlatArray,0
15.4736,234361037,2375149,Greedy_FlatArray,0
14.8379,234828104,2842216,Greedy_FlatArray,0
15.5058,234365372,2379484,Greedy_FlatArray,0
14.7052,232120248,134360,Greedy_FlatArray,0
143.1758,234374794,2388906,Greedy_FlatArray,0
7.423,236958652,4972764,Greedy_FlatArray,0
13.6998,232115136,0,Greedy_FlatArray,1
146.6277,234354474,2239338,Greedy_FlatArray,1
9.660501,236946237,4831101,Greedy_FlatArray,1
67.5963,233445615,1330479,Greedy_FlatArray,1
68.3506,234955012,2839876,Greedy_FlatArray,1
64.3876,234487430,2372294,Greedy_FlatArray,1
22.4367,234949750,2834614,Greedy_FlatArray,1
13.7819,234488614,2373478,Greedy_FlatArray,1
14.1754,234947240,2832104,Greedy_FlatArray,1
14.9571,234486416,2371280,Greedy_FlatArray,1
15.2363,234951794,2836658,Greedy_FlatArray,1
15.0803,234488334,2373198,Greedy_FlatArray,1
15.0573,234952016,2836880,Greedy_FlatArray,1
15.7583,232248036,132900,Greedy_FlatArray,1
176.5177,234504886,2389750,Greedy_FlatArray,1
8.6813,236620921,4505785,Greedy_FlatArray,1
13.6676,232197448,0,Greedy_FlatArray,2
142.3216,234434840,2237392,Greedy_FlatArray,2
9.4279,237019225,4821777,Greedy_FlatArray,2
67.9942,233530621,1333173,Greedy_FlatArray,2
68.1534,235032069,2834621,Greedy_FlatArray,2
33.9723,234572164,2374716,Greedy_FlatArray,2
14.8199,235035260,2837812,Greedy_FlatArray,2
13.8632,234562371,2364923,Greedy_FlatArray,2
13.663,235034157,2836709,Greedy_FlatArray,2
15.2977,234569656,2372208,Greedy_FlatArray,2
15.6127,235027991,2830543,Greedy_FlatArray,2
15.2357,234573952,2376504,Greedy_FlatArray,2
15.625,235026164,2828716,Greedy_FlatArray,2
14.7839,232331760,134312,Greedy_FlatArray,2
174.2865,234583728,2386280,Greedy_FlatArray,2
10.5942,236609908,4412460,Greedy_FlatArray,2
