FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
1332.303,94103239,0,Greedy_FlatArray,0
604.1068,95459650,1356411,Greedy_FlatArray,0
188.8132,95218374,1115135,Greedy_FlatArray,0
16.9748,95507115,1403876,Greedy_FlatArray,0
40.1713,95242719,1139480,Greedy_FlatArray,0
47.1493,95550178,1446939,Greedy_FlatArray,0
43.8766,95268166,1164927,Greedy_FlatArray,0
34.3135,95569903,1466664,Greedy_FlatArray,0
8.5071,95291107,1187868,Greedy_FlatArray,0
7.2202,95339087,1235848,Greedy_FlatArray,0
12.8752,95576725,1473486,Greedy_FlatArray,0
3.6285,95412521,1309282,Greedy_FlatArray,0
8.2384,95567149,1463910,Greedy_FlatArray,0
9.7392,95428643,1325404,Greedy_FlatArray,0
8.0763,95410921,1307682,Greedy_FlatArray,0
7.8303,95646088,1542849,Greedy_FlatArray,0
8.909,95423804,1320565,Greedy_FlatArray,0
8.6352,95705952,1602713,Greedy_FlatArray,0
7.988,95448567,1345328,Greedy_FlatArray,0
8.8779,95482265,1379026,Greedy_FlatArray,0
8.415,95479779,1376540,Greedy_FlatArray,0
13.0051,95783205,1679966,Greedy_FlatArray,0
18.9571,95502969,1399730,Greedy_FlatArray,0
4.5766,95808681,1705442,Greedy_FlatArray,0
8.0154,95525725,1422486,Greedy_FlatArray,0
10.2524,95573963,1470724,Greedy_FlatArray,0
7.5804,95780174,1676935,Greedy_FlatArray,0
7.8347,95599217,1495978,Greedy_FlatArray,0
8.0382,95831131,1727892,Greedy_FlatArray,0
8.1719,95623727,1520488,Greedy_FlatArray,0
14.7652,95868688,1765449,Greedy_FlatArray,0
4.2199,97310226,3206987,Greedy_FlatArray,0
7.3995,95714191,1610952,Greedy_FlatArray,0
9.7735,95831129,1727890,Greedy_FlatArray,0
8.088201,95633996,1530757,Greedy_FlatArray,0
7.9526,95953908,1850669,Greedy_FlatArray,0
7.556,95694052,1590813,Greedy_FlatArray,0
8.1812,95966015,1862776,Greedy_FlatArray,0
7.4613,95730299,1627060,Greedy_FlatArray,0
8.0563,95646592,1543353,Greedy_FlatArray,0
10.6325,95997828,1894589,Greedy_FlatArray,0
5.8807,95848259,1745020,Greedy_FlatArray,0
7.1955,95931246,1828007,Greedy_FlatArray,0
7.5309,95846346,1743107,Greedy_FlatArray,0
8.119699,95968685,1865446,Greedy_FlatArray,0
15.8835,95933387,1830148,Greedy_FlatArray,0
4.0766,95980809,1877570,Greedy_FlatArray,0
10.0965,95944586,1841347,Greedy_FlatArray,0
10.7095,97410182,3306943,Greedy_FlatArray,0
6.683,95774920,1671681,Greedy_FlatArray,0
7.5844,95955324,1852085,Greedy_FlatArray,0
9.9369,95645408,1542169,Greedy_FlatArray,0
9.2211,96128974,2025735,Greedy_FlatArray,0
8.3392,95645384,1542145,Greedy_FlatArray,0
7.3846,96153472,2050233,Greedy_FlatArray,0
7.6959,95945016,1841777,Greedy_FlatArray,0
9.808001,96180315,2077076,Greedy_FlatArray,0
6.3511,95970170,1866931,Greedy_FlatArray,0
7.5162,95634588,1531349,Greedy_FlatArray,0
7.96,96214440,2111201,Greedy_FlatArray,0
7.3405,95633636,1530397,Greedy_FlatArray,0
8.0533,96259547,2156308,Greedy_FlatArray,0
8.466,95633612,1530373,Greedy_FlatArray,0
8.4813,96298667,2195428,Greedy_FlatArray,0
8.8751,95633732,1530493,Greedy_FlatArray,0
7.3553,96284289,2181050,Greedy_FlatArray,0
7.8337,96076741,1973502,Greedy_FlatArray,0
7.7214,96333318,2230079,Greedy_FlatArray,0
7.6859,96087970,1984731,Greedy_FlatArray,0
8.0126,96367256,2264017,Greedy_FlatArray,0
7.669,96110520,2007281,Greedy_FlatArray,0
7.8038,96386944,2283705,Greedy_FlatArray,0
