FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
14.1696,247321124,0,Greedy_FlatArray,0
14.3195,247366919,45795,Greedy_FlatArray,0
14.0595,247417969,96845,Greedy_FlatArray,0
14.3434,247465953,144829,Greedy_FlatArray,0
14.4416,247258593,-62531,Greedy_FlatArray,0
13.9763,247320734,-390,Greedy_FlatArray,0
14.0897,247381749,60625,Greedy_FlatArray,0
15.2432,246376801,-944323,Greedy_FlatArray,0
13.0512,247465585,144461,Greedy_FlatArray,0
14.4014,247257078,-64046,Greedy_FlatArray,0
14.0723,247305064,-16060,Greedy_FlatArray,0
14.4274,247367383,46259,Greedy_FlatArray,0
14.0261,247404461,83337,Greedy_FlatArray,0
14.2441,247452158,131034,Greedy_FlatArray,0
14.4736,247247301,-73823,Greedy_FlatArray,0
14.2973,247303644,-17480,Greedy_FlatArray,0
14.3884,247364194,43070,Greedy_FlatArray,0
14.432,247358745,37621,Greedy_FlatArray,0
14.0596,247355135,34011,Greedy_FlatArray,0
16.0914,245257348,-2063776,Greedy_FlatArray,0
12.9912,247358359,37235,Greedy_FlatArray,0
14.5112,247354991,33867,Greedy_FlatArray,0
14.4769,247351031,29907,Greedy_FlatArray,0
14.6336,247353741,32617,Greedy_FlatArray,0
14.573,247352859,31735,Greedy_FlatArray,0
14.6678,247353861,32737,Greedy_FlatArray,0
14.5116,247361815,40691,Greedy_FlatArray,0
13.9688,247398838,77714,Greedy_FlatArray,0
15.2656,247445628,124504,Greedy_FlatArray,0
14.0179,247236199,-84925,Greedy_FlatArray,0
14.4963,247298074,-23050,Greedy_FlatArray,0
14.5438,247360973,39849,Greedy_FlatArray,0
14.4904,247395386,74262,Greedy_FlatArray,0
14.8595,247441043,119919,Greedy_FlatArray,0
14.0813,247240557,-80567,Greedy_FlatArray,0
14.8418,247303667,-17457,Greedy_FlatArray,0
14.49,247375568,54444,Greedy_FlatArray,0
14.5773,247401352,80228,Greedy_FlatArray,0
15.3209,247449788,128664,Greedy_FlatArray,0
14.1716,247243210,-77914,Greedy_FlatArray,0
15.0005,247305898,-15226,Greedy_FlatArray,0
14.5948,247360183,39059,Greedy_FlatArray,0
14.8227,246312890,-1008234,Greedy_FlatArray,0
14.251,247370833,49709,Greedy_FlatArray,0
15.0417,247398877,77753,Greedy_FlatArray,0
14.5712,247404565,83441,Greedy_FlatArray,0
14.694,247454089,132965,Greedy_FlatArray,0
14.7733,247247561,-73563,Greedy_FlatArray,0
15.6083,246277503,-1043621,Greedy_FlatArray,0
13.9327,247365995,44871,Greedy_FlatArray,0
14.9685,247408260,87136,Greedy_FlatArray,0
14.5318,247451191,130067,Greedy_FlatArray,0
15.1849,247248541,-72583,Greedy_FlatArray,0
14.512,247304064,-17060,Greedy_FlatArray,0
14.8143,247367554,46430,Greedy_FlatArray,0
15.3723,247405868,84744,Greedy_FlatArray,0
14.6138,247447725,126601,Greedy_FlatArray,0
14.7987,247241906,-79218,Greedy_FlatArray,0
14.7855,247300385,-20739,Greedy_FlatArray,0
15.2236,247358165,37041,Greedy_FlatArray,0
15.0852,246367976,-953148,Greedy_FlatArray,0
14.5068,246138791,-1182333,Greedy_FlatArray,0
14.9184,247238368,-82756,Greedy_FlatArray,0
15.1536,247297442,-23682,Greedy_FlatArray,0
14.8353,247358937,37813,Greedy_FlatArray,0
15.1056,247392452,71328,Greedy_FlatArray,0
14.7291,247435406,114282,Greedy_FlatArray,0
15.2828,247241416,-79708,Greedy_FlatArray,0
14.8865,247307309,-13815,Greedy_FlatArray,0
15.7166,246336257,-984867,Greedy_FlatArray,0
14.5153,247399963,78839,Greedy_FlatArray,0
15.1545,246139311,-1181813,Greedy_FlatArray,0
14.6548,247245296,-75828,Greedy_FlatArray,0
15.0359,247307216,-13908,Greedy_FlatArray,0
15.0706,247375107,53983,Greedy_FlatArray,0
15.3849,247400402,79278,Greedy_FlatArray,0
16.2024,247453131,132007,Greedy_FlatArray,0
15.8355,247239562,-81562,Greedy_FlatArray,0
14.5556,247300642,-20482,Greedy_FlatArray,0
15.1668,247368476,47352,Greedy_FlatArray,0
14.974,247399775,78651,Greedy_FlatArray,0
15.4649,245268592,-2052532,Greedy_FlatArray,0
23.783,247230219,-90905,Greedy_FlatArray,0
5.947,247231659,-89465,Greedy_FlatArray,0
17.0817,247234438,-86686,Greedy_FlatArray,0
17.0908,247238991,-82133,Greedy_FlatArray,0
15.1922,247236998,-84126,Greedy_FlatArray,0
