FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
14.6155,232229712,0,Greedy_FlatArray,0
433.2636,233073478,843766,Greedy_FlatArray,0
12.7551,235234656,3004944,Greedy_FlatArray,0
67.4762,233420070,1190358,Greedy_FlatArray,0
69.866,234654393,2424681,Greedy_FlatArray,0
74.6622,235122507,2892795,Greedy_FlatArray,0
27.2555,232421304,191592,Greedy_FlatArray,0
26.762,235119777,2890065,Greedy_FlatArray,0
6.3062,234657392,2427680,Greedy_FlatArray,0
17.203,235119300,2889588,Greedy_FlatArray,0
16.844,234650990,2421278,Greedy_FlatArray,0
17.4256,235119132,2889420,Greedy_FlatArray,0
18.5713,233618565,1388853,Greedy_FlatArray,0
15.6337,232419752,190040,Greedy_FlatArray,0
275.2152,233310784,1081072,Greedy_FlatArray,0
13.1343,236061345,3831633,Greedy_FlatArray,0
14.8869,232311352,0,Greedy_FlatArray,1
428.6379,233156901,845549,Greedy_FlatArray,1
11.8048,235262465,2951113,Greedy_FlatArray,1
68.1378,233504073,1192721,Greedy_FlatArray,1
69.0851,234742955,2431603,Greedy_FlatArray,1
73.65089,235214192,2902840,Greedy_FlatArray,1
20.5597,234735234,2423882,Greedy_FlatArray,1
15.2134,235205788,2894436,Greedy_FlatArray,1
17.3277,234744474,2433122,Greedy_FlatArray,1
17.2259,235203625,2892273,Greedy_FlatArray,1
17.5558,234746596,2435244,Greedy_FlatArray,1
18.2387,235203663,2892311,Greedy_FlatArray,1
15.9838,234741819,2430467,Greedy_FlatArray,1
17.1227,232503080,191728,Greedy_FlatArray,1
250.712,233394451,1083099,Greedy_FlatArray,1
9.663401,236156405,3845053,Greedy_FlatArray,1
14.3028,232307508,0,Greedy_FlatArray,2
385.2845,233152484,844976,Greedy_FlatArray,2
10.3633,235284446,2976938,Greedy_FlatArray,2
67.8932,233501597,1194089,Greedy_FlatArray,2
60.2454,234740793,2433285,Greedy_FlatArray,2
15.0401,235199274,2891766,Greedy_FlatArray,2
16.3636,234740137,2432629,Greedy_FlatArray,2
16.3589,235212302,2904794,Greedy_FlatArray,2
16.0841,234733013,2425505,Greedy_FlatArray,2
16.602,235211665,2904157,Greedy_FlatArray,2
16.3466,234744654,2437146,Greedy_FlatArray,2
15.4881,235205285,2897777,Greedy_FlatArray,2
16.9809,234742515,2435007,Greedy_FlatArray,2
15.9787,232499068,191560,Greedy_FlatArray,2
237.7269,233376378,1068870,Greedy_FlatArray,2
9.4867,236143679,3836171,Greedy_FlatArray,2
