FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
13.5573,150584688,0,Greedy_FlatArray,0
583.4893,151900058,1315370,Greedy_FlatArray,0
15.2763,150584792,104,Greedy_FlatArray,0
33.6601,151947459,1362771,Greedy_FlatArray,0
48.1986,150584880,192,Greedy_FlatArray,0
39.2886,151990426,1405738,Greedy_FlatArray,0
39.454,150583352,-1336,Greedy_FlatArray,0
13.7264,151999411,1414723,Greedy_FlatArray,0
7.7792,150573740,-10948,Greedy_FlatArray,0
7.8557,152026227,1441539,Greedy_FlatArray,0
7.5481,150573828,-10860,Greedy_FlatArray,0
8.070499,152056044,1471356,Greedy_FlatArray,0
7.4859,150573804,-10884,Greedy_FlatArray,0
8.018399,150598208,13520,Greedy_FlatArray,0
7.859,152078731,1494043,Greedy_FlatArray,0
7.5042,151841975,1257287,Greedy_FlatArray,0
7.8005,152075320,1490632,Greedy_FlatArray,0
8.2428,151889964,1305276,Greedy_FlatArray,0
7.3811,152073502,1488814,Greedy_FlatArray,0
9.4101,151941759,1357071,Greedy_FlatArray,0
6.0738,152104380,1519692,Greedy_FlatArray,0
8.1663,151928296,1343608,Greedy_FlatArray,0
7.6686,152136070,1551382,Greedy_FlatArray,0
8.0664,151941046,1356358,Greedy_FlatArray,0
7.385,152184576,1599888,Greedy_FlatArray,0
7.9367,151976120,1391432,Greedy_FlatArray,0
8.5902,152198212,1613524,Greedy_FlatArray,0
6.9843,151988584,1403896,Greedy_FlatArray,0
7.6453,152212247,1627559,Greedy_FlatArray,0
7.7409,152016574,1431886,Greedy_FlatArray,0
7.8471,152270680,1685992,Greedy_FlatArray,0
8.0764,156375058,5790370,Greedy_FlatArray,0
9.8818,156641844,6057156,Greedy_FlatArray,0
14.3241,154896704,4312016,Greedy_FlatArray,0
3.5629,156668687,6083999,Greedy_FlatArray,0
8.92,154896008,4311320,Greedy_FlatArray,0
9.4888,156690883,6106195,Greedy_FlatArray,0
7.9315,154895984,4311296,Greedy_FlatArray,0
7.5969,154895972,4311284,Greedy_FlatArray,0
10.7871,156738910,6154222,Greedy_FlatArray,0
9.4533,156529504,5944816,Greedy_FlatArray,0
4.2813,156723189,6138501,Greedy_FlatArray,0
9.5313,156577209,5992521,Greedy_FlatArray,0
9.559299,156761905,6177217,Greedy_FlatArray,0
7.7958,156567737,5983049,Greedy_FlatArray,0
7.2266,156736364,6151676,Greedy_FlatArray,0
7.8681,156615766,6031078,Greedy_FlatArray,0
9.5431,156649494,6064806,Greedy_FlatArray,0
8.634701,156793602,6208914,Greedy_FlatArray,0
5.8467,157815956,7231268,Greedy_FlatArray,0
7.4928,154895828,4311140,Greedy_FlatArray,0
14.6517,156901297,6316609,Greedy_FlatArray,0
3.5674,154907900,4323212,Greedy_FlatArray,0
8.5642,156908498,6323810,Greedy_FlatArray,0
45.6645,157079095,6494407,Greedy_FlatArray,0
4.1723,156743740,6159052,Greedy_FlatArray,0
10.3798,156865147,6280459,Greedy_FlatArray,0
9.024,156780433,6195745,Greedy_FlatArray,0
7.8185,156993564,6408876,Greedy_FlatArray,0
7.7985,156836707,6252019,Greedy_FlatArray,0
7.5379,156992718,6408030,Greedy_FlatArray,0
10.3145,156844368,6259680,Greedy_FlatArray,0
5.168,157036347,6451659,Greedy_FlatArray,0
7.6248,156794141,6209453,Greedy_FlatArray,0
8.0812,157059496,6474808,Greedy_FlatArray,0
8.300401,156854840,6270152,Greedy_FlatArray,0
7.3362,157083539,6498851,Greedy_FlatArray,0
