FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
13.9519,250836236,0,Light Off,0
13.2772,255289849,4453613,Light Off,0
14.8949,252049514,1213278,Light Off,0
12.6436,253543178,2706942,Light Off,0
13.3511,253084965,2248729,Light Off,0
15.0172,253538392,2702156,Light Off,0
13.7817,253035221,2198985,Light Off,0
13.3798,253179030,2342794,Light Off,0
13.7463,253082883,2246647,Light Off,0
13.9057,253544656,2708420,Light Off,0
13.4041,253078560,2242324,Light Off,0
13.5112,253548702,2712466,Light Off,0
13.5409,253085855,2249619,Light Off,0
13.7854,255305520,4469284,Light Off,0
13.7752,253662020,0,Light Off,1
14.0294,254976311,1314291,Light Off,1
13.4591,251995757,-1666263,Light Off,1
13.362,253217378,-444642,Light Off,1
13.7957,253689756,27736,Light Off,1
14.5369,253224537,-437483,Light Off,1
14.0713,253689033,27013,Light Off,1
13.3949,253231264,-430756,Light Off,1
13.6724,253683363,21343,Light Off,1
13.8445,253226647,-435373,Light Off,1
13.6577,253694171,32151,Light Off,1
13.6257,253219978,-442042,Light Off,1
13.8434,253686960,24940,Light Off,1
13.3321,254993253,1331233,Light Off,1
13.7321,253250225,0,Light Off,2
13.5925,255482783,2232558,Light Off,2
13.6729,253264160,13935,Light Off,2
13.982,253731535,481310,Light Off,2
13.7589,253275696,25471,Light Off,2
15.0808,253725527,475302,Light Off,2
13.5862,253273332,23107,Light Off,2
13.3618,253731495,481270,Light Off,2
13.5872,253281907,31682,Light Off,2
14.6836,252045787,-1204438,Light Off,2
12.9524,253268249,18024,Light Off,2
13.6564,253738109,487884,Light Off,2
13.9387,253271260,21035,Light Off,2
13.9271,255497724,2247499,Light Off,2
15.0908,232393644,0,Light On,0
14.4956,235003533,2609889,Light On,0
14.52,235117024,2723380,Light On,0
14.4319,234646599,2252955,Light On,0
14.7316,235114317,2720673,Light On,0
15.651,234646002,2252358,Light On,0
14.7883,235114110,2720466,Light On,0
14.8369,234657673,2264029,Light On,0
14.394,235112585,2718941,Light On,0
14.377,234654929,2261285,Light On,0
15.7314,233425563,1031919,Light On,0
14.0929,234645709,2252065,Light On,0
14.3385,235118120,2724476,Light On,0
14.6072,235028954,2635310,Light On,0
14.8029,235208994,0,Light On,1
15.0686,234091455,-1117539,Light On,1
14.5037,235246524,37530,Light On,1
14.7623,234778413,-430581,Light On,1
14.8539,235245758,36764,Light On,1
16.4117,234784508,-424486,Light On,1
14.4602,235239950,30956,Light On,1
14.8215,234788987,-420007,Light On,1
14.8024,235248760,39766,Light On,1
14.7976,234784476,-424518,Light On,1
14.9467,235248815,39821,Light On,1
15.1015,234780090,-428904,Light On,1
14.3075,235250449,41455,Light On,1
14.8308,235153008,-55986,Light On,1
14.8602,234739794,0,Light On,2
14.6299,235560394,820600,Light On,2
14.797,234771110,31316,Light On,2
14.7395,235225396,485602,Light On,2
14.795,234771232,31438,Light On,2
16.0348,235234622,494828,Light On,2
14.6603,234761988,22194,Light On,2
14.5662,235238241,498447,Light On,2
14.8678,234768875,29081,Light On,2
14.8828,235228117,488323,Light On,2
14.7687,234772932,33138,Light On,2
14.2393,235225450,485656,Light On,2
15.2806,233738353,-1001441,Light On,2
14.3448,235606304,866510,Light On,2
