FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
13.875,231985888,0,Light Off,0
110.354,234225858,2239970,Light Off,0
7.467,236347501,4361613,Light Off,0
69.7206,233124705,1138817,Light Off,0
68.2718,234362060,2376172,Light Off,0
46.5543,234822972,2837084,Light Off,0
14.0933,234363177,2377289,Light Off,0
13.8581,234826325,2840437,Light Off,0
13.5955,234361324,2375436,Light Off,0
15.0189,234833177,2847289,Light Off,0
15.4736,234361037,2375149,Light Off,0
14.8379,234828104,2842216,Light Off,0
15.5058,234365372,2379484,Light Off,0
14.7052,232120248,134360,Light Off,0
143.1758,234374794,2388906,Light Off,0
7.423,236958652,4972764,Light Off,0
13.6998,232115136,0,Light Off,1
146.6277,234354474,2239338,Light Off,1
9.660501,236946237,4831101,Light Off,1
67.5963,233445615,1330479,Light Off,1
68.3506,234955012,2839876,Light Off,1
64.3876,234487430,2372294,Light Off,1
22.4367,234949750,2834614,Light Off,1
13.7819,234488614,2373478,Light Off,1
14.1754,234947240,2832104,Light Off,1
14.9571,234486416,2371280,Light Off,1
15.2363,234951794,2836658,Light Off,1
15.0803,234488334,2373198,Light Off,1
15.0573,234952016,2836880,Light Off,1
15.7583,232248036,132900,Light Off,1
176.5177,234504886,2389750,Light Off,1
8.6813,236620921,4505785,Light Off,1
13.6676,232197448,0,Light Off,2
142.3216,234434840,2237392,Light Off,2
9.4279,237019225,4821777,Light Off,2
67.9942,233530621,1333173,Light Off,2
68.1534,235032069,2834621,Light Off,2
33.9723,234572164,2374716,Light Off,2
14.8199,235035260,2837812,Light Off,2
13.8632,234562371,2364923,Light Off,2
13.663,235034157,2836709,Light Off,2
15.2977,234569656,2372208,Light Off,2
15.6127,235027991,2830543,Light Off,2
15.2357,234573952,2376504,Light Off,2
15.625,235026164,2828716,Light Off,2
14.7839,232331760,134312,Light Off,2
174.2865,234583728,2386280,Light Off,2
10.5942,236609908,4412460,Light Off,2
14.6155,232229712,0,Light On,0
433.2636,233073478,843766,Light On,0
12.7551,235234656,3004944,Light On,0
67.4762,233420070,1190358,Light On,0
69.866,234654393,2424681,Light On,0
74.6622,235122507,2892795,Light On,0
27.2555,232421304,191592,Light On,0
26.762,235119777,2890065,Light On,0
6.3062,234657392,2427680,Light On,0
17.203,235119300,2889588,Light On,0
16.844,234650990,2421278,Light On,0
17.4256,235119132,2889420,Light On,0
18.5713,233618565,1388853,Light On,0
15.6337,232419752,190040,Light On,0
275.2152,233310784,1081072,Light On,0
13.1343,236061345,3831633,Light On,0
14.8869,232311352,0,Light On,1
428.6379,233156901,845549,Light On,1
11.8048,235262465,2951113,Light On,1
68.1378,233504073,1192721,Light On,1
69.0851,234742955,2431603,Light On,1
73.65089,235214192,2902840,Light On,1
20.5597,234735234,2423882,Light On,1
15.2134,235205788,2894436,Light On,1
17.3277,234744474,2433122,Light On,1
17.2259,235203625,2892273,Light On,1
17.5558,234746596,2435244,Light On,1
18.2387,235203663,2892311,Light On,1
15.9838,234741819,2430467,Light On,1
17.1227,232503080,191728,Light On,1
250.712,233394451,1083099,Light On,1
9.663401,236156405,3845053,Light On,1
14.3028,232307508,0,Light On,2
385.2845,233152484,844976,Light On,2
10.3633,235284446,2976938,Light On,2
67.8932,233501597,1194089,Light On,2
60.2454,234740793,2433285,Light On,2
15.0401,235199274,2891766,Light On,2
16.3636,234740137,2432629,Light On,2
16.3589,235212302,2904794,Light On,2
16.0841,234733013,2425505,Light On,2
16.602,235211665,2904157,Light On,2
16.3466,234744654,2437146,Light On,2
15.4881,235205285,2897777,Light On,2
16.9809,234742515,2435007,Light On,2
15.9787,232499068,191560,Light On,2
237.7269,233376378,1068870,Light On,2
9.4867,236143679,3836171,Light On,2
