FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
1332.303,94103239,0,Light Off,0
604.1068,95459650,1356411,Light Off,0
188.8132,95218374,1115135,Light Off,0
16.9748,95507115,1403876,Light Off,0
40.1713,95242719,1139480,Light Off,0
47.1493,95550178,1446939,Light Off,0
43.8766,95268166,1164927,Light Off,0
34.3135,95569903,1466664,Light Off,0
8.5071,95291107,1187868,Light Off,0
7.2202,95339087,1235848,Light Off,0
12.8752,95576725,1473486,Light Off,0
3.6285,95412521,1309282,Light Off,0
8.2384,95567149,1463910,Light Off,0
9.7392,95428643,1325404,Light Off,0
8.0763,95410921,1307682,Light Off,0
7.8303,95646088,1542849,Light Off,0
8.909,95423804,1320565,Light Off,0
8.6352,95705952,1602713,Light Off,0
7.988,95448567,1345328,Light Off,0
8.8779,95482265,1379026,Light Off,0
8.415,95479779,1376540,Light Off,0
13.0051,95783205,1679966,Light Off,0
18.9571,95502969,1399730,Light Off,0
4.5766,95808681,1705442,Light Off,0
8.0154,95525725,1422486,Light Off,0
10.2524,95573963,1470724,Light Off,0
7.5804,95780174,1676935,Light Off,0
7.8347,95599217,1495978,Light Off,0
8.0382,95831131,1727892,Light Off,0
8.1719,95623727,1520488,Light Off,0
14.7652,95868688,1765449,Light Off,0
4.2199,97310226,3206987,Light Off,0
7.3995,95714191,1610952,Light Off,0
9.7735,95831129,1727890,Light Off,0
8.088201,95633996,1530757,Light Off,0
7.9526,95953908,1850669,Light Off,0
7.556,95694052,1590813,Light Off,0
8.1812,95966015,1862776,Light Off,0
7.4613,95730299,1627060,Light Off,0
8.0563,95646592,1543353,Light Off,0
10.6325,95997828,1894589,Light Off,0
5.8807,95848259,1745020,Light Off,0
7.1955,95931246,1828007,Light Off,0
7.5309,95846346,1743107,Light Off,0
8.119699,95968685,1865446,Light Off,0
15.8835,95933387,1830148,Light Off,0
4.0766,95980809,1877570,Light Off,0
10.0965,95944586,1841347,Light Off,0
10.7095,97410182,3306943,Light Off,0
6.683,95774920,1671681,Light Off,0
7.5844,95955324,1852085,Light Off,0
9.9369,95645408,1542169,Light Off,0
9.2211,96128974,2025735,Light Off,0
8.3392,95645384,1542145,Light Off,0
7.3846,96153472,2050233,Light Off,0
7.6959,95945016,1841777,Light Off,0
9.808001,96180315,2077076,Light Off,0
6.3511,95970170,1866931,Light Off,0
7.5162,95634588,1531349,Light Off,0
