FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
13.7443,253032877,0,Greedy_FlatArray,0
14.2652,253091469,58592,Greedy_FlatArray,0
13.591,253157514,124637,Greedy_FlatArray,0
13.8931,253198883,166006,Greedy_FlatArray,0
14.5119,253232099,199222,Greedy_FlatArray,0
14.234,251990192,-1042685,Greedy_FlatArray,0
13.3866,253086798,53921,Greedy_FlatArray,0
13.958,253143374,110497,Greedy_FlatArray,0
14.362,253184039,151162,Greedy_FlatArray,0
13.8638,253232454,199577,Greedy_FlatArray,0
14.467,253024370,-8507,Greedy_FlatArray,0
14.3121,253083381,50504,Greedy_FlatArray,0
16.2796,251033679,-1999198,Greedy_FlatArray,0
11.4724,252153603,-879274,Greedy_FlatArray,0
15.7412,251924406,-1108471,Greedy_FlatArray,0
12.9185,253023861,-9016,Greedy_FlatArray,0
13.6265,253094208,61331,Greedy_FlatArray,0
14.5351,253157641,124764,Greedy_FlatArray,0
13.8998,253198707,165830,Greedy_FlatArray,0
14.0824,253240546,207669,Greedy_FlatArray,0
14.5025,253029223,-3654,Greedy_FlatArray,0
14.2915,253090373,57496,Greedy_FlatArray,0
13.5618,253143562,110685,Greedy_FlatArray,0
14.4539,253181512,148635,Greedy_FlatArray,0
13.827,253230855,197978,Greedy_FlatArray,0
14.448,253023752,-9125,Greedy_FlatArray,0
14.2231,253079761,46884,Greedy_FlatArray,0
14.4721,253146177,113300,Greedy_FlatArray,0
14.4073,253165440,132563,Greedy_FlatArray,0
14.4579,253224694,191817,Greedy_FlatArray,0
14.1537,253012549,-20328,Greedy_FlatArray,0
14.1021,253069891,37014,Greedy_FlatArray,0
14.7167,253133151,100274,Greedy_FlatArray,0
14.4289,253127422,94545,Greedy_FlatArray,0
14.8719,253131999,99122,Greedy_FlatArray,0
14.2653,253128693,95816,Greedy_FlatArray,0
14.7269,253132114,99237,Greedy_FlatArray,0
14.1008,253134186,101309,Greedy_FlatArray,0
14.2748,253131963,99086,Greedy_FlatArray,0
14.5548,253130741,97864,Greedy_FlatArray,0
14.7307,253137486,104609,Greedy_FlatArray,0
14.6206,253176684,143807,Greedy_FlatArray,0
14.6445,253222311,189434,Greedy_FlatArray,0
14.5884,253012958,-19919,Greedy_FlatArray,0
14.5508,253082454,49577,Greedy_FlatArray,0
14.6734,253139044,106167,Greedy_FlatArray,0
14.4055,253178022,145145,Greedy_FlatArray,0
14.5538,253221797,188920,Greedy_FlatArray,0
14.8728,251991174,-1041703,Greedy_FlatArray,0
14.5414,252057604,-975273,Greedy_FlatArray,0
14.5173,253142041,109164,Greedy_FlatArray,0
14.8845,253142316,109439,Greedy_FlatArray,0
14.7125,253138046,105169,Greedy_FlatArray,0
14.4478,253142711,109834,Greedy_FlatArray,0
15.1108,253137264,104387,Greedy_FlatArray,0
14.1672,253142785,109908,Greedy_FlatArray,0
15.185,253143914,111037,Greedy_FlatArray,0
14.7558,253147515,114638,Greedy_FlatArray,0
14.3811,253179442,146565,Greedy_FlatArray,0
15.7489,251922144,-1110733,Greedy_FlatArray,0
13.6306,253024096,-8781,Greedy_FlatArray,0
14.9094,253083150,50273,Greedy_FlatArray,0
15.1751,253141668,108791,Greedy_FlatArray,0
14.927,253183526,150649,Greedy_FlatArray,0
14.771,253233753,200876,Greedy_FlatArray,0
15.0863,253021605,-11272,Greedy_FlatArray,0
