FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
14.4324,272006275,0,Greedy_FlatArray,0
14.8074,273226748,1220473,Greedy_FlatArray,0
14.7588,274404191,2397916,Greedy_FlatArray,0
14.5187,274255911,2249636,Greedy_FlatArray,0
15.8987,274408411,2402136,Greedy_FlatArray,0
14.3545,274262256,2255981,Greedy_FlatArray,0
15.1575,274714991,2708716,Greedy_FlatArray,0
14.0425,274212200,2205925,Greedy_FlatArray,0
14.6731,274358166,2351891,Greedy_FlatArray,0
14.2876,274259816,2253541,Greedy_FlatArray,0
14.4117,274406262,2399987,Greedy_FlatArray,0
15.1852,274257676,2251401,Greedy_FlatArray,0
14.9667,274011320,0,Greedy_FlatArray,1
16.6837,272910992,-1100328,Greedy_FlatArray,1
15.1193,274089354,78034,Greedy_FlatArray,1
15.5595,272913308,-1098012,Greedy_FlatArray,1
15.5911,274090871,79551,Greedy_FlatArray,1
14.6799,273948767,-62553,Greedy_FlatArray,1
14.6326,274401754,390434,Greedy_FlatArray,1
14.9294,273898472,-112848,Greedy_FlatArray,1
14.8916,274042160,30840,Greedy_FlatArray,1
15.7247,273939807,-71513,Greedy_FlatArray,1
14.614,274093021,81701,Greedy_FlatArray,1
14.8348,273941920,-69400,Greedy_FlatArray,1
19.4854,272027203,0,Greedy_FlatArray,2
10.9197,273052807,1025604,Greedy_FlatArray,2
15.0217,274282042,2254839,Greedy_FlatArray,2
14.6869,274736164,2708961,Greedy_FlatArray,2
17.3697,274230725,2203522,Greedy_FlatArray,2
15.0642,274370140,2342937,Greedy_FlatArray,2
14.0945,274232937,2205734,Greedy_FlatArray,2
16.6929,274381327,2354124,Greedy_FlatArray,2
15.1054,274276519,2249316,Greedy_FlatArray,2
15.5045,274429923,2402720,Greedy_FlatArray,2
16.2158,273252121,1224918,Greedy_FlatArray,2
12.653,274735742,2708539,Greedy_FlatArray,2
