FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
14.3219,253144847,0,Greedy_FlatArray,0
438.6768,253332867,188020,Greedy_FlatArray,0
33.7139,255569114,2424267,Greedy_FlatArray,0
45.3175,256034510,2889663,Greedy_FlatArray,0
74.0918,254531010,1386163,Greedy_FlatArray,0
66.4072,256034483,2889636,Greedy_FlatArray,0
58.3822,255564113,2419266,Greedy_FlatArray,0
21.2352,256033900,2889053,Greedy_FlatArray,0
15.548,255570558,2425711,Greedy_FlatArray,0
17.1745,256022507,2877660,Greedy_FlatArray,0
17.5551,255564495,2419648,Greedy_FlatArray,0
17.6978,253330703,185856,Greedy_FlatArray,0
14.5912,253031459,0,Greedy_FlatArray,1
465.1073,253219471,188012,Greedy_FlatArray,1
31.7656,255606000,2574541,Greedy_FlatArray,1
45.9763,255446202,2414743,Greedy_FlatArray,1
75.0304,255918930,2887471,Greedy_FlatArray,1
43.1152,255453040,2421581,Greedy_FlatArray,1
15.4293,255912107,2880648,Greedy_FlatArray,1
14.7668,255452609,2421150,Greedy_FlatArray,1
16.3319,255915973,2884514,Greedy_FlatArray,1
16.6148,255445959,2414500,Greedy_FlatArray,1
15.5086,255915527,2884068,Greedy_FlatArray,1
16.3628,253219031,187572,Greedy_FlatArray,1
14.4688,252792427,0,Greedy_FlatArray,2
364.1209,252980399,187972,Greedy_FlatArray,2
27.8561,255214499,2422072,Greedy_FlatArray,2
50.6456,255673211,2880784,Greedy_FlatArray,2
75.6677,255216961,2424534,Greedy_FlatArray,2
48.1558,255673606,2881179,Greedy_FlatArray,2
14.2994,255211751,2419324,Greedy_FlatArray,2
15.0374,255677132,2884705,Greedy_FlatArray,2
16.3336,255209225,2416798,Greedy_FlatArray,2
16.535,255678672,2886245,Greedy_FlatArray,2
16.1812,255216108,2423681,Greedy_FlatArray,2
16.3932,252979959,187532,Greedy_FlatArray,2
