FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
1052.006,94095867,0,Greedy_FlatArray,0
581.0734,95106190,1010323,Greedy_FlatArray,0
106.686,95130627,1034760,Greedy_FlatArray,0
14.8606,95155926,1060059,Greedy_FlatArray,0
41.4689,95179135,1083268,Greedy_FlatArray,0
47.9405,95203947,1108080,Greedy_FlatArray,0
18.8013,95228464,1132597,Greedy_FlatArray,0
21.4056,95252821,1156954,Greedy_FlatArray,0
16.5526,95277450,1181583,Greedy_FlatArray,0
16.3434,95300403,1204536,Greedy_FlatArray,0
14.2119,95323891,1228024,Greedy_FlatArray,0
16.0974,95346844,1250977,Greedy_FlatArray,0
14.6177,95370874,1275007,Greedy_FlatArray,0
15.6233,95394218,1298351,Greedy_FlatArray,0
12.8987,95417171,1321304,Greedy_FlatArray,0
17.5726,95440124,1344257,Greedy_FlatArray,0
20.6049,95463308,1367441,Greedy_FlatArray,0
14.0622,95486373,1390506,Greedy_FlatArray,0
17.6706,95510252,1414385,Greedy_FlatArray,0
25.4407,99956904,5861037,Greedy_FlatArray,0
36.1593,99895323,5799456,Greedy_FlatArray,0
27.9109,99895311,5799444,Greedy_FlatArray,0
23.5106,99895139,5799272,Greedy_FlatArray,0
28.533,100103539,6007672,Greedy_FlatArray,0
14.7765,100091999,5996132,Greedy_FlatArray,0
16.2531,100154370,6058503,Greedy_FlatArray,0
17.7772,100141481,6045614,Greedy_FlatArray,0
20.3726,100257701,6161834,Greedy_FlatArray,0
35.8309,99929723,5833856,Greedy_FlatArray,0
20.0915,99966479,5870612,Greedy_FlatArray,0
24.1365,99929955,5834088,Greedy_FlatArray,0
12.2508,100277886,6182019,Greedy_FlatArray,0
26.3662,100300560,6204693,Greedy_FlatArray,0
17.637,99929835,5833968,Greedy_FlatArray,0
24.2063,100459612,6363745,Greedy_FlatArray,0
20.7257,100412909,6317042,Greedy_FlatArray,0
20.0896,100589332,6493465,Greedy_FlatArray,0
15.6016,99966527,5870660,Greedy_FlatArray,0
21.9933,100567333,6471466,Greedy_FlatArray,0
21.2344,100594266,6498399,Greedy_FlatArray,0
25.0533,100509286,6413419,Greedy_FlatArray,0
16.8567,100609327,6513460,Greedy_FlatArray,0
9.7791,100558601,6462734,Greedy_FlatArray,0
10.6795,100581383,6485516,Greedy_FlatArray,0
21.893,100604644,6508777,Greedy_FlatArray,0
23.7917,100740855,6644988,Greedy_FlatArray,0
25.8204,99930227,5834360,Greedy_FlatArray,0
15.6032,100830466,6734599,Greedy_FlatArray,0
18.8126,100821633,6725766,Greedy_FlatArray,0
12.8051,100960259,6864392,Greedy_FlatArray,0
13.6387,100913992,6818125,Greedy_FlatArray,0
23.4733,100833859,6737992,Greedy_FlatArray,0
22.0294,101160495,7064628,Greedy_FlatArray,0
28.8804,100038111,5942244,Greedy_FlatArray,0
39.3193,101363936,7268069,Greedy_FlatArray,0
23.4307,100449159,6353292,Greedy_FlatArray,0
27.7974,100449547,6353680,Greedy_FlatArray,0
22.9318,101508376,7412509,Greedy_FlatArray,0
19.7421,101533006,7437139,Greedy_FlatArray,0
20.0021,101595872,7500005,Greedy_FlatArray,0
19.8087,100737378,6641511,Greedy_FlatArray,0
22.1956,100568970,6473103,Greedy_FlatArray,0
19.4111,100559663,6463796,Greedy_FlatArray,0
20.2078,100449779,6353912,Greedy_FlatArray,0
17.1923,100759055,6663188,Greedy_FlatArray,0
17.7533,100824334,6728467,Greedy_FlatArray,0
20.1546,100764651,6668784,Greedy_FlatArray,0
32.8607,100980044,6884177,Greedy_FlatArray,0
23.2757,100893067,6797200,Greedy_FlatArray,0
24.7751,100783391,6687524,Greedy_FlatArray,0
23.7321,101052863,6956996,Greedy_FlatArray,0
26.2569,101021495,6925628,Greedy_FlatArray,0
32.6658,100947075,6851208,Greedy_FlatArray,0
20.4464,100947883,6852016,Greedy_FlatArray,0
20.804,101392319,7296452,Greedy_FlatArray,0
15.9468,101603838,7507971,Greedy_FlatArray,0
21.8851,101521542,7425675,Greedy_FlatArray,0
25.3619,101625208,7529341,Greedy_FlatArray,0
29.4778,101133159,7037292,Greedy_FlatArray,0
19.5567,101195123,7099256,Greedy_FlatArray,0
22.8605,101196175,7100308,Greedy_FlatArray,0
25.102,101120939,7025072,Greedy_FlatArray,0
13.4117,101912339,7816472,Greedy_FlatArray,0
15.7264,101979212,7883345,Greedy_FlatArray,0
21.3641,101241947,7146080,Greedy_FlatArray,0
25.9482,102088536,7992669,Greedy_FlatArray,0
20.9154,101274175,7178308,Greedy_FlatArray,0
24.0067,101385587,7289720,Greedy_FlatArray,0
22.7,101349383,7253516,Greedy_FlatArray,0
21.0184,101520375,7424508,Greedy_FlatArray,0
30.0744,101422647,7326780,Greedy_FlatArray,0
32.1767,101499731,7403864,Greedy_FlatArray,0
29.7444,102450639,8354772,Greedy_FlatArray,0
16.1435,101560663,7464796,Greedy_FlatArray,0
28.5117,102536965,8441098,Greedy_FlatArray,0
20.5345,101527587,7431720,Greedy_FlatArray,0
33.6138,101528835,7432968,Greedy_FlatArray,0
23.5426,101522947,7427080,Greedy_FlatArray,0
23.6992,102774170,8678303,Greedy_FlatArray,0
23.6667,101657415,7561548,Greedy_FlatArray,0
25.4543,101852147,7756280,Greedy_FlatArray,0
20.7774,101598867,7503000,Greedy_FlatArray,0
27.6064,103308589,9212722,Greedy_FlatArray,0
18.7632,101597651,7501784,Greedy_FlatArray,0
21.6186,103367817,9271950,Greedy_FlatArray,0
21.6962,101597595,7501728,Greedy_FlatArray,0
23.1425,103428754,9332887,Greedy_FlatArray,0
22.481,101665255,7569388,Greedy_FlatArray,0
32.4333,103553754,9457887,Greedy_FlatArray,0
18.823,101778155,7682288,Greedy_FlatArray,0
22.6999,103615002,9519135,Greedy_FlatArray,0
28.4523,101878543,7782676,Greedy_FlatArray,0
28.7816,103815244,9719377,Greedy_FlatArray,0
25.4344,101930119,7834252,Greedy_FlatArray,0
39.3197,104001788,9905921,Greedy_FlatArray,0
33.1494,101928955,7833088,Greedy_FlatArray,0
24.9514,104060948,9965081,Greedy_FlatArray,0
20.8903,102106007,8010140,Greedy_FlatArray,0
32.7291,104299846,10203979,Greedy_FlatArray,0
20.3211,102197647,8101780,Greedy_FlatArray,0
26.3227,104453751,10357884,Greedy_FlatArray,0
18.7486,102375091,8279224,Greedy_FlatArray,0
30.9302,104692116,10596249,Greedy_FlatArray,0
20.1745,102513279,8417412,Greedy_FlatArray,0
26.5921,104893722,10797855,Greedy_FlatArray,0
18.8154,102571155,8475288,Greedy_FlatArray,0
19.8063,105011413,10915546,Greedy_FlatArray,0
20.3577,102653367,8557500,Greedy_FlatArray,0
29.4886,105154373,11058506,Greedy_FlatArray,0
19.0738,102653271,8557404,Greedy_FlatArray,0
22.376,103117454,9021587,Greedy_FlatArray,0
24.8918,102681463,8585596,Greedy_FlatArray,0
18.0277,103204285,9108418,Greedy_FlatArray,0
17.707,102744907,8649040,Greedy_FlatArray,0
27.9227,103327360,9231493,Greedy_FlatArray,0
21.3524,102856427,8760560,Greedy_FlatArray,0
28.8006,103498685,9402818,Greedy_FlatArray,0
19.1358,102951607,8855740,Greedy_FlatArray,0
31.7178,103653592,9557725,Greedy_FlatArray,0
20.3269,103032287,8936420,Greedy_FlatArray,0
26.7959,103794910,9699043,Greedy_FlatArray,0
19.7647,103030271,8934404,Greedy_FlatArray,0
23.7654,103850254,9754387,Greedy_FlatArray,0
18.0847,103319771,9223904,Greedy_FlatArray,0
33.4014,103908347,9812480,Greedy_FlatArray,0
25.024,103518839,9422972,Greedy_FlatArray,0
26.5633,104461829,10365962,Greedy_FlatArray,0
20.2634,103641771,9545904,Greedy_FlatArray,0
33.4633,104645956,10550089,Greedy_FlatArray,0
19.3731,103712687,9616820,Greedy_FlatArray,0
23.5613,104778330,10682463,Greedy_FlatArray,0
27.0212,103809479,9713612,Greedy_FlatArray,0
34.4867,104936045,10840178,Greedy_FlatArray,0
24.2227,103847759,9751892,Greedy_FlatArray,0
29.6068,103951775,9855908,Greedy_FlatArray,0
42.3548,105177349,11081482,Greedy_FlatArray,0
19.569,104058799,9962932,Greedy_FlatArray,0
37.8665,105345269,11249402,Greedy_FlatArray,0
23.3015,104210787,10114920,Greedy_FlatArray,0
37.0113,105558694,11462827,Greedy_FlatArray,0
18.8972,104242303,10146436,Greedy_FlatArray,0
27.7326,105653823,11557956,Greedy_FlatArray,0
21.1017,104391919,10296052,Greedy_FlatArray,0
40.2396,105866552,11770685,Greedy_FlatArray,0
21.5228,104647467,10551600,Greedy_FlatArray,0
24.4034,105136436,11040569,Greedy_FlatArray,0
20.6613,104837595,10741728,Greedy_FlatArray,0
37.8443,105387981,11292114,Greedy_FlatArray,0
18.1572,104881999,10786132,Greedy_FlatArray,0
