FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
14.0591,272516298,0,Greedy_FlatArray,0
14.1463,272310013,-206285,Greedy_FlatArray,0
14.44,272369947,-146351,Greedy_FlatArray,0
14.0246,271397972,-1118326,Greedy_FlatArray,0
14.2919,272474001,-42297,Greedy_FlatArray,0
14.5604,272517004,706,Greedy_FlatArray,0
13.6348,272308528,-207770,Greedy_FlatArray,0
14.4525,272365156,-151142,Greedy_FlatArray,0
14.1034,272434588,-81710,Greedy_FlatArray,0
14.0521,272468157,-48141,Greedy_FlatArray,0
14.283,272509922,-6376,Greedy_FlatArray,0
14.2315,272295393,-220905,Greedy_FlatArray,0
14.2557,272362731,-153567,Greedy_FlatArray,0
14.345,272420352,-95946,Greedy_FlatArray,0
14.5284,272451439,-64859,Greedy_FlatArray,0
14.3955,272501924,-14374,Greedy_FlatArray,0
14.253,272289179,-227119,Greedy_FlatArray,0
14.4776,272351036,-165262,Greedy_FlatArray,0
14.7675,271356450,-1159848,Greedy_FlatArray,0
13.5788,272408838,-107460,Greedy_FlatArray,0
14.4485,272406275,-110023,Greedy_FlatArray,0
14.705,272405486,-110812,Greedy_FlatArray,0
14.5321,271355659,-1160639,Greedy_FlatArray,0
14.3265,272406512,-109786,Greedy_FlatArray,0
14.605,272406272,-110026,Greedy_FlatArray,0
14.2511,272409864,-106434,Greedy_FlatArray,0
14.5944,272418605,-97693,Greedy_FlatArray,0
14.519,272457197,-59101,Greedy_FlatArray,0
14.4769,272499442,-16856,Greedy_FlatArray,0
14.7654,272294155,-222143,Greedy_FlatArray,0
14.8998,272356907,-159391,Greedy_FlatArray,0
14.6035,272413384,-102914,Greedy_FlatArray,0
15.0471,272452979,-63319,Greedy_FlatArray,0
14.4756,272498248,-18050,Greedy_FlatArray,0
15.251,272292394,-223904,Greedy_FlatArray,0
13.7893,272362513,-153785,Greedy_FlatArray,0
14.7777,272418839,-97459,Greedy_FlatArray,0
16.1946,271432111,-1084187,Greedy_FlatArray,0
12.9939,272503071,-13227,Greedy_FlatArray,0
15.3834,272298917,-217381,Greedy_FlatArray,0
15.0078,272357551,-158747,Greedy_FlatArray,0
15.3347,272419479,-96819,Greedy_FlatArray,0
14.8363,272419276,-97022,Greedy_FlatArray,0
15.7142,272424226,-92072,Greedy_FlatArray,0
14.6565,272460687,-55611,Greedy_FlatArray,0
14.8014,272506641,-9657,Greedy_FlatArray,0
14.6794,272296812,-219486,Greedy_FlatArray,0
14.9173,271329684,-1186614,Greedy_FlatArray,0
14.9194,272419743,-96555,Greedy_FlatArray,0
15.3228,272459498,-56800,Greedy_FlatArray,0
16.071,272511391,-4907,Greedy_FlatArray,0
14.7151,272300921,-215377,Greedy_FlatArray,0
14.9484,272364163,-152135,Greedy_FlatArray,0
15.2344,272423110,-93188,Greedy_FlatArray,0
14.6353,272457292,-59006,Greedy_FlatArray,0
15.7923,272505588,-10710,Greedy_FlatArray,0
17.8917,272300854,-215444,Greedy_FlatArray,0
15.1493,272346802,-169496,Greedy_FlatArray,0
14.8907,272410674,-105624,Greedy_FlatArray,0
15.2851,272448312,-67986,Greedy_FlatArray,0
16.4557,272494562,-21736,Greedy_FlatArray,0
13.604,272286683,-229615,Greedy_FlatArray,0
15.2463,272352736,-163562,Greedy_FlatArray,0
15.0322,271386430,-1129868,Greedy_FlatArray,0
15.1243,272445781,-70517,Greedy_FlatArray,0
14.8915,272493148,-23150,Greedy_FlatArray,0
14.9743,271253968,-1262330,Greedy_FlatArray,0
17.0439,271322783,-1193515,Greedy_FlatArray,0
13.3268,272418681,-97617,Greedy_FlatArray,0
14.9519,272459142,-57156,Greedy_FlatArray,0
17.2145,272498167,-18131,Greedy_FlatArray,0
12.9436,272297270,-219028,Greedy_FlatArray,0
15.3052,272357296,-159002,Greedy_FlatArray,0
15.6976,272427642,-88656,Greedy_FlatArray,0
15.1285,272450985,-65313,Greedy_FlatArray,0
15.9922,272505006,-11292,Greedy_FlatArray,0
14.7696,271255060,-1261238,Greedy_FlatArray,0
15.5382,272354073,-162225,Greedy_FlatArray,0
14.8176,272420770,-95528,Greedy_FlatArray,0
14.9773,272453376,-62922,Greedy_FlatArray,0
15.2974,272484231,-32067,Greedy_FlatArray,0
14.7585,272282304,-233994,Greedy_FlatArray,0
15.1788,272290084,-226214,Greedy_FlatArray,0
15.0179,271251810,-1264488,Greedy_FlatArray,0
15.037,272293289,-223009,Greedy_FlatArray,0
15.3036,272288743,-227555,Greedy_FlatArray,0
14.8511,272288997,-227301,Greedy_FlatArray,0
15.8961,271250692,-1265606,Greedy_FlatArray,0
14.7534,272286740,-229558,Greedy_FlatArray,0
14.8312,272297794,-218504,Greedy_FlatArray,0
15.4531,272298095,-218203,Greedy_FlatArray,0
15.2397,272294841,-221457,Greedy_FlatArray,0
15.031,272297735,-218563,Greedy_FlatArray,0
15.2058,272291877,-224421,Greedy_FlatArray,0
14.7657,272292504,-223794,Greedy_FlatArray,0
15.2875,272282687,-233611,Greedy_FlatArray,0
14.6051,272282701,-233597,Greedy_FlatArray,0
15.3725,271242648,-1273650,Greedy_FlatArray,0
14.4842,272273037,-243261,Greedy_FlatArray,0
15.2478,272276714,-239584,Greedy_FlatArray,0
15.1891,272276599,-239699,Greedy_FlatArray,0
15.3039,272269974,-246324,Greedy_FlatArray,0
14.611,272273180,-243118,Greedy_FlatArray,0
15.0332,272271763,-244535,Greedy_FlatArray,0
14.9838,272265898,-250400,Greedy_FlatArray,0
15.0713,272263874,-252424,Greedy_FlatArray,0
15.1388,272262992,-253306,Greedy_FlatArray,0
15.2146,272267152,-249146,Greedy_FlatArray,0
14.7499,272273834,-242464,Greedy_FlatArray,0
15.3543,272273997,-242301,Greedy_FlatArray,0
15.4539,272265417,-250881,Greedy_FlatArray,0
14.6251,272272831,-243467,Greedy_FlatArray,0
14.8724,272268282,-248016,Greedy_FlatArray,0
15.1025,272277434,-238864,Greedy_FlatArray,0
14.7179,272274488,-241810,Greedy_FlatArray,0
15.2027,272271054,-245244,Greedy_FlatArray,0
14.9183,272273766,-242532,Greedy_FlatArray,0
14.9345,272276383,-239915,Greedy_FlatArray,0
14.817,272270967,-245331,Greedy_FlatArray,0
15.3704,272274012,-242286,Greedy_FlatArray,0
14.7242,272263362,-252936,Greedy_FlatArray,0
15.038,271234036,-1282262,Greedy_FlatArray,0
14.8183,272268126,-248172,Greedy_FlatArray,0
15.0942,272266596,-249702,Greedy_FlatArray,0
14.6425,272260802,-255496,Greedy_FlatArray,0
15.1789,272263085,-253213,Greedy_FlatArray,0
14.7279,272256516,-259782,Greedy_FlatArray,0
15.6412,272264346,-251952,Greedy_FlatArray,0
14.8088,271232298,-1284000,Greedy_FlatArray,0
14.4904,271232286,-1284012,Greedy_FlatArray,0
15.2719,272258741,-257557,Greedy_FlatArray,0
14.937,272270545,-245753,Greedy_FlatArray,0
14.7333,272272581,-243717,Greedy_FlatArray,0
15.4107,272270078,-246220,Greedy_FlatArray,0
14.3089,272271656,-244642,Greedy_FlatArray,0
14.7569,272276759,-239539,Greedy_FlatArray,0
15.4864,271232058,-1284240,Greedy_FlatArray,0
14.5138,272274848,-241450,Greedy_FlatArray,0
15.3628,272270629,-245669,Greedy_FlatArray,0
14.7862,272270244,-246054,Greedy_FlatArray,0
14.6087,272270167,-246131,Greedy_FlatArray,0
14.7995,272265523,-250775,Greedy_FlatArray,0
14.6882,272269273,-247025,Greedy_FlatArray,0
14.6376,272270064,-246234,Greedy_FlatArray,0
14.7351,272255183,-261115,Greedy_FlatArray,0
14.9147,271159598,-1356700,Greedy_FlatArray,0
15.4626,273159111,642813,Greedy_FlatArray,0
14.8089,273089129,572831,Greedy_FlatArray,0
14.5674,273087496,571198,Greedy_FlatArray,0
14.5379,273084597,568299,Greedy_FlatArray,0
14.3756,273084489,568191,Greedy_FlatArray,0
15.1338,273087364,571066,Greedy_FlatArray,0
14.6021,273091860,575562,Greedy_FlatArray,0
14.5714,273086753,570455,Greedy_FlatArray,0
14.8065,273086267,569969,Greedy_FlatArray,0
14.2206,273101760,585462,Greedy_FlatArray,0
14.9357,273104207,587909,Greedy_FlatArray,0
14.6302,273102738,586440,Greedy_FlatArray,0
14.4504,273095625,579327,Greedy_FlatArray,0
14.3769,271096084,-1420214,Greedy_FlatArray,0
14.5493,273101361,585063,Greedy_FlatArray,0
14.8722,271086181,-1430117,Greedy_FlatArray,0
14.8486,271087490,-1428808,Greedy_FlatArray,0
14.6149,273078142,561844,Greedy_FlatArray,0
14.4866,273077317,561019,Greedy_FlatArray,0
14.3932,273082679,566381,Greedy_FlatArray,0
14.7453,271085886,-1430412,Greedy_FlatArray,0
14.3765,271085874,-1430424,Greedy_FlatArray,0
14.1439,273065988,549690,Greedy_FlatArray,0
14.6235,271085754,-1430544,Greedy_FlatArray,0
14.5537,273068820,552522,Greedy_FlatArray,0
14.0681,273062148,545850,Greedy_FlatArray,0
14.7429,273064078,547780,Greedy_FlatArray,0
14.6737,271083796,-1432502,Greedy_FlatArray,0
15.5418,270316771,-2199527,Greedy_FlatArray,0
12.8318,273063994,547696,Greedy_FlatArray,0
14.9805,271084016,-1432282,Greedy_FlatArray,0
14.6814,271083972,-1432326,Greedy_FlatArray,0
14.0661,273064884,548586,Greedy_FlatArray,0
14.6538,273071879,555581,Greedy_FlatArray,0
13.9371,273071654,555356,Greedy_FlatArray,0
14.3967,273068442,552144,Greedy_FlatArray,0
14.8175,273068029,551731,Greedy_FlatArray,0
14.5789,271083870,-1432428,Greedy_FlatArray,0
13.8391,271083970,-1432328,Greedy_FlatArray,0
14.9949,273065664,549366,Greedy_FlatArray,0
14.0944,273056783,540485,Greedy_FlatArray,0
14.2557,271077790,-1438508,Greedy_FlatArray,0
14.0907,273052046,535748,Greedy_FlatArray,0
15.2324,271077342,-1438956,Greedy_FlatArray,0
14.1243,273048592,532294,Greedy_FlatArray,0
13.9467,273047838,531540,Greedy_FlatArray,0
14.6838,271076236,-1440062,Greedy_FlatArray,0
14.0502,273048801,532503,Greedy_FlatArray,0
14.6454,271076324,-1439974,Greedy_FlatArray,0
14.3842,271077032,-1439266,Greedy_FlatArray,0
14.3873,271077020,-1439278,Greedy_FlatArray,0
13.7175,273060891,544593,Greedy_FlatArray,0
14.5125,271075664,-1440634,Greedy_FlatArray,0
13.789,273058835,542537,Greedy_FlatArray,0
14.4437,271074607,-1441691,Greedy_FlatArray,0
13.8008,273055746,539448,Greedy_FlatArray,0
14.6046,271073474,-1442824,Greedy_FlatArray,0
13.6055,273059088,542790,Greedy_FlatArray,0
14.5774,271072092,-1444206,Greedy_FlatArray,0
13.4994,273053493,537195,Greedy_FlatArray,0
14.8028,273047902,531604,Greedy_FlatArray,0
13.4603,273046255,529957,Greedy_FlatArray,0
14.2107,273044962,528664,Greedy_FlatArray,0
14.44,271070470,-1445828,Greedy_FlatArray,0
14.039,273048593,532295,Greedy_FlatArray,0
13.6316,271067156,-1449142,Greedy_FlatArray,0
14.4562,271067560,-1448738,Greedy_FlatArray,0
13.8588,273037602,521304,Greedy_FlatArray,0
13.9371,273034929,518631,Greedy_FlatArray,0
14.5878,271065966,-1450332,Greedy_FlatArray,0
13.3402,271065954,-1450344,Greedy_FlatArray,0
14.5122,271065103,-1451195,Greedy_FlatArray,0
