FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
14.9868,254709755,0,Greedy_FlatArray,0
14.3621,255535302,825547,Greedy_FlatArray,0
17.0221,252973446,-1736309,Greedy_FlatArray,0
13.1213,255203261,493506,Greedy_FlatArray,0
13.9963,254736107,26352,Greedy_FlatArray,0
15.9659,255203761,494006,Greedy_FlatArray,0
14.5871,254736140,26385,Greedy_FlatArray,0
14.0496,255208397,498642,Greedy_FlatArray,0
15.0664,254747329,37574,Greedy_FlatArray,0
15.2872,255197347,487592,Greedy_FlatArray,0
13.8319,254742988,33233,Greedy_FlatArray,0
14.7523,255204566,494811,Greedy_FlatArray,0
14.6865,254736059,26304,Greedy_FlatArray,0
14.4281,255573670,863915,Greedy_FlatArray,0
14.6218,254781233,0,Greedy_FlatArray,1
14.6119,255617284,836051,Greedy_FlatArray,1
14.8231,254814664,33431,Greedy_FlatArray,1
14.8512,255278270,497037,Greedy_FlatArray,1
14.5786,254817584,36351,Greedy_FlatArray,1
15.7128,255281881,500648,Greedy_FlatArray,1
15.2248,254813093,31860,Greedy_FlatArray,1
14.4622,255281311,500078,Greedy_FlatArray,1
14.7926,254812412,31179,Greedy_FlatArray,1
14.7666,255285711,504478,Greedy_FlatArray,1
15.3468,254821880,40647,Greedy_FlatArray,1
14.072,255275134,493901,Greedy_FlatArray,1
14.7633,254821371,40138,Greedy_FlatArray,1
15.7802,255647987,866754,Greedy_FlatArray,1
14.9461,255119726,0,Greedy_FlatArray,2
14.9678,255022714,-97012,Greedy_FlatArray,2
14.5961,255145872,26146,Greedy_FlatArray,2
14.6966,254682264,-437462,Greedy_FlatArray,2
14.8182,255138502,18776,Greedy_FlatArray,2
15.9022,254687406,-432320,Greedy_FlatArray,2
14.9936,255138096,18370,Greedy_FlatArray,2
14.6788,254686787,-432939,Greedy_FlatArray,2
14.774,255146750,27024,Greedy_FlatArray,2
15.3678,254680087,-439639,Greedy_FlatArray,2
14.1494,255146552,26826,Greedy_FlatArray,2
14.4235,254689179,-430547,Greedy_FlatArray,2
15.1435,255137791,18065,Greedy_FlatArray,2
14.504,255062659,-57067,Greedy_FlatArray,2
