FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
14.765,252453147,0,Greedy_FlatArray,0
411.1881,253319774,866627,Greedy_FlatArray,0
13.7543,255844512,3391365,Greedy_FlatArray,0
63.8057,254872353,2419206,Greedy_FlatArray,0
56.1934,255349985,2896838,Greedy_FlatArray,0
15.088,254877617,2424470,Greedy_FlatArray,0
15.931,255348451,2895304,Greedy_FlatArray,0
16.406,254884876,2431729,Greedy_FlatArray,0
16.2279,255337411,2884264,Greedy_FlatArray,0
17.4714,253846055,1392908,Greedy_FlatArray,0
15.057,255344013,2890866,Greedy_FlatArray,0
15.9786,254880402,2427255,Greedy_FlatArray,0
16.5338,255352444,2899297,Greedy_FlatArray,0
16.1104,252644847,191700,Greedy_FlatArray,0
272.7125,254537425,2084278,Greedy_FlatArray,0
12.2446,255674488,3221341,Greedy_FlatArray,0
14.6185,252202195,0,Greedy_FlatArray,1
445.0705,253034299,832104,Greedy_FlatArray,1
14.5863,254861629,2659434,Greedy_FlatArray,1
67.3998,255098914,2896719,Greedy_FlatArray,1
69.6283,254633986,2431791,Greedy_FlatArray,1
52.9808,255105773,2903578,Greedy_FlatArray,1
15.5801,254632739,2430544,Greedy_FlatArray,1
15.0736,253406070,1203875,Greedy_FlatArray,1
15.6119,254637481,2435286,Greedy_FlatArray,1
16.352,255100755,2898560,Greedy_FlatArray,1
16.2608,254637300,2435105,Greedy_FlatArray,1
16.2536,255103230,2901035,Greedy_FlatArray,1
16.2188,254630619,2428424,Greedy_FlatArray,1
16.2474,252398831,196636,Greedy_FlatArray,1
269.3951,253276089,1073894,Greedy_FlatArray,1
8.718599,256039143,3836948,Greedy_FlatArray,1
16.9533,252443083,0,Greedy_FlatArray,2
349.1508,253279071,835988,Greedy_FlatArray,2
11.5206,255848415,3405332,Greedy_FlatArray,2
67.696,252632287,189204,Greedy_FlatArray,2
69.9591,255338244,2895161,Greedy_FlatArray,2
65.70451,254878039,2434956,Greedy_FlatArray,2
16.477,255336323,2893240,Greedy_FlatArray,2
15.6352,254872855,2429772,Greedy_FlatArray,2
17.0857,255336330,2893247,Greedy_FlatArray,2
17.1058,254872831,2429748,Greedy_FlatArray,2
17.5667,255343120,2900037,Greedy_FlatArray,2
16.9835,254863883,2420800,Greedy_FlatArray,2
16.9535,255342236,2899153,Greedy_FlatArray,2
17.8826,252635511,192428,Greedy_FlatArray,2
313.1351,252959459,516376,Greedy_FlatArray,2
