FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
14.0591,272516298,0,Both on,0
14.1463,272310013,-206285,Both on,0
14.44,272369947,-146351,Both on,0
14.0246,271397972,-1118326,Both on,0
14.2919,272474001,-42297,Both on,0
14.5604,272517004,706,Both on,0
13.6348,272308528,-207770,Both on,0
14.4525,272365156,-151142,Both on,0
14.1034,272434588,-81710,Both on,0
14.0521,272468157,-48141,Both on,0
14.283,272509922,-6376,Both on,0
14.2315,272295393,-220905,Both on,0
14.2557,272362731,-153567,Both on,0
14.345,272420352,-95946,Both on,0
14.5284,272451439,-64859,Both on,0
14.3955,272501924,-14374,Both on,0
14.253,272289179,-227119,Both on,0
14.4776,272351036,-165262,Both on,0
14.7675,271356450,-1159848,Both on,0
13.5788,272408838,-107460,Both on,0
14.4485,272406275,-110023,Both on,0
14.705,272405486,-110812,Both on,0
14.5321,271355659,-1160639,Both on,0
14.3265,272406512,-109786,Both on,0
14.605,272406272,-110026,Both on,0
14.2511,272409864,-106434,Both on,0
14.5944,272418605,-97693,Both on,0
14.519,272457197,-59101,Both on,0
14.4769,272499442,-16856,Both on,0
14.7654,272294155,-222143,Both on,0
14.8998,272356907,-159391,Both on,0
14.6035,272413384,-102914,Both on,0
15.0471,272452979,-63319,Both on,0
14.4756,272498248,-18050,Both on,0
15.251,272292394,-223904,Both on,0
13.7893,272362513,-153785,Both on,0
14.7777,272418839,-97459,Both on,0
16.1946,271432111,-1084187,Both on,0
12.9939,272503071,-13227,Both on,0
15.3834,272298917,-217381,Both on,0
15.0078,272357551,-158747,Both on,0
15.3347,272419479,-96819,Both on,0
14.8363,272419276,-97022,Both on,0
15.7142,272424226,-92072,Both on,0
14.6565,272460687,-55611,Both on,0
14.8014,272506641,-9657,Both on,0
14.6794,272296812,-219486,Both on,0
14.9173,271329684,-1186614,Both on,0
14.9194,272419743,-96555,Both on,0
15.3228,272459498,-56800,Both on,0
16.071,272511391,-4907,Both on,0
14.7151,272300921,-215377,Both on,0
14.9484,272364163,-152135,Both on,0
15.2344,272423110,-93188,Both on,0
14.6353,272457292,-59006,Both on,0
15.7923,272505588,-10710,Both on,0
17.8917,272300854,-215444,Both on,0
15.1493,272346802,-169496,Both on,0
14.8907,272410674,-105624,Both on,0
15.2851,272448312,-67986,Both on,0
16.4557,272494562,-21736,Both on,0
13.604,272286683,-229615,Both on,0
15.2463,272352736,-163562,Both on,0
15.0322,271386430,-1129868,Both on,0
15.1243,272445781,-70517,Both on,0
14.8915,272493148,-23150,Both on,0
14.9743,271253968,-1262330,Both on,0
17.0439,271322783,-1193515,Both on,0
13.3268,272418681,-97617,Both on,0
14.9519,272459142,-57156,Both on,0
17.2145,272498167,-18131,Both on,0
12.9436,272297270,-219028,Both on,0
15.3052,272357296,-159002,Both on,0
15.6976,272427642,-88656,Both on,0
15.1285,272450985,-65313,Both on,0
15.9922,272505006,-11292,Both on,0
14.7696,271255060,-1261238,Both on,0
15.5382,272354073,-162225,Both on,0
14.8176,272420770,-95528,Both on,0
14.9773,272453376,-62922,Both on,0
15.2974,272484231,-32067,Both on,0
14.7585,272282304,-233994,Both on,0
15.1788,272290084,-226214,Both on,0
15.0179,271251810,-1264488,Both on,0
15.037,272293289,-223009,Both on,0
15.3036,272288743,-227555,Both on,0
14.8511,272288997,-227301,Both on,0
15.8961,271250692,-1265606,Both on,0
14.7534,272286740,-229558,Both on,0
14.8312,272297794,-218504,Both on,0
15.4531,272298095,-218203,Both on,0
15.2397,272294841,-221457,Both on,0
15.031,272297735,-218563,Both on,0
15.2058,272291877,-224421,Both on,0
14.7657,272292504,-223794,Both on,0
15.2875,272282687,-233611,Both on,0
14.6051,272282701,-233597,Both on,0
15.3725,271242648,-1273650,Both on,0
14.4842,272273037,-243261,Both on,0
15.2478,272276714,-239584,Both on,0
15.1891,272276599,-239699,Both on,0
15.3039,272269974,-246324,Both on,0
14.611,272273180,-243118,Both on,0
15.0332,272271763,-244535,Both on,0
14.9838,272265898,-250400,Both on,0
15.0713,272263874,-252424,Both on,0
15.1388,272262992,-253306,Both on,0
15.2146,272267152,-249146,Both on,0
14.7499,272273834,-242464,Both on,0
15.3543,272273997,-242301,Both on,0
15.4539,272265417,-250881,Both on,0
14.6251,272272831,-243467,Both on,0
14.8724,272268282,-248016,Both on,0
15.1025,272277434,-238864,Both on,0
14.7179,272274488,-241810,Both on,0
15.2027,272271054,-245244,Both on,0
14.9183,272273766,-242532,Both on,0
14.9345,272276383,-239915,Both on,0
14.817,272270967,-245331,Both on,0
15.3704,272274012,-242286,Both on,0
14.7242,272263362,-252936,Both on,0
15.038,271234036,-1282262,Both on,0
14.8183,272268126,-248172,Both on,0
15.0942,272266596,-249702,Both on,0
14.6425,272260802,-255496,Both on,0
15.1789,272263085,-253213,Both on,0
14.7279,272256516,-259782,Both on,0
15.6412,272264346,-251952,Both on,0
14.8088,271232298,-1284000,Both on,0
14.4904,271232286,-1284012,Both on,0
15.2719,272258741,-257557,Both on,0
14.937,272270545,-245753,Both on,0
14.7333,272272581,-243717,Both on,0
15.4107,272270078,-246220,Both on,0
14.3089,272271656,-244642,Both on,0
14.7569,272276759,-239539,Both on,0
15.4864,271232058,-1284240,Both on,0
14.5138,272274848,-241450,Both on,0
15.3628,272270629,-245669,Both on,0
14.7862,272270244,-246054,Both on,0
14.6087,272270167,-246131,Both on,0
14.7995,272265523,-250775,Both on,0
14.6882,272269273,-247025,Both on,0
14.6376,272270064,-246234,Both on,0
14.7351,272255183,-261115,Both on,0
14.9147,271159598,-1356700,Both on,0
15.4626,273159111,642813,Both on,0
14.8089,273089129,572831,Both on,0
14.5674,273087496,571198,Both on,0
14.5379,273084597,568299,Both on,0
14.3756,273084489,568191,Both on,0
15.1338,273087364,571066,Both on,0
14.6021,273091860,575562,Both on,0
14.5714,273086753,570455,Both on,0
14.8065,273086267,569969,Both on,0
14.2206,273101760,585462,Both on,0
14.9357,273104207,587909,Both on,0
14.6302,273102738,586440,Both on,0
14.4504,273095625,579327,Both on,0
14.3769,271096084,-1420214,Both on,0
14.5493,273101361,585063,Both on,0
14.8722,271086181,-1430117,Both on,0
14.8486,271087490,-1428808,Both on,0
14.6149,273078142,561844,Both on,0
14.4866,273077317,561019,Both on,0
14.3932,273082679,566381,Both on,0
14.7453,271085886,-1430412,Both on,0
14.3765,271085874,-1430424,Both on,0
14.1439,273065988,549690,Both on,0
14.6235,271085754,-1430544,Both on,0
14.5537,273068820,552522,Both on,0
14.0681,273062148,545850,Both on,0
14.7429,273064078,547780,Both on,0
14.6737,271083796,-1432502,Both on,0
15.5418,270316771,-2199527,Both on,0
12.8318,273063994,547696,Both on,0
14.9805,271084016,-1432282,Both on,0
14.6814,271083972,-1432326,Both on,0
14.0661,273064884,548586,Both on,0
14.6538,273071879,555581,Both on,0
13.9371,273071654,555356,Both on,0
14.3967,273068442,552144,Both on,0
14.8175,273068029,551731,Both on,0
14.5789,271083870,-1432428,Both on,0
13.8391,271083970,-1432328,Both on,0
14.9949,273065664,549366,Both on,0
14.0944,273056783,540485,Both on,0
14.2557,271077790,-1438508,Both on,0
14.0907,273052046,535748,Both on,0
15.2324,271077342,-1438956,Both on,0
14.1243,273048592,532294,Both on,0
13.9467,273047838,531540,Both on,0
14.6838,271076236,-1440062,Both on,0
14.0502,273048801,532503,Both on,0
14.6454,271076324,-1439974,Both on,0
14.3842,271077032,-1439266,Both on,0
