FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
14.9868,254709755,0,Both on,0
14.3621,255535302,825547,Both on,0
17.0221,252973446,-1736309,Both on,0
13.1213,255203261,493506,Both on,0
13.9963,254736107,26352,Both on,0
15.9659,255203761,494006,Both on,0
14.5871,254736140,26385,Both on,0
14.0496,255208397,498642,Both on,0
15.0664,254747329,37574,Both on,0
15.2872,255197347,487592,Both on,0
13.8319,254742988,33233,Both on,0
14.7523,255204566,494811,Both on,0
14.6865,254736059,26304,Both on,0
14.4281,255573670,863915,Both on,0
14.6218,254781233,0,Both on,1
14.6119,255617284,836051,Both on,1
14.8231,254814664,33431,Both on,1
14.8512,255278270,497037,Both on,1
14.5786,254817584,36351,Both on,1
15.7128,255281881,500648,Both on,1
15.2248,254813093,31860,Both on,1
14.4622,255281311,500078,Both on,1
14.7926,254812412,31179,Both on,1
14.7666,255285711,504478,Both on,1
15.3468,254821880,40647,Both on,1
14.072,255275134,493901,Both on,1
14.7633,254821371,40138,Both on,1
15.7802,255647987,866754,Both on,1
14.9461,255119726,0,Both on,2
14.9678,255022714,-97012,Both on,2
14.5961,255145872,26146,Both on,2
14.6966,254682264,-437462,Both on,2
14.8182,255138502,18776,Both on,2
15.9022,254687406,-432320,Both on,2
14.9936,255138096,18370,Both on,2
14.6788,254686787,-432939,Both on,2
14.774,255146750,27024,Both on,2
15.3678,254680087,-439639,Both on,2
14.1494,255146552,26826,Both on,2
14.4235,254689179,-430547,Both on,2
15.1435,255137791,18065,Both on,2
14.504,255062659,-57067,Both on,2
14.4324,272006275,0,Parallel off,0
14.8074,273226748,1220473,Parallel off,0
14.7588,274404191,2397916,Parallel off,0
14.5187,274255911,2249636,Parallel off,0
15.8987,274408411,2402136,Parallel off,0
14.3545,274262256,2255981,Parallel off,0
15.1575,274714991,2708716,Parallel off,0
14.0425,274212200,2205925,Parallel off,0
14.6731,274358166,2351891,Parallel off,0
14.2876,274259816,2253541,Parallel off,0
14.4117,274406262,2399987,Parallel off,0
15.1852,274257676,2251401,Parallel off,0
14.9667,274011320,0,Parallel off,1
16.6837,272910992,-1100328,Parallel off,1
15.1193,274089354,78034,Parallel off,1
15.5595,272913308,-1098012,Parallel off,1
15.5911,274090871,79551,Parallel off,1
14.6799,273948767,-62553,Parallel off,1
14.6326,274401754,390434,Parallel off,1
14.9294,273898472,-112848,Parallel off,1
14.8916,274042160,30840,Parallel off,1
15.7247,273939807,-71513,Parallel off,1
14.614,274093021,81701,Parallel off,1
14.8348,273941920,-69400,Parallel off,1
19.4854,272027203,0,Parallel off,2
10.9197,273052807,1025604,Parallel off,2
15.0217,274282042,2254839,Parallel off,2
14.6869,274736164,2708961,Parallel off,2
17.3697,274230725,2203522,Parallel off,2
15.0642,274370140,2342937,Parallel off,2
14.0945,274232937,2205734,Parallel off,2
16.6929,274381327,2354124,Parallel off,2
15.1054,274276519,2249316,Parallel off,2
15.5045,274429923,2402720,Parallel off,2
16.2158,273252121,1224918,Parallel off,2
12.653,274735742,2708539,Parallel off,2
14.6367,254509259,0,Parallel off & Burst off,0
14.5661,254626847,117588,Parallel off & Burst off,0
40.8322,256725401,2216142,Parallel off & Burst off,0
4.9702,256727070,2217811,Parallel off & Burst off,0
16.3376,256727184,2217925,Parallel off & Burst off,0
16.7805,256728568,2219309,Parallel off & Burst off,0
14.624,256726590,2217331,Parallel off & Burst off,0
15.1002,256731277,2222018,Parallel off & Burst off,0
14.6319,256729514,2220255,Parallel off & Burst off,0
14.8133,256725385,2216126,Parallel off & Burst off,0
15.0184,256724508,2215249,Parallel off & Burst off,0
15.2638,254629475,120216,Parallel off & Burst off,0
14.0715,257255668,0,Parallel off & Burst off,1
14.5446,255058663,-2197005,Parallel off & Burst off,1
45.301,256255682,-999986,Parallel off & Burst off,1
5.7489,256058167,-1197501,Parallel off & Burst off,1
15.5414,257288930,33262,Parallel off & Burst off,1
15.2153,257746033,490365,Parallel off & Burst off,1
14.2975,257288984,33316,Parallel off & Burst off,1
14.4124,257747823,492155,Parallel off & Burst off,1
17.0264,256255376,-1000292,Parallel off & Burst off,1
11.9947,257751005,495337,Parallel off & Burst off,1
14.8286,257284274,28606,Parallel off & Burst off,1
14.0573,257745692,490024,Parallel off & Burst off,1
14.7989,256886784,0,Parallel off & Burst off,2
14.6194,254689459,-2197325,Parallel off & Burst off,2
48.6854,255886653,-1000131,Parallel off & Burst off,2
9.372601,257379107,492323,Parallel off & Burst off,2
15.771,256921761,34977,Parallel off & Burst off,2
15.2115,257376770,489986,Parallel off & Burst off,2
14.4234,256919424,32640,Parallel off & Burst off,2
14.7395,257380654,493870,Parallel off & Burst off,2
14.7473,256917227,30443,Parallel off & Burst off,2
14.6991,257376816,490032,Parallel off & Burst off,2
14.6716,256916984,30200,Parallel off & Burst off,2
14.8511,257380840,494056,Parallel off & Burst off,2
