FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
14.765,252453147,0,Both on,0
411.1881,253319774,866627,Both on,0
13.7543,255844512,3391365,Both on,0
63.8057,254872353,2419206,Both on,0
56.1934,255349985,2896838,Both on,0
15.088,254877617,2424470,Both on,0
15.931,255348451,2895304,Both on,0
16.406,254884876,2431729,Both on,0
16.2279,255337411,2884264,Both on,0
17.4714,253846055,1392908,Both on,0
15.057,255344013,2890866,Both on,0
15.9786,254880402,2427255,Both on,0
16.5338,255352444,2899297,Both on,0
16.1104,252644847,191700,Both on,0
272.7125,254537425,2084278,Both on,0
12.2446,255674488,3221341,Both on,0
14.6185,252202195,0,Both on,1
445.0705,253034299,832104,Both on,1
14.5863,254861629,2659434,Both on,1
67.3998,255098914,2896719,Both on,1
69.6283,254633986,2431791,Both on,1
52.9808,255105773,2903578,Both on,1
15.5801,254632739,2430544,Both on,1
15.0736,253406070,1203875,Both on,1
15.6119,254637481,2435286,Both on,1
16.352,255100755,2898560,Both on,1
16.2608,254637300,2435105,Both on,1
16.2536,255103230,2901035,Both on,1
16.2188,254630619,2428424,Both on,1
16.2474,252398831,196636,Both on,1
269.3951,253276089,1073894,Both on,1
8.718599,256039143,3836948,Both on,1
16.9533,252443083,0,Both on,2
349.1508,253279071,835988,Both on,2
11.5206,255848415,3405332,Both on,2
67.696,252632287,189204,Both on,2
69.9591,255338244,2895161,Both on,2
65.70451,254878039,2434956,Both on,2
16.477,255336323,2893240,Both on,2
15.6352,254872855,2429772,Both on,2
17.0857,255336330,2893247,Both on,2
17.1058,254872831,2429748,Both on,2
17.5667,255343120,2900037,Both on,2
16.9835,254863883,2420800,Both on,2
16.9535,255342236,2899153,Both on,2
17.8826,252635511,192428,Both on,2
313.1351,252959459,516376,Both on,2
14.3219,253144847,0,Parallel off,0
438.6768,253332867,188020,Parallel off,0
33.7139,255569114,2424267,Parallel off,0
45.3175,256034510,2889663,Parallel off,0
74.0918,254531010,1386163,Parallel off,0
66.4072,256034483,2889636,Parallel off,0
58.3822,255564113,2419266,Parallel off,0
21.2352,256033900,2889053,Parallel off,0
15.548,255570558,2425711,Parallel off,0
17.1745,256022507,2877660,Parallel off,0
17.5551,255564495,2419648,Parallel off,0
17.6978,253330703,185856,Parallel off,0
14.5912,253031459,0,Parallel off,1
465.1073,253219471,188012,Parallel off,1
31.7656,255606000,2574541,Parallel off,1
45.9763,255446202,2414743,Parallel off,1
75.0304,255918930,2887471,Parallel off,1
43.1152,255453040,2421581,Parallel off,1
15.4293,255912107,2880648,Parallel off,1
14.7668,255452609,2421150,Parallel off,1
16.3319,255915973,2884514,Parallel off,1
16.6148,255445959,2414500,Parallel off,1
15.5086,255915527,2884068,Parallel off,1
16.3628,253219031,187572,Parallel off,1
14.4688,252792427,0,Parallel off,2
364.1209,252980399,187972,Parallel off,2
27.8561,255214499,2422072,Parallel off,2
50.6456,255673211,2880784,Parallel off,2
75.6677,255216961,2424534,Parallel off,2
48.1558,255673606,2881179,Parallel off,2
14.2994,255211751,2419324,Parallel off,2
15.0374,255677132,2884705,Parallel off,2
16.3336,255209225,2416798,Parallel off,2
16.535,255678672,2886245,Parallel off,2
16.1812,255216108,2423681,Parallel off,2
16.3932,252979959,187532,Parallel off,2
14.7149,253493735,0,Parallel off & Burst off,0
252.7411,253914055,420320,Parallel off & Burst off,0
533.0899,254955540,1461805,Parallel off & Burst off,0
7.3223,256006969,2513234,Parallel off & Burst off,0
64.6228,255999551,2505816,Parallel off & Burst off,0
69.157,256006027,2512292,Parallel off & Burst off,0
52.6683,256005931,2512196,Parallel off & Burst off,0
16.4154,256004521,2510786,Parallel off & Burst off,0
17.5587,256005365,2511630,Parallel off & Burst off,0
17.8037,256007073,2513338,Parallel off & Burst off,0
17.9112,254952457,1458722,Parallel off & Burst off,0
16.1759,253904835,411100,Parallel off & Burst off,0
14.9132,253643923,0,Parallel off & Burst off,1
520,253830479,186556,Parallel off & Burst off,1
487.1702,255028405,1384482,Parallel off & Burst off,1
6.4644,256524466,2880543,Parallel off & Burst off,1
73.6189,255024493,1380570,Parallel off & Burst off,1
69.7015,256518994,2875071,Parallel off & Burst off,1
70.5177,256055168,2411245,Parallel off & Burst off,1
42.5015,256524864,2880941,Parallel off & Burst off,1
16.6848,256061038,2417115,Parallel off & Burst off,1
19.3702,256519600,2875677,Parallel off & Burst off,1
15.045,256058902,2414979,Parallel off & Burst off,1
17.3615,253822719,178796,Parallel off & Burst off,1
15.763,253157779,0,Parallel off & Burst off,2
217.6269,253578295,420516,Parallel off & Burst off,2
713.8577,254623183,1465404,Parallel off & Burst off,2
7.2248,255671327,2513548,Parallel off & Burst off,2
65.8656,254619541,1461762,Parallel off & Burst off,2
60.526,255663278,2505499,Parallel off & Burst off,2
15.6643,255667123,2509344,Parallel off & Burst off,2
16.6034,255666527,2508748,Parallel off & Burst off,2
16.7161,255664445,2506666,Parallel off & Burst off,2
17.0558,255669385,2511606,Parallel off & Burst off,2
16.3706,255664480,2506701,Parallel off & Burst off,2
16.8193,253569055,411276,Parallel off & Burst off,2
