FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
13.3639,175087655,0,Both on,0
530.7367,176410369,1322714,Both on,0
11.8852,175095103,7448,Both on,0
36.5671,176457770,1370115,Both on,0
48.1429,175095191,7536,Both on,0
39.2201,176500737,1413082,Both on,0
40.2396,175095071,7416,Both on,0
39.199,176520510,1432855,Both on,0
40.349,175095143,7488,Both on,0
15.4582,176547534,1459879,Both on,0
7.5705,175095023,7368,Both on,0
8.0703,176577239,1489584,Both on,0
7.5948,175093591,5936,Both on,0
11.5236,176590876,1503221,Both on,0
4.7954,175097339,9684,Both on,0
7.3657,176602857,1515202,Both on,0
9.4884,176340921,1253266,Both on,0
7.9608,176621478,1533823,Both on,0
7.5209,176363702,1276047,Both on,0
9.5029,176634346,1546691,Both on,0
6.3224,176399670,1312015,Both on,0
7.7392,176648924,1561269,Both on,0
7.6488,175096763,9108,Both on,0
7.8394,176669665,1582010,Both on,0
7.9165,175095699,8044,Both on,0
7.408,176720125,1632470,Both on,0
9.434401,178123824,3036169,Both on,0
6.0638,176505760,1418105,Both on,0
8.0362,176714057,1626402,Both on,0
9.2448,175096823,9168,Both on,0
7.8397,176751729,1664074,Both on,0
7.5357,176519001,1431346,Both on,0
7.6341,176801149,1713494,Both on,0
9.7296,177925000,2837345,Both on,0
5.8651,176701901,1614246,Both on,0
8.5488,175107167,19512,Both on,0
10.886,175083923,-3732,Both on,0
9.5164,176617318,1529663,Both on,0
9.5687,176886419,1798764,Both on,0
4.7558,175095679,8024,Both on,0
11.9788,176920517,1832862,Both on,0
8.0458,176689811,1602156,Both on,0
5.7082,176958012,1870357,Both on,0
8.2514,176751388,1663733,Both on,0
7.3832,176826756,1739101,Both on,0
10.9274,176975608,1887953,Both on,0
5.1911,176791102,1703447,Both on,0
10.0448,176986360,1898705,Both on,0
5.3942,175143747,56092,Both on,0
7.329,177033517,1945862,Both on,0
8.5514,176801961,1714306,Both on,0
6.987,177052646,1964991,Both on,0
10.3162,176841628,1753973,Both on,0
6.2772,177109829,2022174,Both on,0
10.4307,175107547,19892,Both on,0
4.8719,177104972,2017317,Both on,0
10.6116,176887974,1800319,Both on,0
