FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
14.2121,253867923,0,Greedy_FlatArray,0
14.7586,254012364,144441,Greedy_FlatArray,0
14.823,253920391,52468,Greedy_FlatArray,0
14.574,252773800,-1094123,Greedy_FlatArray,0
14.4379,254001501,133578,Greedy_FlatArray,0
14.558,254458824,590901,Greedy_FlatArray,0
16.5913,251777519,-2090404,Greedy_FlatArray,0
12.5563,252773342,-1094581,Greedy_FlatArray,0
14.5941,253943508,75585,Greedy_FlatArray,0
14.2536,254090884,222961,Greedy_FlatArray,0
14.3123,253941989,74066,Greedy_FlatArray,0
14.5072,254098517,230594,Greedy_FlatArray,0
14.6977,252903974,-963949,Greedy_FlatArray,0
14.0415,254102213,234290,Greedy_FlatArray,0
16.2529,252717445,-1150478,Greedy_FlatArray,0
24.5343,253308332,-559591,Greedy_FlatArray,0
10.1105,254867486,999563,Greedy_FlatArray,0
14.2712,254649932,782009,Greedy_FlatArray,0
16.0376,252703291,-1164632,Greedy_FlatArray,0
14.3846,251816355,-2051568,Greedy_FlatArray,0
91.1484,252181587,-1686336,Greedy_FlatArray,0
54.4179,251821419,-2046504,Greedy_FlatArray,0
290.9201,252740659,-1127264,Greedy_FlatArray,0
11.4169,251825331,-2042592,Greedy_FlatArray,0
198.4527,252192423,-1675500,Greedy_FlatArray,0
68.2595,251835363,-2032560,Greedy_FlatArray,0
304.949,252199719,-1668204,Greedy_FlatArray,0
42.2815,251838471,-2029452,Greedy_FlatArray,0
180.6269,252204395,-1663528,Greedy_FlatArray,0
39.8378,251842335,-2025588,Greedy_FlatArray,0
152.1509,252837513,-1030410,Greedy_FlatArray,0
7.7253,251885887,-1982036,Greedy_FlatArray,0
256.8597,252177603,-1690320,Greedy_FlatArray,0
38.0053,251890963,-1976960,Greedy_FlatArray,0
207.3687,252184043,-1683880,Greedy_FlatArray,0
70.5799,251900551,-1967372,Greedy_FlatArray,0
298.9833,252216979,-1650944,Greedy_FlatArray,0
826.5429,251940731,-1927192,Greedy_FlatArray,0
855.2791,252250847,-1617076,Greedy_FlatArray,0
845.3392,252068119,-1799804,Greedy_FlatArray,0
749.2015,252364003,-1503920,Greedy_FlatArray,0
311.728,252090655,-1777268,Greedy_FlatArray,0
815.6047,252384855,-1483068,Greedy_FlatArray,0
284.382,252114575,-1753348,Greedy_FlatArray,0
563.878,252407591,-1460332,Greedy_FlatArray,0
168.833,252127203,-1740720,Greedy_FlatArray,0
523.8211,252421771,-1446152,Greedy_FlatArray,0
173.9887,252146147,-1721776,Greedy_FlatArray,0
728.1132,252229215,-1638708,Greedy_FlatArray,0
532.4891,252165747,-1702176,Greedy_FlatArray,0
615.8162,252455327,-1412596,Greedy_FlatArray,0
100.8587,252176095,-1691828,Greedy_FlatArray,0
497.3112,252367007,-1500916,Greedy_FlatArray,0
390.9349,252199499,-1668424,Greedy_FlatArray,0
748.8664,252489591,-1378332,Greedy_FlatArray,0
172.8067,252214103,-1653820,Greedy_FlatArray,0
632.2925,252401291,-1466632,Greedy_FlatArray,0
350.0265,252227643,-1640280,Greedy_FlatArray,0
505.3491,252520547,-1347376,Greedy_FlatArray,0
162.0686,252244747,-1623176,Greedy_FlatArray,0
646.3342,252537263,-1330660,Greedy_FlatArray,0
165.7892,252261943,-1605980,Greedy_FlatArray,0
741.9805,252273555,-1594368,Greedy_FlatArray,0
585.2008,252563387,-1304536,Greedy_FlatArray,0
181.085,252289843,-1578080,Greedy_FlatArray,0
737.4976,252374975,-1492948,Greedy_FlatArray,0
603.726,252418599,-1449324,Greedy_FlatArray,0
538.1784,252497675,-1370248,Greedy_FlatArray,0
378.2789,252331867,-1536056,Greedy_FlatArray,0
727.1785,252622411,-1245512,Greedy_FlatArray,0
183.1007,252348967,-1518956,Greedy_FlatArray,0
685.0396,252687579,-1180344,Greedy_FlatArray,0
170.8007,252412531,-1455392,Greedy_FlatArray,0
710.6854,252393895,-1474028,Greedy_FlatArray,0
849.6905,252752479,-1115444,Greedy_FlatArray,0
105.9968,252408435,-1459488,Greedy_FlatArray,0
756.8122,252667591,-1200332,Greedy_FlatArray,0
320.9361,252533003,-1334920,Greedy_FlatArray,0
593.4726,252682287,-1185636,Greedy_FlatArray,0
297.0762,252590303,-1277620,Greedy_FlatArray,0
589.5448,252739791,-1128132,Greedy_FlatArray,0
297.6753,252503747,-1364176,Greedy_FlatArray,0
803.8437,252864311,-1003612,Greedy_FlatArray,0
98.286,252520503,-1347420,Greedy_FlatArray,0
768.3998,252881055,-986868,Greedy_FlatArray,0
113.459,252537267,-1330656,Greedy_FlatArray,0
772.2999,252898155,-969768,Greedy_FlatArray,0
108.0912,252417831,-1450092,Greedy_FlatArray,0
684.0144,252704735,-1163188,Greedy_FlatArray,0
238.9257,252470543,-1397380,Greedy_FlatArray,0
802.5295,252830199,-1037724,Greedy_FlatArray,0
100.6472,252482015,-1385908,Greedy_FlatArray,0
637.6296,252844371,-1023552,Greedy_FlatArray,0
111.2706,252493615,-1374308,Greedy_FlatArray,0
549.851,252783427,-1084496,Greedy_FlatArray,0
102.2724,252465159,-1402764,Greedy_FlatArray,0
389.0609,254483697,615774,Greedy_FlatArray,0
9.1513,255837500,1969577,Greedy_FlatArray,0
55.7273,252477827,-1390096,Greedy_FlatArray,0
477.9696,252526319,-1341604,Greedy_FlatArray,0
70.882,252490207,-1377716,Greedy_FlatArray,0
4.278,252490195,-1377728,Greedy_FlatArray,0
60.2661,252490295,-1377628,Greedy_FlatArray,0
50.5805,252489215,-1378708,Greedy_FlatArray,0
9.3453,252489203,-1378720,Greedy_FlatArray,0
10.5982,252489191,-1378732,Greedy_FlatArray,0
9.7917,252489755,-1378168,Greedy_FlatArray,0
10.3307,252489007,-1378916,Greedy_FlatArray,0
10.2842,252505219,-1362704,Greedy_FlatArray,0
176.0863,252547055,-1320868,Greedy_FlatArray,0
303.6293,252591971,-1275952,Greedy_FlatArray,0
281.1003,254537740,669817,Greedy_FlatArray,0
542.4805,254706322,838399,Greedy_FlatArray,0
308.549,255001940,1134017,Greedy_FlatArray,0
509.3307,254983440,1115517,Greedy_FlatArray,0
543.2224,255218412,1350489,Greedy_FlatArray,0
322.3572,255140274,1272351,Greedy_FlatArray,0
293.6216,255362384,1494461,Greedy_FlatArray,0
233.9604,253233839,-634084,Greedy_FlatArray,0
479.6432,253485371,-382552,Greedy_FlatArray,0
352.6616,253388155,-479768,Greedy_FlatArray,0
406.2459,253578739,-289184,Greedy_FlatArray,0
439.7995,253477599,-390324,Greedy_FlatArray,0
474.9723,253903707,35784,Greedy_FlatArray,0
543.4766,253872471,4548,Greedy_FlatArray,0
518.4082,254061731,193808,Greedy_FlatArray,0
449.8545,254173822,305899,Greedy_FlatArray,0
266.3572,254152595,284672,Greedy_FlatArray,0
328.5612,254322384,454461,Greedy_FlatArray,0
397.2636,254302119,434196,Greedy_FlatArray,0
458.5053,254198791,330868,Greedy_FlatArray,0
505.0788,254392331,524408,Greedy_FlatArray,0
488.0914,254319847,451924,Greedy_FlatArray,0
324.6361,254512799,644876,Greedy_FlatArray,0
492.9854,254477351,609428,Greedy_FlatArray,0
432.182,254663011,795088,Greedy_FlatArray,0
410.4393,254521047,653124,Greedy_FlatArray,0
253.249,255346349,1478426,Greedy_FlatArray,0
341.8902,254618391,750468,Greedy_FlatArray,0
475.1465,254953299,1085376,Greedy_FlatArray,0
363.2636,254778575,910652,Greedy_FlatArray,0
274.4676,255047839,1179916,Greedy_FlatArray,0
387.5653,254875571,1007648,Greedy_FlatArray,0
335.1537,255136019,1268096,Greedy_FlatArray,0
412.4858,255087771,1219848,Greedy_FlatArray,0
313.8486,256158818,2290895,Greedy_FlatArray,0
339.9775,255175827,1307904,Greedy_FlatArray,0
560.3705,256308467,2440544,Greedy_FlatArray,0
342.8287,255267051,1399128,Greedy_FlatArray,0
14.6565,255277463,0,Greedy_FlatArray,1
14.5978,255417915,140452,Greedy_FlatArray,1
14.5855,254371854,-905609,Greedy_FlatArray,1
14.7507,255545530,268067,Greedy_FlatArray,1
14.5753,255399446,121983,Greedy_FlatArray,1
15.4136,255538700,261237,Greedy_FlatArray,1
15.4587,254305450,-972013,Greedy_FlatArray,1
12.9795,255491791,214328,Greedy_FlatArray,1
14.3334,255343705,66242,Greedy_FlatArray,1
14.3922,255487778,210315,Greedy_FlatArray,1
14.5807,255343346,65883,Greedy_FlatArray,1
14.2474,255489895,212432,Greedy_FlatArray,1
14.5946,255352569,75106,Greedy_FlatArray,1
14.7307,254125463,-1152000,Greedy_FlatArray,1
19.0757,254847702,-429761,Greedy_FlatArray,1
10.1173,254099713,-1177750,Greedy_FlatArray,1
14.3531,255905166,627703,Greedy_FlatArray,1
16.6651,255105944,-171519,Greedy_FlatArray,1
15.757,253182023,-2095440,Greedy_FlatArray,1
142.3402,254163385,-1114078,Greedy_FlatArray,1
8.682,253258431,-2019032,Greedy_FlatArray,1
241.0477,253554575,-1722888,Greedy_FlatArray,1
157.5899,253264283,-2013180,Greedy_FlatArray,1
179.9867,253558399,-1719064,Greedy_FlatArray,1
74.9029,253272563,-2004900,Greedy_FlatArray,1
300.4658,253564299,-1713164,Greedy_FlatArray,1
41.6193,253275431,-2002032,Greedy_FlatArray,1
154.5527,253569447,-1708016,Greedy_FlatArray,1
65.1454,253280411,-1997052,Greedy_FlatArray,1
154.0654,253574479,-1702984,Greedy_FlatArray,1
65.4072,253286099,-1991364,Greedy_FlatArray,1
182.8411,253580155,-1697308,Greedy_FlatArray,1
67.87,253292927,-1984536,Greedy_FlatArray,1
221.9623,253610847,-1666616,Greedy_FlatArray,1
