FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
14.6367,254509259,0,Greedy_FlatArray,0
14.5661,254626847,117588,Greedy_FlatArray,0
40.8322,256725401,2216142,Greedy_FlatArray,0
4.9702,256727070,2217811,Greedy_FlatArray,0
16.3376,256727184,2217925,Greedy_FlatArray,0
16.7805,256728568,2219309,Greedy_FlatArray,0
14.624,256726590,2217331,Greedy_FlatArray,0
15.1002,256731277,2222018,Greedy_FlatArray,0
14.6319,256729514,2220255,Greedy_FlatArray,0
14.8133,256725385,2216126,Greedy_FlatArray,0
15.0184,256724508,2215249,Greedy_FlatArray,0
15.2638,254629475,120216,Greedy_FlatArray,0
14.0715,257255668,0,Greedy_FlatArray,1
14.5446,255058663,-2197005,Greedy_FlatArray,1
45.301,256255682,-999986,Greedy_FlatArray,1
5.7489,256058167,-1197501,Greedy_FlatArray,1
15.5414,257288930,33262,Greedy_FlatArray,1
15.2153,257746033,490365,Greedy_FlatArray,1
14.2975,257288984,33316,Greedy_FlatArray,1
14.4124,257747823,492155,Greedy_FlatArray,1
17.0264,256255376,-1000292,Greedy_FlatArray,1
11.9947,257751005,495337,Greedy_FlatArray,1
14.8286,257284274,28606,Greedy_FlatArray,1
14.0573,257745692,490024,Greedy_FlatArray,1
14.7989,256886784,0,Greedy_FlatArray,2
14.6194,254689459,-2197325,Greedy_FlatArray,2
48.6854,255886653,-1000131,Greedy_FlatArray,2
9.372601,257379107,492323,Greedy_FlatArray,2
15.771,256921761,34977,Greedy_FlatArray,2
15.2115,257376770,489986,Greedy_FlatArray,2
14.4234,256919424,32640,Greedy_FlatArray,2
14.7395,257380654,493870,Greedy_FlatArray,2
14.7473,256917227,30443,Greedy_FlatArray,2
14.6991,257376816,490032,Greedy_FlatArray,2
14.6716,256916984,30200,Greedy_FlatArray,2
14.8511,257380840,494056,Greedy_FlatArray,2
