FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
14.7149,253493735,0,Greedy_FlatArray,0
252.7411,253914055,420320,Greedy_FlatArray,0
533.0899,254955540,1461805,Greedy_FlatArray,0
7.3223,256006969,2513234,Greedy_FlatArray,0
64.6228,255999551,2505816,Greedy_FlatArray,0
69.157,256006027,2512292,Greedy_FlatArray,0
52.6683,256005931,2512196,Greedy_FlatArray,0
16.4154,256004521,2510786,Greedy_FlatArray,0
17.5587,256005365,2511630,Greedy_FlatArray,0
17.8037,256007073,2513338,Greedy_FlatArray,0
17.9112,254952457,1458722,Greedy_FlatArray,0
16.1759,253904835,411100,Greedy_FlatArray,0
14.9132,253643923,0,Greedy_FlatArray,1
520,253830479,186556,Greedy_FlatArray,1
487.1702,255028405,1384482,Greedy_FlatArray,1
6.4644,256524466,2880543,Greedy_FlatArray,1
73.6189,255024493,1380570,Greedy_FlatArray,1
69.7015,256518994,2875071,Greedy_FlatArray,1
70.5177,256055168,2411245,Greedy_FlatArray,1
42.5015,256524864,2880941,Greedy_FlatArray,1
16.6848,256061038,2417115,Greedy_FlatArray,1
19.3702,256519600,2875677,Greedy_FlatArray,1
15.045,256058902,2414979,Greedy_FlatArray,1
17.3615,253822719,178796,Greedy_FlatArray,1
15.763,253157779,0,Greedy_FlatArray,2
217.6269,253578295,420516,Greedy_FlatArray,2
713.8577,254623183,1465404,Greedy_FlatArray,2
7.2248,255671327,2513548,Greedy_FlatArray,2
65.8656,254619541,1461762,Greedy_FlatArray,2
60.526,255663278,2505499,Greedy_FlatArray,2
15.6643,255667123,2509344,Greedy_FlatArray,2
16.6034,255666527,2508748,Greedy_FlatArray,2
16.7161,255664445,2506666,Greedy_FlatArray,2
17.0558,255669385,2511606,Greedy_FlatArray,2
16.3706,255664480,2506701,Greedy_FlatArray,2
16.8193,253569055,411276,Greedy_FlatArray,2
