FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
691.8743,94114831,0,Greedy_FlatArray,0
828.3652,94584690,469859,Greedy_FlatArray,0
495.1189,94609303,494472,Greedy_FlatArray,0
365.7828,94634602,519771,Greedy_FlatArray,0
448.638,94657651,542820,Greedy_FlatArray,0
472.7116,94682463,567632,Greedy_FlatArray,0
355.8738,94706820,591989,Greedy_FlatArray,0
300.3855,94731449,616618,Greedy_FlatArray,0
346.274,94756014,641183,Greedy_FlatArray,0
339.7944,94778807,663976,Greedy_FlatArray,0
369.1227,94802407,687576,Greedy_FlatArray,0
391.3908,94825264,710433,Greedy_FlatArray,0
354.6913,94849342,734511,Greedy_FlatArray,0
388.5887,94873182,758351,Greedy_FlatArray,0
339.922,94978675,863844,Greedy_FlatArray,0
299.8699,95335524,1220693,Greedy_FlatArray,0
545.8768,95359124,1244293,Greedy_FlatArray,0
309.3136,95382269,1267438,Greedy_FlatArray,0
411.4867,95405844,1291013,Greedy_FlatArray,0
515.3197,100393424,6278593,Greedy_FlatArray,0
345.5233,100349219,6234388,Greedy_FlatArray,0
333.6346,100349167,6234336,Greedy_FlatArray,0
445.3138,100345923,6231092,Greedy_FlatArray,0
597.027,100536775,6421944,Greedy_FlatArray,0
226.1846,100525223,6410392,Greedy_FlatArray,0
386.6363,100585450,6470619,Greedy_FlatArray,0
286.0045,100572737,6457906,Greedy_FlatArray,0
287.0212,100688829,6573998,Greedy_FlatArray,0
508.8042,100361235,6246404,Greedy_FlatArray,0
470.1672,100662541,6547710,Greedy_FlatArray,0
642.2983,100362415,6247584,Greedy_FlatArray,0
262.4892,100710218,6595387,Greedy_FlatArray,0
560.8005,100733260,6618429,Greedy_FlatArray,0
335.1581,100362427,6247596,Greedy_FlatArray,0
555.3874,100892152,6777321,Greedy_FlatArray,0
508.3779,100899657,6784826,Greedy_FlatArray,0
458.1186,101039260,6924429,Greedy_FlatArray,0
320.4005,100879476,6764645,Greedy_FlatArray,0
524.5728,101017205,6902374,Greedy_FlatArray,0
474.998,101043894,6929063,Greedy_FlatArray,0
622.2821,100959298,6844467,Greedy_FlatArray,0
395.9019,101059315,6944484,Greedy_FlatArray,0
163.3851,101008709,6893878,Greedy_FlatArray,0
210.1026,101031575,6916744,Greedy_FlatArray,0
538.3628,101054640,6939809,Greedy_FlatArray,0
581.3307,101190755,7075924,Greedy_FlatArray,0
520.274,101104714,6989883,Greedy_FlatArray,0
355.1946,101242832,7128001,Greedy_FlatArray,0
460.3273,101308141,7193310,Greedy_FlatArray,0
252.9764,101410147,7295316,Greedy_FlatArray,0
288.1153,101363860,7249029,Greedy_FlatArray,0
624.7514,101467239,7352408,Greedy_FlatArray,0
530.3251,101422149,7307318,Greedy_FlatArray,0
592.0448,100660831,6546000,Greedy_FlatArray,0
372.1811,100967395,6852564,Greedy_FlatArray,0
581.774,100930175,6815344,Greedy_FlatArray,0
508.1769,100932111,6817280,Greedy_FlatArray,0
484.5815,101990364,7875533,Greedy_FlatArray,0
465.0905,102014762,7899931,Greedy_FlatArray,0
469.7915,102115028,8000197,Greedy_FlatArray,0
483.2694,101208330,7093499,Greedy_FlatArray,0
492.8334,101051736,6936905,Greedy_FlatArray,0
444.2585,101154204,7039373,Greedy_FlatArray,0
454.5558,101068714,6953883,Greedy_FlatArray,0
347.8381,101205963,7091132,Greedy_FlatArray,0
373.635,101270634,7155803,Greedy_FlatArray,0
450.4209,101200015,7085184,Greedy_FlatArray,0
741.6971,101413778,7298947,Greedy_FlatArray,0
499.4956,101254407,7139576,Greedy_FlatArray,0
457.9701,101318331,7203500,Greedy_FlatArray,0
563.598,101441867,7327036,Greedy_FlatArray,0
637.9062,101527063,7412232,Greedy_FlatArray,0
630.4062,101492043,7377212,Greedy_FlatArray,0
466.3527,101346083,7231252,Greedy_FlatArray,0
529.9548,101688511,7573680,Greedy_FlatArray,0
362.9942,101824842,7710011,Greedy_FlatArray,0
