FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
14.432,256814323,0,Greedy_FlatArray,0
15.1757,256360151,-454172,Greedy_FlatArray,0
15.4479,256815633,1310,Greedy_FlatArray,0
13.7575,254669468,-2144855,Greedy_FlatArray,0
14.7308,256894226,79903,Greedy_FlatArray,0
14.9011,256428524,-385799,Greedy_FlatArray,0
14.4326,256894495,80172,Greedy_FlatArray,0
14.6163,256432956,-381367,Greedy_FlatArray,0
14.5403,256893002,78679,Greedy_FlatArray,0
14.3452,256426104,-388219,Greedy_FlatArray,0
14.6831,255205422,-1608901,Greedy_FlatArray,0
13.7745,256430157,-384166,Greedy_FlatArray,0
14.7598,256573276,-241047,Greedy_FlatArray,0
14.7083,255402484,-1411839,Greedy_FlatArray,0
14.3395,255148009,-1666314,Greedy_FlatArray,0
17.1325,257081183,266860,Greedy_FlatArray,0
12.9434,255045725,-1768598,Greedy_FlatArray,0
15.918,257055184,240861,Greedy_FlatArray,0
16.8864,255057709,-1756614,Greedy_FlatArray,0
15.257,254871577,-1942746,Greedy_FlatArray,0
15.4982,255132117,-1682206,Greedy_FlatArray,0
13.9675,257372226,557903,Greedy_FlatArray,0
19.1025,258083489,1269166,Greedy_FlatArray,0
18.589,257742143,927820,Greedy_FlatArray,0
15.5786,258205504,1391181,Greedy_FlatArray,0
16.2993,257740863,926540,Greedy_FlatArray,0
17.6805,258161272,1346949,Greedy_FlatArray,0
44.4108,257613088,798765,Greedy_FlatArray,0
14.4747,257733829,919506,Greedy_FlatArray,0
23.1729,257584729,770406,Greedy_FlatArray,0
13.924,257701289,886966,Greedy_FlatArray,0
14.3705,257549681,735358,Greedy_FlatArray,0
16.0948,257700666,886343,Greedy_FlatArray,0
17.8248,257256685,442362,Greedy_FlatArray,0
14.4415,257689329,875006,Greedy_FlatArray,0
16.1909,257539352,725029,Greedy_FlatArray,0
15.6733,257657975,843652,Greedy_FlatArray,0
15.6069,257509133,694810,Greedy_FlatArray,0
24.4139,257573508,759185,Greedy_FlatArray,0
22.8111,257372499,558176,Greedy_FlatArray,0
17.3801,257824828,1010505,Greedy_FlatArray,0
17.9648,257669320,854997,Greedy_FlatArray,0
14.6557,257795356,981033,Greedy_FlatArray,0
14.117,257639456,825133,Greedy_FlatArray,0
16.0223,257794085,979762,Greedy_FlatArray,0
35.9703,257502083,687760,Greedy_FlatArray,0
14.068,257777571,963248,Greedy_FlatArray,0
15.5105,257620150,805827,Greedy_FlatArray,0
15.1514,257775899,961576,Greedy_FlatArray,0
16.7114,257590794,776471,Greedy_FlatArray,0
14.6488,257717546,903223,Greedy_FlatArray,0
14.7855,257559364,745041,Greedy_FlatArray,0
15.2796,257590749,776426,Greedy_FlatArray,0
15.3767,257596482,782159,Greedy_FlatArray,0
17.9557,257798492,984169,Greedy_FlatArray,0
20.5446,257612236,797913,Greedy_FlatArray,0
13.7383,257768576,954253,Greedy_FlatArray,0
17.547,257603166,788843,Greedy_FlatArray,0
14.3691,257731091,916768,Greedy_FlatArray,0
15.4237,257612376,798053,Greedy_FlatArray,0
14.7193,257728301,913978,Greedy_FlatArray,0
20.525,258089348,1275025,Greedy_FlatArray,0
12.6516,257618682,804359,Greedy_FlatArray,0
31.3161,257783095,968772,Greedy_FlatArray,0
12.6169,258277812,1463489,Greedy_FlatArray,0
17.4519,257752300,937977,Greedy_FlatArray,0
11.3507,257857471,1043148,Greedy_FlatArray,0
13.1371,258218373,1404050,Greedy_FlatArray,0
14.5344,257657615,843292,Greedy_FlatArray,0
14.7157,257919639,1105316,Greedy_FlatArray,0
15.079,258329419,1515096,Greedy_FlatArray,0
15.3919,257764430,950107,Greedy_FlatArray,0
14.4198,257881786,1067463,Greedy_FlatArray,0
15.0258,258271981,1457658,Greedy_FlatArray,0
15.0019,257735944,921621,Greedy_FlatArray,0
14.5716,257839977,1025654,Greedy_FlatArray,0
14.711,257680542,866219,Greedy_FlatArray,0
14.901,257806791,992468,Greedy_FlatArray,0
14.619,257639978,825655,Greedy_FlatArray,0
14.4735,257802414,988091,Greedy_FlatArray,0
14.7986,257635639,821316,Greedy_FlatArray,0
14.4594,257942987,1128664,Greedy_FlatArray,0
14.3498,257777972,963649,Greedy_FlatArray,0
20.8565,257834292,1019969,Greedy_FlatArray,0
