FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
14.9007,254967763,0,Greedy_FlatArray,0
14.3249,255757463,789700,Greedy_FlatArray,0
15.0158,255301819,334056,Greedy_FlatArray,0
15.6185,255779786,812023,Greedy_FlatArray,0
14.0975,255309448,341685,Greedy_FlatArray,0
14.2178,255786264,818501,Greedy_FlatArray,0
15.3156,255332267,364504,Greedy_FlatArray,0
14.0604,255461941,494178,Greedy_FlatArray,0
15.1651,254995642,27879,Greedy_FlatArray,0
14.2807,252769943,-2197820,Greedy_FlatArray,0
16.3379,254998229,30466,Greedy_FlatArray,0
14.9638,255468262,500499,Greedy_FlatArray,0
14.3312,254997955,30192,Greedy_FlatArray,0
14.5848,255465235,497472,Greedy_FlatArray,0
14.5545,255005046,37283,Greedy_FlatArray,0
15.0533,255461803,494040,Greedy_FlatArray,0
14.6159,254998173,30410,Greedy_FlatArray,0
14.5887,255461296,493533,Greedy_FlatArray,0
17.9064,253561867,-1405896,Greedy_FlatArray,0
11.5428,255802613,834850,Greedy_FlatArray,0
17.2952,255338160,370397,Greedy_FlatArray,0
12.8252,255819823,852060,Greedy_FlatArray,0
15.2772,255843727,0,Greedy_FlatArray,1
15.9607,254947889,-895838,Greedy_FlatArray,1
13.515,256190049,346322,Greedy_FlatArray,1
14.3582,256649954,806227,Greedy_FlatArray,1
15.0442,256202603,358876,Greedy_FlatArray,1
14.2393,254650007,-1193720,Greedy_FlatArray,1
14.7513,255878821,35094,Greedy_FlatArray,1
15.1334,256345229,501502,Greedy_FlatArray,1
15.2239,255876019,32292,Greedy_FlatArray,1
14.7896,256338137,494410,Greedy_FlatArray,1
14.6353,255885330,41603,Greedy_FlatArray,1
14.4814,256338989,495262,Greedy_FlatArray,1
14.8592,255879833,36106,Greedy_FlatArray,1
14.639,256338105,494378,Greedy_FlatArray,1
15.0723,255875959,32232,Greedy_FlatArray,1
14.3577,256345150,501423,Greedy_FlatArray,1
15.132,256202672,358945,Greedy_FlatArray,1
14.5408,256672354,828627,Greedy_FlatArray,1
14.5969,256224995,381268,Greedy_FlatArray,1
14.6347,256700964,857237,Greedy_FlatArray,1
14.807,255395552,0,Greedy_FlatArray,2
14.8946,256170182,774630,Greedy_FlatArray,2
17.3651,253500647,-1894905,Greedy_FlatArray,2
12.0999,256205915,810363,Greedy_FlatArray,2
14.9992,255739819,344267,Greedy_FlatArray,2
14.5299,255880687,485135,Greedy_FlatArray,2
14.1601,255430830,35278,Greedy_FlatArray,2
15.0852,255881774,486222,Greedy_FlatArray,2
15.7411,255419167,23615,Greedy_FlatArray,2
14.6674,255883053,487501,Greedy_FlatArray,2
14.6412,255419143,23591,Greedy_FlatArray,2
14.4815,255890190,494638,Greedy_FlatArray,2
14.9079,255426057,30505,Greedy_FlatArray,2
16.1038,254196110,-1199442,Greedy_FlatArray,2
13.6849,255424032,28480,Greedy_FlatArray,2
14.2235,255885906,490354,Greedy_FlatArray,2
14.9625,255741984,346432,Greedy_FlatArray,2
18.7113,253531801,-1863751,Greedy_FlatArray,2
12.3203,255772983,377431,Greedy_FlatArray,2
