FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
15.9402,174414447,0,Greedy_FlatArray,0
514.0217,175729661,1315214,Greedy_FlatArray,0
13.9157,177242774,2828327,Greedy_FlatArray,0
35.1372,176989008,2574561,Greedy_FlatArray,0
49.2786,177205663,2791216,Greedy_FlatArray,0
39.2658,176956355,2541908,Greedy_FlatArray,0
38.9858,177269964,2855517,Greedy_FlatArray,0
28.8359,177055652,2641205,Greedy_FlatArray,0
8.0567,177286383,2871936,Greedy_FlatArray,0
7.8022,177069784,2655337,Greedy_FlatArray,0
7.7693,177291613,2877166,Greedy_FlatArray,0
9.4556,177052791,2638344,Greedy_FlatArray,0
19.2162,177290556,2876109,Greedy_FlatArray,0
11.7122,177084193,2669746,Greedy_FlatArray,0
11.0649,177251711,2837264,Greedy_FlatArray,0
8.6734,177057891,2643444,Greedy_FlatArray,0
11.1993,177320090,2905643,Greedy_FlatArray,0
8.8272,177092713,2678266,Greedy_FlatArray,0
8.4474,177326602,2912155,Greedy_FlatArray,0
7.9798,177119737,2705290,Greedy_FlatArray,0
15.7662,177327858,2913411,Greedy_FlatArray,0
7.7138,177121185,2706738,Greedy_FlatArray,0
9.3457,177329386,2914939,Greedy_FlatArray,0
8.904799,177122745,2708298,Greedy_FlatArray,0
7.1455,177330946,2916499,Greedy_FlatArray,0
8.1429,177123462,2709015,Greedy_FlatArray,0
9.4803,177320847,2906400,Greedy_FlatArray,0
8.1352,177114700,2700253,Greedy_FlatArray,0
14.9949,177337581,2923134,Greedy_FlatArray,0
11.3002,177131154,2716707,Greedy_FlatArray,0
9.3586,177313584,2899137,Greedy_FlatArray,0
7.8344,177132979,2718532,Greedy_FlatArray,0
7.9988,177328956,2914509,Greedy_FlatArray,0
7.8285,177135145,2720698,Greedy_FlatArray,0
8.263801,177306119,2891672,Greedy_FlatArray,0
9.9369,177138787,2724340,Greedy_FlatArray,0
53.2998,177322513,2908066,Greedy_FlatArray,0
6.4944,177140233,2725786,Greedy_FlatArray,0
11.7505,177347841,2933394,Greedy_FlatArray,0
9.5456,177140235,2725788,Greedy_FlatArray,0
18.9021,177324745,2910298,Greedy_FlatArray,0
5.0808,177142027,2727580,Greedy_FlatArray,0
10.3905,177350249,2935802,Greedy_FlatArray,0
9.5516,177106755,2692308,Greedy_FlatArray,0
35.3068,177352901,2938454,Greedy_FlatArray,0
9.3668,177146837,2732390,Greedy_FlatArray,0
9.5536,177341704,2927257,Greedy_FlatArray,0
8.1096,177133448,2719001,Greedy_FlatArray,0
8.8567,177329901,2915454,Greedy_FlatArray,0
26.8923,177149217,2734770,Greedy_FlatArray,0
11.4062,177358239,2943792,Greedy_FlatArray,0
8.6937,177150494,2736047,Greedy_FlatArray,0
41.8012,177359276,2944829,Greedy_FlatArray,0
4.8662,177152860,2738413,Greedy_FlatArray,0
11.9011,177360623,2946176,Greedy_FlatArray,0
9.5617,177154062,2739615,Greedy_FlatArray,0
8.8182,177349607,2935160,Greedy_FlatArray,0
6.9173,177155358,2740911,Greedy_FlatArray,0
9.871301,177363959,2949512,Greedy_FlatArray,0
9.152901,177156433,2741986,Greedy_FlatArray,0
21.7965,177341967,2927520,Greedy_FlatArray,0
10.3728,177150714,2736267,Greedy_FlatArray,0
8.5121,177358105,2943658,Greedy_FlatArray,0
8.5475,177162863,2748416,Greedy_FlatArray,0
7.2055,177346552,2932105,Greedy_FlatArray,0
10.3981,177150799,2736352,Greedy_FlatArray,0
7.3683,177358628,2944181,Greedy_FlatArray,0
8.1348,177033423,2618976,Greedy_FlatArray,0
111.1824,177380627,2966180,Greedy_FlatArray,0
48.5721,177162655,2748208,Greedy_FlatArray,0
46.4274,177346061,2931614,Greedy_FlatArray,0
40.2079,177056587,2642140,Greedy_FlatArray,0
39.0686,177390733,2976286,Greedy_FlatArray,0
19.6816,177171495,2757048,Greedy_FlatArray,0
7.9772,177356694,2942247,Greedy_FlatArray,0
15.2475,177189143,2774696,Greedy_FlatArray,0
10.9722,177385392,2970945,Greedy_FlatArray,0
9.6356,177085778,2671331,Greedy_FlatArray,0
7.5314,177410529,2996082,Greedy_FlatArray,0
7.965499,177202763,2788316,Greedy_FlatArray,0
7.849,177387492,2973045,Greedy_FlatArray,0
7.5313,177204555,2790108,Greedy_FlatArray,0
8.0921,177412516,2998069,Greedy_FlatArray,0
13.6723,177192755,2778308,Greedy_FlatArray,0
7.1106,177413240,2998793,Greedy_FlatArray,0
9.6263,177205036,2790589,Greedy_FlatArray,0
7.5376,177401493,2987046,Greedy_FlatArray,0
7.4771,177158747,2744300,Greedy_FlatArray,0
8.538501,177409406,2994959,Greedy_FlatArray,0
7.6117,177214164,2799717,Greedy_FlatArray,0
7.8366,177421906,3007459,Greedy_FlatArray,0
15.8574,177189868,2775421,Greedy_FlatArray,0
6.9287,177410125,2995678,Greedy_FlatArray,0
9.5405,177214664,2800217,Greedy_FlatArray,0
7.8876,177409750,2995303,Greedy_FlatArray,0
7.6574,177178620,2764173,Greedy_FlatArray,0
7.5602,177424153,3009706,Greedy_FlatArray,0
7.6487,177191896,2777449,Greedy_FlatArray,0
8.3251,177424905,3010458,Greedy_FlatArray,0
11.9896,177192488,2778041,Greedy_FlatArray,0
9.2905,177379033,2964586,Greedy_FlatArray,0
