FrameTimeMillis,MemoryUsageBytes,Technique
35.2109,0,NaiveDebugWorld
37.7525,2235848,NaiveDebugWorld
39.7317,2237656,NaiveDebugWorld
37.9719,2238152,NaiveDebugWorld
36.7283,2238664,NaiveDebugWorld
40.0818,2239144,NaiveDebugWorld
36.5403,2239624,NaiveDebugWorld
38.5658,2238600,NaiveDebugWorld
37.2672,2239080,NaiveDebugWorld
38.2979,2238536,NaiveDebugWorld
39.9607,2239016,NaiveDebugWorld
36.7592,2239496,NaiveDebugWorld
4.7076,0,CullingDebugWorld
5.0727,5432,CullingDebugWorld
59.4671,397968,CullingDebugWorld
14.1579,397664,CullingDebugWorld
4.9906,402472,CullingDebugWorld
5.9274,402952,CullingDebugWorld
5.3294,403432,CullingDebugWorld
5.0215,403912,CullingDebugWorld
5.6198,404392,CullingDebugWorld
5.5891,404872,CullingDebugWorld
5.1097,405352,CullingDebugWorld
5.2383,405832,CullingDebugWorld
4.897,406344,CullingDebugWorld
5.356,409704,CullingDebugWorld
