FrameTimeMillis,MemoryUsageBytes,Technique
39.9328,0,NaiveDebugWorld
165.303,883216,NaiveDebugWorld
23.0446,2864800,NaiveDebugWorld
27.7564,36167472,NaiveDebugWorld
340.8522,102441656,NaiveDebugWorld
656.5276,104416752,NaiveDebugWorld
19.803,106617800,NaiveDebugWorld
17.9786,172896736,NaiveDebugWorld
426.1289,245885904,NaiveDebugWorld
465.8108,245885560,NaiveDebugWorld
8.0619,245890360,NaiveDebugWorld
5.1606,245890840,NaiveDebugWorld
4.3407,245891320,NaiveDebugWorld
104.6911,245885016,NaiveDebugWorld
48.3164,245891320,NaiveDebugWorld
35.3039,245891800,NaiveDebugWorld
35.9188,245892280,NaiveDebugWorld
35.9699,245892760,NaiveDebugWorld
37.1453,245893240,NaiveDebugWorld
94.6331,248162848,NaiveDebugWorld
18.9334,250443840,NaiveDebugWorld
17.664,325169232,NaiveDebugWorld
496.0492,399896304,NaiveDebugWorld
524.3995,402171016,NaiveDebugWorld
21.9405,404451424,NaiveDebugWorld
18.4016,479181584,NaiveDebugWorld
5.0199,0,CullingDebugWorld
102.8719,764552,CullingDebugWorld
35.077,942272,CullingDebugWorld
9.6951,1290456,CullingDebugWorld
11.0739,1657296,CullingDebugWorld
52.7542,2009728,CullingDebugWorld
11.6258,2390488,CullingDebugWorld
10.7723,2757264,CullingDebugWorld
53.2303,2877568,CullingDebugWorld
56.4803,2877088,CullingDebugWorld
5.4318,2877568,CullingDebugWorld
5.3441,2879400,CullingDebugWorld
5.6346,2879880,CullingDebugWorld
5.2137,2880360,CullingDebugWorld
5.7504,2880840,CullingDebugWorld
7.0173,2881320,CullingDebugWorld
5.0554,2881800,CullingDebugWorld
5.4176,2882280,CullingDebugWorld
5.1697,2882776,CullingDebugWorld
107.5407,2880392,CullingDebugWorld
58.7357,3271064,CullingDebugWorld
12.2008,3661904,CullingDebugWorld
11.5006,3664496,CullingDebugWorld
55.2584,4058536,CullingDebugWorld
14.7888,4450440,CullingDebugWorld
11.9355,4453016,CullingDebugWorld
