FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
20.6847,406447731,0,Culling_FlatArray,0
20.3559,408663260,2215529,Culling_FlatArray,0
20.0871,408781863,2334132,Culling_FlatArray,0
20.2391,408636037,2188306,Culling_FlatArray,0
20.1042,408786289,2338558,Culling_FlatArray,0
21.4948,408642550,2194819,Culling_FlatArray,0
20.3097,408793114,2345383,Culling_FlatArray,0
20.3845,408628709,2180978,Culling_FlatArray,0
20.6503,408792985,2345254,Culling_FlatArray,0
20.4509,408637676,2189945,Culling_FlatArray,0
20.8086,408786265,2338534,Culling_FlatArray,0
19.5606,408637714,2189983,Culling_FlatArray,0
20.4924,408790775,2343044,Culling_FlatArray,0
20.1804,408702643,2254912,Culling_FlatArray,0
14.495,389442854,0,Greedy_FlatArray,0
14.7452,390274312,831458,Greedy_FlatArray,0
14.477,388442092,-1000762,Greedy_FlatArray,0
14.747,389929743,486889,Greedy_FlatArray,0
14.9543,389479131,36277,Greedy_FlatArray,0
15.9588,389935378,492524,Greedy_FlatArray,0
14.2155,388444960,-997894,Greedy_FlatArray,0
14.9864,389940810,497956,Greedy_FlatArray,0
14.491,389471504,28650,Greedy_FlatArray,0
14.4123,389941961,499107,Greedy_FlatArray,0
14.8711,389480983,38129,Greedy_FlatArray,0
14.7429,389930958,488104,Greedy_FlatArray,0
14.4423,389480432,37578,Greedy_FlatArray,0
14.9233,390300233,857379,Greedy_FlatArray,0
20.0565,408651834,0,Culling_FlatArray,1
20.7373,408556342,-95492,Culling_FlatArray,1
20.6573,408692693,40859,Culling_FlatArray,1
20.186,408529029,-122805,Culling_FlatArray,1
20.5654,408692871,41037,Culling_FlatArray,1
21.8694,408535264,-116570,Culling_FlatArray,1
19.9,408692316,40482,Culling_FlatArray,1
20.5579,408537602,-114232,Culling_FlatArray,1
20.3086,408685611,33777,Culling_FlatArray,1
20.3016,408535469,-116365,Culling_FlatArray,1
20.5112,408692530,40696,Culling_FlatArray,1
20.0817,408532754,-119080,Culling_FlatArray,1
20.9645,408692354,40520,Culling_FlatArray,1
20.249,408592186,-59648,Culling_FlatArray,1
14.6064,389373246,0,Greedy_FlatArray,1
14.7986,390190086,816840,Greedy_FlatArray,1
14.8831,389399600,26354,Greedy_FlatArray,1
15.4345,389859654,486408,Greedy_FlatArray,1
14.7573,389396910,23664,Greedy_FlatArray,1
16.5825,389864957,491711,Greedy_FlatArray,1
14.2575,389399594,26348,Greedy_FlatArray,1
16.4511,388169938,-1203308,Greedy_FlatArray,1
13.4003,389399867,26621,Greedy_FlatArray,1
14.4198,389858807,485561,Greedy_FlatArray,1
14.9899,389399843,26597,Greedy_FlatArray,1
15.3546,389863964,490718,Greedy_FlatArray,1
16.8485,389392971,19725,Greedy_FlatArray,1
14.7672,390229052,855806,Greedy_FlatArray,1
20.0407,408540295,0,Culling_FlatArray,2
20.4872,408752311,212016,Culling_FlatArray,2
20.575,408575334,35039,Culling_FlatArray,2
20.3021,408731487,191192,Culling_FlatArray,2
19.937,408575040,34745,Culling_FlatArray,2
22.0799,408730209,189914,Culling_FlatArray,2
19.9064,408568872,28577,Culling_FlatArray,2
20.2352,408730232,189937,Culling_FlatArray,2
21.0447,408580247,39952,Culling_FlatArray,2
19.6025,408723481,183186,Culling_FlatArray,2
20.2031,408579848,39553,Culling_FlatArray,2
20.364,408730337,190042,Culling_FlatArray,2
20.3934,408579933,39638,Culling_FlatArray,2
20.5307,408789223,248928,Culling_FlatArray,2
14.5696,389534882,0,Greedy_FlatArray,2
15.0357,389427764,-107118,Greedy_FlatArray,2
14.916,389564000,29118,Greedy_FlatArray,2
14.6431,389103483,-431399,Greedy_FlatArray,2
14.6629,389555585,20703,Greedy_FlatArray,2
16.1985,389101203,-433679,Greedy_FlatArray,2
14.6858,389564509,29627,Greedy_FlatArray,2
14.9401,389094142,-440740,Greedy_FlatArray,2
14.6083,389563501,28619,Greedy_FlatArray,2
15.0001,389094353,-440529,Greedy_FlatArray,2
15.1289,389565879,30997,Greedy_FlatArray,2
14.0476,389105086,-429796,Greedy_FlatArray,2
14.9603,389557355,22473,Greedy_FlatArray,2
16.2496,389460129,-74753,Greedy_FlatArray,2
