FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
515.4801,94102535,0,Culling_FlatArray,0
574.2594,95458074,1355539,Culling_FlatArray,0
37.0759,96761317,2658782,Culling_FlatArray,0
27.3649,96969515,2866980,Culling_FlatArray,0
48.8519,95219430,1116895,Culling_FlatArray,0
42.1043,95508427,1405892,Culling_FlatArray,0
41.0782,95244095,1141560,Culling_FlatArray,0
41.4451,95353826,1251291,Culling_FlatArray,0
41.6009,95481984,1379449,Culling_FlatArray,0
7.8639,95377501,1274966,Culling_FlatArray,0
7.7642,95432992,1330457,Culling_FlatArray,0
7.9017,95488778,1386243,Culling_FlatArray,0
7.8084,95415885,1313350,Culling_FlatArray,0
7.7538,95546261,1443726,Culling_FlatArray,0
7.7184,95430464,1327929,Culling_FlatArray,0
8.9848,95401151,1298616,Culling_FlatArray,0
8.533299,95634496,1531961,Culling_FlatArray,0
7.895,95414292,1311757,Culling_FlatArray,0
7.8023,95700733,1598198,Culling_FlatArray,0
8.0899,95427572,1325037,Culling_FlatArray,0
8.2173,95733860,1631325,Culling_FlatArray,0
10.2349,97064698,2962163,Culling_FlatArray,0
6.9943,95670272,1567737,Culling_FlatArray,0
8.2938,95546111,1443576,Culling_FlatArray,0
7.1326,95586066,1483531,Culling_FlatArray,0
7.7694,95672212,1569677,Culling_FlatArray,0
7.8179,95539808,1437273,Culling_FlatArray,0
7.5821,95549473,1446938,Culling_FlatArray,0
13.1879,95561075,1458540,Culling_FlatArray,0
19.2314,95867363,1764828,Culling_FlatArray,0
4.3056,100192549,6090014,Culling_FlatArray,0
21.0769,99922420,5819885,Culling_FlatArray,0
16.7868,99932458,5829923,Culling_FlatArray,0
13.3221,99946251,5843716,Culling_FlatArray,0
13.325,99946079,5843544,Culling_FlatArray,0
14.3086,99946067,5843532,Culling_FlatArray,0
16.1972,99957783,5855248,Culling_FlatArray,0
17.6978,100318263,6215728,Culling_FlatArray,0
4.3744,101619536,7517001,Culling_FlatArray,0
10.0331,99946275,5843740,Culling_FlatArray,0
13.5846,99969495,5866960,Culling_FlatArray,0
15.4394,100148284,6045749,Culling_FlatArray,0
18.5389,99946063,5843528,Culling_FlatArray,0
13.3304,100425741,6323206,Culling_FlatArray,0
4.6989,101634905,7532370,Culling_FlatArray,0
8.9937,99945867,5843332,Culling_FlatArray,0
14.2429,100467375,6364840,Culling_FlatArray,0
4.7696,101963878,7861343,Culling_FlatArray,0
8.4155,99945943,5843408,Culling_FlatArray,0
12.1954,99957691,5855156,Culling_FlatArray,0
14.2648,100495915,6393380,Culling_FlatArray,0
4.076,100311531,6208996,Culling_FlatArray,0
12.1403,100006967,5904432,Culling_FlatArray,0
11.4656,100353307,6250772,Culling_FlatArray,0
11.5615,100551958,6449423,Culling_FlatArray,0
6.0525,100490026,6387491,Culling_FlatArray,0
7.3552,99969127,5866592,Culling_FlatArray,0
11.8142,100549486,6446951,Culling_FlatArray,0
13.0958,100810030,6707495,Culling_FlatArray,0
4.8292,100487374,6384839,Culling_FlatArray,0
11.126,100497091,6394556,Culling_FlatArray,0
17.8883,99994059,5891524,Culling_FlatArray,0
14.9449,99957535,5855000,Culling_FlatArray,0
16.3334,100744086,6641551,Culling_FlatArray,0
3.7295,101963915,7861380,Culling_FlatArray,0
9.7557,100595952,6493417,Culling_FlatArray,0
9.527901,100728083,6625548,Culling_FlatArray,0
7.9665,100659539,6557004,Culling_FlatArray,0
7.3591,100768061,6665526,Culling_FlatArray,0
8.1775,99946299,5843764,Culling_FlatArray,0
9.8913,100818640,6716105,Culling_FlatArray,0
5.8936,102138823,8036288,Culling_FlatArray,0
7.4598,100651744,6549209,Culling_FlatArray,0
18.9605,100675691,6573156,Culling_FlatArray,0
9.7116,100861830,6759295,Culling_FlatArray,0
4.1189,102335865,8233330,Culling_FlatArray,0
9.9907,100696252,6593717,Culling_FlatArray,0
9.2059,100902605,6800070,Culling_FlatArray,0
7.8223,100674005,6571470,Culling_FlatArray,0
7.5398,100939324,6836789,Culling_FlatArray,0
7.8011,100812072,6709537,Culling_FlatArray,0
7.6564,100970273,6867738,Culling_FlatArray,0
8.6704,100937465,6834930,Culling_FlatArray,0
6.8273,100950778,6848243,Culling_FlatArray,0
8.0132,100892742,6790207,Culling_FlatArray,0
12.4088,100903960,6801425,Culling_FlatArray,0
20.807,100186615,6084080,Culling_FlatArray,0
48.3735,101567327,7464792,Culling_FlatArray,0
4.8595,102868822,8766287,Culling_FlatArray,0
10.3691,101469536,7367001,Culling_FlatArray,0
10.0615,101639375,7536840,Culling_FlatArray,0
8.2523,100649235,6546700,Culling_FlatArray,0
9.6261,101750366,7647831,Culling_FlatArray,0
7.1987,101639646,7537111,Culling_FlatArray,0
9.5768,101810726,7708191,Culling_FlatArray,0
8.4629,101697552,7595017,Culling_FlatArray,0
9.83,101809836,7707301,Culling_FlatArray,0
7.893,101732198,7629663,Culling_FlatArray,0
8.3176,101866826,7764291,Culling_FlatArray,0
8.6059,101709598,7607063,Culling_FlatArray,0
8.3308,101866908,7764373,Culling_FlatArray,0
8.3689,101684482,7581947,Culling_FlatArray,0
8.197801,101904515,7801980,Culling_FlatArray,0
8.462601,101685305,7582770,Culling_FlatArray,0
8.496301,101950632,7848097,Culling_FlatArray,0
8.3974,100886148,6783613,Culling_FlatArray,0
8.3323,100932842,6830307,Culling_FlatArray,0
8.316,100877726,6775191,Culling_FlatArray,0
8.5361,100962571,6860036,Culling_FlatArray,0
8.8035,100870351,6767816,Culling_FlatArray,0
8.0144,101027138,6924603,Culling_FlatArray,0
8.2696,101196738,7094203,Culling_FlatArray,0
8.7142,101187775,7085240,Culling_FlatArray,0
11.5903,101232871,7130336,Culling_FlatArray,0
7.0013,101219604,7117069,Culling_FlatArray,0
9.4967,101416680,7314145,Culling_FlatArray,0
9.3232,101644746,7542211,Culling_FlatArray,0
9.1559,101623184,7520649,Culling_FlatArray,0
11.3058,101748604,7646069,Culling_FlatArray,0
11.7656,101720053,7617518,Culling_FlatArray,0
10.1338,101694090,7591555,Culling_FlatArray,0
11.5911,101831498,7728963,Culling_FlatArray,0
10.4365,101765759,7663224,Culling_FlatArray,0
10.8862,102188518,8085983,Culling_FlatArray,0
10.4575,102106948,8004413,Culling_FlatArray,0
12.554,102264985,8162450,Culling_FlatArray,0
11.9856,102160979,8058444,Culling_FlatArray,0
10.8669,102278434,8175899,Culling_FlatArray,0
11.4697,102202402,8099867,Culling_FlatArray,0
11.5219,102342409,8239874,Culling_FlatArray,0
11.4637,102173976,8071441,Culling_FlatArray,0
11.2134,102471252,8368717,Culling_FlatArray,0
11.4454,102261158,8158623,Culling_FlatArray,0
11.1395,102532231,8429696,Culling_FlatArray,0
11.5393,102324643,8222108,Culling_FlatArray,0
11.2843,102474934,8372399,Culling_FlatArray,0
11.5133,102341818,8239283,Culling_FlatArray,0
11.2124,102561282,8458747,Culling_FlatArray,0
11.3649,102607692,8505157,Culling_FlatArray,0
11.3504,102582533,8479998,Culling_FlatArray,0
11.0969,102564219,8461684,Culling_FlatArray,0
11.2889,102648933,8546398,Culling_FlatArray,0
11.2735,102578413,8475878,Culling_FlatArray,0
11.356,102698808,8596273,Culling_FlatArray,0
11.3436,102761344,8658809,Culling_FlatArray,0
12.3873,102827609,8725074,Culling_FlatArray,0
11.1764,102941765,8839230,Culling_FlatArray,0
12.8631,103006437,8903902,Culling_FlatArray,0
11.1219,103084889,8982354,Culling_FlatArray,0
12.6929,103040477,8937942,Culling_FlatArray,0
11.2281,103139065,9036530,Culling_FlatArray,0
11.3972,103246592,9144057,Culling_FlatArray,0
10.966,103263498,9160963,Culling_FlatArray,0
12.5112,103343982,9241447,Culling_FlatArray,0
11.2214,103374280,9271745,Culling_FlatArray,0
12.8776,103402146,9299611,Culling_FlatArray,0
11.0532,103445520,9342985,Culling_FlatArray,0
12.5927,103432179,9329644,Culling_FlatArray,0
11.0026,102762535,8660000,Culling_FlatArray,0
12.5677,103672099,9569564,Culling_FlatArray,0
11.2573,103719367,9616832,Culling_FlatArray,0
12.4971,103764966,9662431,Culling_FlatArray,0
11.3506,102935367,8832832,Culling_FlatArray,0
11.3316,104113167,10010632,Culling_FlatArray,0
11.4438,103869583,9767048,Culling_FlatArray,0
11.0642,104124263,10021728,Culling_FlatArray,0
11.3161,103877787,9775252,Culling_FlatArray,0
11.5576,104083486,9980951,Culling_FlatArray,0
11.9961,102805291,8702756,Culling_FlatArray,0
10.2608,104115597,10013062,Culling_FlatArray,0
11.2336,102768331,8665796,Culling_FlatArray,0
11.328,104101882,9999347,Culling_FlatArray,0
11.1628,103895178,9792643,Culling_FlatArray,0
11.4242,104167219,10064684,Culling_FlatArray,0
11.416,103959549,9857014,Culling_FlatArray,0
11.6356,104189178,10086643,Culling_FlatArray,0
11.0148,103910332,9807797,Culling_FlatArray,0
11.1443,103956577,9854042,Culling_FlatArray,0
11.0189,104127160,10024625,Culling_FlatArray,0
11.6598,104180518,10077983,Culling_FlatArray,0
10.5135,104368653,10266118,Culling_FlatArray,0
10.9483,102998003,8895468,Culling_FlatArray,0
11.1512,105887001,11784466,Culling_FlatArray,0
52.3726,103036715,8934180,Culling_FlatArray,0
15.009,104917732,10815197,Culling_FlatArray,0
9.6088,104396540,10294005,Culling_FlatArray,0
12.1948,105042243,10939708,Culling_FlatArray,0
11.1827,104567015,10464480,Culling_FlatArray,0
10.6166,105207313,11104778,Culling_FlatArray,0
11.3416,104877081,10774546,Culling_FlatArray,0
10.3663,105437974,11335439,Culling_FlatArray,0
12.0935,104003475,9900940,Culling_FlatArray,0
11.8588,105487848,11385313,Culling_FlatArray,0
9.6238,105507392,11404857,Culling_FlatArray,0
12.1323,105651872,11549337,Culling_FlatArray,0
10.7568,105885416,11782881,Culling_FlatArray,0
12.2664,105914094,11811559,Culling_FlatArray,0
11.5464,106022422,11919887,Culling_FlatArray,0
12.208,105998013,11895478,Culling_FlatArray,0
10.3928,106248647,12146112,Culling_FlatArray,0
12.0367,106207678,12105143,Culling_FlatArray,0
10.5025,104899595,10797060,Culling_FlatArray,0
11.9704,106431778,12329243,Culling_FlatArray,0
10.6051,106888622,12786087,Culling_FlatArray,0
12.1945,106779855,12677320,Culling_FlatArray,0
10.4829,106948875,12846340,Culling_FlatArray,0
16.4017,106718789,12616254,Culling_FlatArray,0
8.4923,107224466,13121931,Culling_FlatArray,0
8.3702,107072797,12970262,Culling_FlatArray,0
10.4209,107067363,12964828,Culling_FlatArray,0
10.9012,107004734,12902199,Culling_FlatArray,0
10.9925,106959224,12856689,Culling_FlatArray,0
11.0933,107055150,12952615,Culling_FlatArray,0
10.7927,106960886,12858351,Culling_FlatArray,0
11.1022,107135431,13032896,Culling_FlatArray,0
10.4644,107080557,12978022,Culling_FlatArray,0
10.6616,107196555,13094020,Culling_FlatArray,0
10.7636,107151403,13048868,Culling_FlatArray,0
10.8636,105327183,11224648,Culling_FlatArray,0
10.7605,107149404,13046869,Culling_FlatArray,0
10.4661,107432309,13329774,Culling_FlatArray,0
10.459,107344941,13242406,Culling_FlatArray,0
10.6368,107421986,13319451,Culling_FlatArray,0
10.6486,107444073,13341538,Culling_FlatArray,0
10.6056,105647767,11545232,Culling_FlatArray,0
10.6324,107657142,13554607,Culling_FlatArray,0
12.0789,107943284,13840749,Culling_FlatArray,0
11.967,107847191,13744656,Culling_FlatArray,0
10.2744,108357838,14255303,Culling_FlatArray,0
11.6137,106324011,12221476,Culling_FlatArray,0
10.4808,108457196,14354661,Culling_FlatArray,0
10.5482,106294028,12191493,Culling_FlatArray,0
11.7176,106343842,12241307,Culling_FlatArray,0
10.5024,106448352,12345817,Culling_FlatArray,0
10.3052,106531474,12428939,Culling_FlatArray,0
10.515,106463486,12360951,Culling_FlatArray,0
11.6191,106682593,12580058,Culling_FlatArray,0
9.1116,106601601,12499066,Culling_FlatArray,0
10.4182,106774101,12671566,Culling_FlatArray,0
10.8597,106628647,12526112,Culling_FlatArray,0
9.8655,107069946,12967411,Culling_FlatArray,0
10.0762,107009523,12906988,Culling_FlatArray,0
10.3354,107347983,13245448,Culling_FlatArray,0
10.2146,107333165,13230630,Culling_FlatArray,0
9.709,108048048,13945513,Culling_FlatArray,0
11.4267,108521375,14418840,Culling_FlatArray,0
9.5042,108840035,14737500,Culling_FlatArray,0
11.122,108426319,14323784,Culling_FlatArray,0
11.6587,109363452,15260917,Culling_FlatArray,0
10.4435,108914558,14812023,Culling_FlatArray,0
11.2948,109338347,15235812,Culling_FlatArray,0
11.6992,109278774,15176239,Culling_FlatArray,0
8.746,109468247,15365712,Culling_FlatArray,0
11.7038,109499318,15396783,Culling_FlatArray,0
10.8898,110147426,16044891,Culling_FlatArray,0
10.9054,109056283,14953748,Culling_FlatArray,0
10.1618,110214346,16111811,Culling_FlatArray,0
11.0018,109211671,15109136,Culling_FlatArray,0
10.7361,110062603,15960068,Culling_FlatArray,0
13.8476,110122656,16020121,Culling_FlatArray,0
8.7323,110188324,16085789,Culling_FlatArray,0
8.4066,110214941,16112406,Culling_FlatArray,0
11.2525,109549783,15447248,Culling_FlatArray,0
13.6121,110830116,16727581,Culling_FlatArray,0
8.0678,110429856,16327321,Culling_FlatArray,0
10.9926,110858868,16756333,Culling_FlatArray,0
15.8255,110609252,16506717,Culling_FlatArray,0
5.3724,110802854,16700319,Culling_FlatArray,0
10.0851,110701908,16599373,Culling_FlatArray,0
10.4673,110868824,16766289,Culling_FlatArray,0
14.5649,111012381,16909846,Culling_FlatArray,0
7.0402,110554667,16452132,Culling_FlatArray,0
10.3984,111342873,17240338,Culling_FlatArray,0
11.5396,111471221,17368686,Culling_FlatArray,0
11.5518,111597425,17494890,Culling_FlatArray,0
11.6801,112014724,17912189,Culling_FlatArray,0
12.4596,112009892,17907357,Culling_FlatArray,0
10.4132,112328985,18226450,Culling_FlatArray,0
9.3836,112902734,18800199,Culling_FlatArray,0
10.4604,113062174,18959639,Culling_FlatArray,0
11.5855,112887494,18784959,Culling_FlatArray,0
12.3535,113118385,19015850,Culling_FlatArray,0
14.0774,113476589,19374054,Culling_FlatArray,0
9.911799,113109575,19007040,Culling_FlatArray,0
12.1069,112632995,18530460,Culling_FlatArray,0
7.431,113264391,19161856,Culling_FlatArray,0
11.3122,112873229,18770694,Culling_FlatArray,0
10.6613,113522058,19419523,Culling_FlatArray,0
9.9885,113754390,19651855,Culling_FlatArray,0
9.6377,114053715,19951180,Culling_FlatArray,0
11.4492,113954948,19852413,Culling_FlatArray,0
10.2795,114379692,20277157,Culling_FlatArray,0
11.0407,114241986,20139451,Culling_FlatArray,0
10.2423,114753147,20650612,Culling_FlatArray,0
10.0655,114361571,20259036,Culling_FlatArray,0
11.3479,114944420,20841885,Culling_FlatArray,0
11.1669,114874391,20771856,Culling_FlatArray,0
9.704801,115273097,21170562,Culling_FlatArray,0
11.3471,115154391,21051856,Culling_FlatArray,0
10.3324,115469705,21367170,Culling_FlatArray,0
11.1716,114855571,20753036,Culling_FlatArray,0
10.4426,115710921,21608386,Culling_FlatArray,0
10.6841,115463355,21360820,Culling_FlatArray,0
9.8978,115973871,21871336,Culling_FlatArray,0
10.1394,115866990,21764455,Culling_FlatArray,0
9.425,116259359,22156824,Culling_FlatArray,0
9.9461,115883773,21781238,Culling_FlatArray,0
9.5601,116412505,22309970,Culling_FlatArray,0
9.8732,115973901,21871366,Culling_FlatArray,0
9.2025,116820553,22718018,Culling_FlatArray,0
10.1715,116327613,22225078,Culling_FlatArray,0
9.3797,117202398,23099863,Culling_FlatArray,0
9.9741,115998187,21895652,Culling_FlatArray,0
9.3675,117218072,23115537,Culling_FlatArray,0
9.6795,116705198,22602663,Culling_FlatArray,0
11.9885,117409309,23306774,Culling_FlatArray,0
8.9318,116312599,22210064,Culling_FlatArray,0
9.792,117680824,23578289,Culling_FlatArray,0
10.139,117650924,23548389,Culling_FlatArray,0
11.1081,118022221,23919686,Culling_FlatArray,0
10.4082,117667825,23565290,Culling_FlatArray,0
11.2877,118297704,24195169,Culling_FlatArray,0
10.2988,118157188,24054653,Culling_FlatArray,0
9.962,118651023,24548488,Culling_FlatArray,0
10.0008,118350251,24247716,Culling_FlatArray,0
10.2937,118945349,24842814,Culling_FlatArray,0
10.0912,118000071,23897536,Culling_FlatArray,0
11.8276,119262366,25159831,Culling_FlatArray,0
10.4453,118906310,24803775,Culling_FlatArray,0
12.62,119612415,25509880,Culling_FlatArray,0
11.4549,119205755,25103220,Culling_FlatArray,0
11.3924,119825124,25722589,Culling_FlatArray,0
12.5158,119342872,25240337,Culling_FlatArray,0
11.3251,119202755,25100220,Culling_FlatArray,0
12.6761,119745522,25642987,Culling_FlatArray,0
12.6526,120510790,26408255,Culling_FlatArray,0
12.7976,118938071,24835536,Culling_FlatArray,0
12.1924,120702625,26600090,Culling_FlatArray,0
11.7761,120230575,26128040,Culling_FlatArray,0
13.8812,120803241,26700706,Culling_FlatArray,0
10.2329,120440799,26338264,Culling_FlatArray,0
10.0077,121182857,27080322,Culling_FlatArray,0
12.5498,120873741,26771206,Culling_FlatArray,0
10.8688,121819941,27717406,Culling_FlatArray,0
12.8311,121315979,27213444,Culling_FlatArray,0
12.4217,121212619,27110084,Culling_FlatArray,0
14.4855,120957567,26855032,Culling_FlatArray,0
8.8185,122948815,28846280,Culling_FlatArray,0
11.7217,122546321,28443786,Culling_FlatArray,0
12.5351,123348095,29245560,Culling_FlatArray,0
11.2843,122947601,28845066,Culling_FlatArray,0
11.653,122637875,28535340,Culling_FlatArray,0
12.6444,123525623,29423088,Culling_FlatArray,0
12.9066,124419560,30317025,Culling_FlatArray,0
12.2698,124211232,30108697,Culling_FlatArray,0
10.9018,123635867,29533332,Culling_FlatArray,0
13.0667,123231299,29128764,Culling_FlatArray,0
11.7661,125311935,31209400,Culling_FlatArray,0
12.2804,125125321,31022786,Culling_FlatArray,0
11.5279,125608213,31505678,Culling_FlatArray,0
12.2295,125150955,31048420,Culling_FlatArray,0
10.6666,124176735,30074200,Culling_FlatArray,0
11.266,125351215,31248680,Culling_FlatArray,0
11.5221,125999070,31896535,Culling_FlatArray,0
12.7696,123851183,29748648,Culling_FlatArray,0
11.9003,125597687,31495152,Culling_FlatArray,0
23.7935,126193005,32090470,Culling_FlatArray,0
11.2933,125598217,31495682,Culling_FlatArray,0
7.1659,126233067,32130532,Culling_FlatArray,0
9.357599,125701111,31598576,Culling_FlatArray,0
11.7174,126673231,32570696,Culling_FlatArray,0
11.5233,126128971,32026436,Culling_FlatArray,0
11.8625,127032267,32929732,Culling_FlatArray,0
11.4835,126481013,32378478,Culling_FlatArray,0
11.6544,127258229,33155694,Culling_FlatArray,0
11.5368,126704509,32601974,Culling_FlatArray,0
11.4209,127332046,33229511,Culling_FlatArray,0
11.6428,126751374,32648839,Culling_FlatArray,0
11.2584,127678234,33575699,Culling_FlatArray,0
12.526,127051524,32948989,Culling_FlatArray,0
11.8053,127627745,33525210,Culling_FlatArray,0
12.9014,125292967,31190432,Culling_FlatArray,0
11.5478,127978094,33875559,Culling_FlatArray,0
12.4752,127437714,33335179,Culling_FlatArray,0
11.9489,128078123,33975588,Culling_FlatArray,0
11.5418,125609076,31506541,Culling_FlatArray,0
11.9836,126239855,32137320,Culling_FlatArray,0
11.7987,126080552,31978017,Culling_FlatArray,0
10.8226,126574307,32471772,Culling_FlatArray,0
12.8917,126095331,31992796,Culling_FlatArray,0
15.0098,126726163,32623628,Culling_FlatArray,0
21.8118,126831327,32728792,Culling_FlatArray,0
16.1685,127684035,33581500,Culling_FlatArray,0
9.5606,127169191,33066656,Culling_FlatArray,0
7.0766,127787833,33685298,Culling_FlatArray,0
12.0056,127237121,33134586,Culling_FlatArray,0
11.7392,127790488,33687953,Culling_FlatArray,0
11.7954,127466870,33364335,Culling_FlatArray,0
11.6788,128329103,34226568,Culling_FlatArray,0
11.796,128423941,34321406,Culling_FlatArray,0
11.5556,128896839,34794304,Culling_FlatArray,0
13.3382,128999809,34897274,Culling_FlatArray,0
11.4221,129695839,35593304,Culling_FlatArray,0
13.1932,129820683,35718148,Culling_FlatArray,0
11.9175,130005059,35902524,Culling_FlatArray,0
13.1974,130179770,36077235,Culling_FlatArray,0
11.5615,130339911,36237376,Culling_FlatArray,0
13.1541,130493066,36390531,Culling_FlatArray,0
11.8353,131355345,37252810,Culling_FlatArray,0
12.0356,131079326,36976791,Culling_FlatArray,0
11.6929,131556955,37454420,Culling_FlatArray,0
15.9831,131859203,37756668,Culling_FlatArray,0
8.064899,132419434,38316899,Culling_FlatArray,0
11.4239,132173618,38071083,Culling_FlatArray,0
12.0939,132718518,38615983,Culling_FlatArray,0
13.2384,132581763,38479228,Culling_FlatArray,0
11.3851,132965114,38862579,Culling_FlatArray,0
13.1617,132911720,38809185,Culling_FlatArray,0
11.962,133278684,39176149,Culling_FlatArray,0
13.1533,133179779,39077244,Culling_FlatArray,0
11.8137,133320615,39218080,Culling_FlatArray,0
13.221,133157436,39054901,Culling_FlatArray,0
11.845,133412168,39309633,Culling_FlatArray,0
11.8749,133243998,39141463,Culling_FlatArray,0
11.7102,133607358,39504823,Culling_FlatArray,0
12.0692,133481814,39379279,Culling_FlatArray,0
11.9175,133788070,39685535,Culling_FlatArray,0
11.8011,133662275,39559740,Culling_FlatArray,0
11.9364,133880437,39777902,Culling_FlatArray,0
15.8429,133702587,39600052,Culling_FlatArray,0
7.7994,133968789,39866254,Culling_FlatArray,0
13.1108,133374839,39272304,Culling_FlatArray,0
12.397,133197298,39094763,Culling_FlatArray,0
11.6296,133748185,39645650,Culling_FlatArray,0
11.7197,134167483,40064948,Culling_FlatArray,0
11.9164,134469881,40367346,Culling_FlatArray,0
13.5109,134877265,40774730,Culling_FlatArray,0
12.9766,134882159,40779624,Culling_FlatArray,0
12.8852,134666786,40564251,Culling_FlatArray,0
13.1946,134937555,40835020,Culling_FlatArray,0
12.3384,134854699,40752164,Culling_FlatArray,0
11.7558,135192497,41089962,Culling_FlatArray,0
11.925,135030211,40927676,Culling_FlatArray,0
11.7015,135460870,41358335,Culling_FlatArray,0
13.1475,135449115,41346580,Culling_FlatArray,0
13.6986,135883921,41781386,Culling_FlatArray,0
12.912,135678939,41576404,Culling_FlatArray,0
13.9629,136287508,42184973,Culling_FlatArray,0
12.6957,135903595,41801060,Culling_FlatArray,0
15.1924,136726132,42623597,Culling_FlatArray,0
19.5037,137125647,43023112,Culling_FlatArray,0
11.0515,136844139,42741604,Culling_FlatArray,0
11.1647,137563822,43461287,Culling_FlatArray,0
11.5428,137664075,43561540,Culling_FlatArray,0
11.0802,137771595,43669060,Culling_FlatArray,0
