FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
14.2748,272066796,0,Greedy_FlatArray,0
13.6337,272127014,60218,Greedy_FlatArray,0
14.3856,272166194,99398,Greedy_FlatArray,0
14.5684,272214971,148175,Greedy_FlatArray,0
14.2579,272013956,-52840,Greedy_FlatArray,0
14.1438,271034822,-1031974,Greedy_FlatArray,0
14.2507,272134417,67621,Greedy_FlatArray,0
13.98,272173831,107035,Greedy_FlatArray,0
14.6475,272212054,145258,Greedy_FlatArray,0
14.316,272008935,-57861,Greedy_FlatArray,0
14.3681,272068833,2037,Greedy_FlatArray,0
15.0077,272121958,55162,Greedy_FlatArray,0
15.1331,272161149,94353,Greedy_FlatArray,0
15.1938,272203216,136420,Greedy_FlatArray,0
14.5331,271996949,-69847,Greedy_FlatArray,0
14.2818,272058867,-7929,Greedy_FlatArray,0
14.7224,272118471,51675,Greedy_FlatArray,0
17.8484,270011799,-2054997,Greedy_FlatArray,0
10.1557,272191377,124581,Greedy_FlatArray,0
14.5453,271985160,-81636,Greedy_FlatArray,0
14.0391,272048617,-18179,Greedy_FlatArray,0
14.4511,272109874,43078,Greedy_FlatArray,0
14.7813,272112278,45482,Greedy_FlatArray,0
13.9585,272114474,47678,Greedy_FlatArray,0
14.6641,272109603,42807,Greedy_FlatArray,0
14.9847,272107213,40417,Greedy_FlatArray,0
14.5504,271059007,-1007789,Greedy_FlatArray,0
15.2167,271094246,-972550,Greedy_FlatArray,0
14.8676,272149587,82791,Greedy_FlatArray,0
13.7631,272202046,135250,Greedy_FlatArray,0
14.6265,271994456,-72340,Greedy_FlatArray,0
14.5086,272053470,-13326,Greedy_FlatArray,0
14.8558,272119660,52864,Greedy_FlatArray,0
14.7026,272148454,81658,Greedy_FlatArray,0
15.0486,272198195,131399,Greedy_FlatArray,0
14.3681,271987280,-79516,Greedy_FlatArray,0
14.8946,271035004,-1031792,Greedy_FlatArray,0
14.3513,272120932,54136,Greedy_FlatArray,0
15.9437,271069177,-997619,Greedy_FlatArray,0
13.5699,272121988,55192,Greedy_FlatArray,0
14.8498,272119052,52256,Greedy_FlatArray,0
14.2591,271066465,-1000331,Greedy_FlatArray,0
14.8446,272118917,52121,Greedy_FlatArray,0
14.777,272116479,49683,Greedy_FlatArray,0
14.5698,272115258,48462,Greedy_FlatArray,0
14.7637,272125062,58266,Greedy_FlatArray,0
14.8702,272161019,94223,Greedy_FlatArray,0
14.6623,272212052,145256,Greedy_FlatArray,0
14.902,272004911,-61885,Greedy_FlatArray,0
15.031,272062756,-4040,Greedy_FlatArray,0
14.4871,272121407,54611,Greedy_FlatArray,0
14.9118,272164415,97619,Greedy_FlatArray,0
14.8505,272208730,141934,Greedy_FlatArray,0
15.3316,272000679,-66117,Greedy_FlatArray,0
