FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
14.7686,253619868,0,Greedy_FlatArray,0
14.5872,254442610,822742,Greedy_FlatArray,0
14.4432,252613718,-1006150,Greedy_FlatArray,0
14.7841,254119313,499445,Greedy_FlatArray,0
14.5254,253641725,21857,Greedy_FlatArray,0
16.0477,254110740,490872,Greedy_FlatArray,0
15.0562,253648314,28446,Greedy_FlatArray,0
14.1633,254111002,491134,Greedy_FlatArray,0
14.8962,253653416,33548,Greedy_FlatArray,0
14.8674,254106522,486654,Greedy_FlatArray,0
14.4064,253648549,28681,Greedy_FlatArray,0
15.0391,254115739,495871,Greedy_FlatArray,0
14.6608,253641458,21590,Greedy_FlatArray,0
14.6936,254480919,861051,Greedy_FlatArray,0
15.0287,253927708,0,Greedy_Octree,0
15.0343,254393093,465385,Greedy_Octree,0
14.2915,253969996,42288,Greedy_Octree,0
14.753,254417282,489574,Greedy_Octree,0
14.3717,253965660,37952,Greedy_Octree,0
15.9629,254428025,500317,Greedy_Octree,0
15.1186,253958071,30363,Greedy_Octree,0
14.0409,254117435,189727,Greedy_Octree,0
15.0032,253960488,32780,Greedy_Octree,0
14.6736,254117203,189495,Greedy_Octree,0
14.4839,253972144,44436,Greedy_Octree,0
14.7426,254425776,498068,Greedy_Octree,0
14.9035,253969478,41770,Greedy_Octree,0
14.4124,254736571,808863,Greedy_Octree,0
15.1709,254317357,0,Greedy_RLE,0
14.6335,255167550,850193,Greedy_RLE,0
14.7958,254340954,23597,Greedy_RLE,0
14.4642,254816182,498825,Greedy_RLE,0
15.3302,253313974,-1003383,Greedy_RLE,0
15.5552,254814432,497075,Greedy_RLE,0
14.4607,254350614,33257,Greedy_RLE,0
15.26,254808074,490717,Greedy_RLE,0
14.3897,254350590,33233,Greedy_RLE,0
14.8233,254819699,502342,Greedy_RLE,0
15.1437,254346031,28674,Greedy_RLE,0
14.6149,254818253,500896,Greedy_RLE,0
14.6026,254343709,26352,Greedy_RLE,0
14.973,255200368,883011,Greedy_RLE,0
14.6814,254277104,0,Greedy_FlatArray,1
14.4294,254192504,-84600,Greedy_FlatArray,1
15.0106,254312835,35731,Greedy_FlatArray,1
15.258,253844579,-432525,Greedy_FlatArray,1
15.7554,254300386,23282,Greedy_FlatArray,1
15.9185,253849283,-427821,Greedy_FlatArray,1
14.638,254311358,34254,Greedy_FlatArray,1
14.9438,253838340,-438764,Greedy_FlatArray,1
14.6224,254308333,31229,Greedy_FlatArray,1
14.7181,253845166,-431938,Greedy_FlatArray,1
14.8323,254312609,35505,Greedy_FlatArray,1
15.6747,253847211,-429893,Greedy_FlatArray,1
14.3749,254302156,25052,Greedy_FlatArray,1
14.5023,254231513,-45591,Greedy_FlatArray,1
14.7254,253907595,0,Greedy_Octree,1
14.6018,254705426,797831,Greedy_Octree,1
14.7999,253944019,36424,Greedy_Octree,1
14.9533,252712891,-1194704,Greedy_Octree,1
14.9107,253943850,36255,Greedy_Octree,1
15.8397,254404102,496507,Greedy_Octree,1
15.0811,253945770,38175,Greedy_Octree,1
14.8936,254406705,499110,Greedy_Octree,1
14.581,253943243,35648,Greedy_Octree,1
14.9648,254405770,498175,Greedy_Octree,1
14.7908,253950272,42677,Greedy_Octree,1
14.2864,254399763,492168,Greedy_Octree,1
14.8122,253950061,42466,Greedy_Octree,1
14.7921,254729207,821612,Greedy_Octree,1
14.6995,254325867,0,Greedy_RLE,1
14.8022,254227538,-98329,Greedy_RLE,1
14.4699,254349999,24132,Greedy_RLE,1
15.0902,253898543,-427324,Greedy_RLE,1
14.4762,254368080,42213,Greedy_RLE,1
16.1863,253890938,-434929,Greedy_RLE,1
14.2728,254358547,32680,Greedy_RLE,1
14.8193,253898013,-427854,Greedy_RLE,1
14.5428,254355005,29138,Greedy_RLE,1
14.9848,253897786,-428081,Greedy_RLE,1
14.6654,254352276,26409,Greedy_RLE,1
14.7175,253902417,-423450,Greedy_RLE,1
14.8266,254359383,33516,Greedy_RLE,1
14.7283,254255319,-70548,Greedy_RLE,1
13.7136,253693659,0,Greedy_FlatArray,2
17.2927,251837731,-1855928,Greedy_FlatArray,2
11.7965,253726106,32447,Greedy_FlatArray,2
15.0845,254185112,491453,Greedy_FlatArray,2
14.2964,253719980,26321,Greedy_FlatArray,2
16.3638,254185867,492208,Greedy_FlatArray,2
14.322,253717689,24030,Greedy_FlatArray,2
14.4394,254188079,494420,Greedy_FlatArray,2
14.9915,253724806,31147,Greedy_FlatArray,2
14.5652,254179284,485625,Greedy_FlatArray,2
14.3881,252694296,-999363,Greedy_FlatArray,2
14.6404,254193097,499438,Greedy_FlatArray,2
15.36,253720365,26706,Greedy_FlatArray,2
14.6596,254558412,864753,Greedy_FlatArray,2
14.4717,253857397,0,Greedy_Octree,2
14.6201,254310335,452938,Greedy_Octree,2
14.8896,254434195,576798,Greedy_Octree,2
14.4782,253881332,23935,Greedy_Octree,2
14.9189,254019093,161696,Greedy_Octree,2
15.6344,254396401,539004,Greedy_Octree,2
15.8046,252880478,-976919,Greedy_Octree,2
13.9398,254067629,210232,Greedy_Octree,2
14.3367,253883821,26424,Greedy_Octree,2
14.6514,254027606,170209,Greedy_Octree,2
14.6844,254433686,576289,Greedy_Octree,2
15.0842,253888335,30938,Greedy_Octree,2
14.6527,254021427,164030,Greedy_Octree,2
14.4667,253040593,-816804,Greedy_Octree,2
14.7826,254144197,0,Greedy_RLE,2
15.6295,251808331,-2335866,Greedy_RLE,2
26.0709,254172665,28468,Greedy_RLE,2
6.7576,253703672,-440525,Greedy_RLE,2
15.3523,254173068,28871,Greedy_RLE,2
17.477,253717773,-426424,Greedy_RLE,2
14.3117,254168749,24552,Greedy_RLE,2
15.0116,253715044,-429153,Greedy_RLE,2
15.212,254175386,31189,Greedy_RLE,2
14.5116,253706296,-437901,Greedy_RLE,2
14.7517,254179454,35257,Greedy_RLE,2
16.1602,252678401,-1465796,Greedy_RLE,2
13.2614,254179085,34888,Greedy_RLE,2
15.1168,254071487,-72710,Greedy_RLE,2
