FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
15.644,176747635,0,Greedy_FlatArray,0
664.1138,178062993,1315358,Greedy_FlatArray,0
10.2621,177847537,1099902,Greedy_FlatArray,0
38.699,178091586,1343951,Greedy_FlatArray,0
48.3768,176747827,192,Greedy_FlatArray,0
39.3828,178151930,1404295,Greedy_FlatArray,0
40.9471,176747707,72,Greedy_FlatArray,0
39.6085,178174174,1426539,Greedy_FlatArray,0
14.2122,176747779,144,Greedy_FlatArray,0
7.6256,178201685,1454050,Greedy_FlatArray,0
7.9637,176747755,120,Greedy_FlatArray,0
8.4805,178218067,1470432,Greedy_FlatArray,0
16.2571,178029571,1281936,Greedy_FlatArray,0
3.6454,178128846,1381211,Greedy_FlatArray,0
10.2611,178069277,1321642,Greedy_FlatArray,0
9.1542,178138615,1390980,Greedy_FlatArray,0
7.8874,178077350,1329715,Greedy_FlatArray,0
7.6668,178164803,1417168,Greedy_FlatArray,0
7.8706,178127161,1379526,Greedy_FlatArray,0
10.5215,178166725,1419090,Greedy_FlatArray,0
5.7685,176749183,1548,Greedy_FlatArray,0
7.3227,178291515,1543880,Greedy_FlatArray,0
7.7417,178107211,1359576,Greedy_FlatArray,0
7.6952,178312746,1565111,Greedy_FlatArray,0
8.2329,176748207,572,Greedy_FlatArray,0
10.3235,178376914,1629279,Greedy_FlatArray,0
8.4235,176736711,-10924,Greedy_FlatArray,0
4.5678,178414201,1666566,Greedy_FlatArray,0
9.845799,176736687,-10948,Greedy_FlatArray,0
7.1116,178437924,1690289,Greedy_FlatArray,0
7.716,176736567,-11068,Greedy_FlatArray,0
7.5156,178458689,1711054,Greedy_FlatArray,0
9.2243,179595121,2847486,Greedy_FlatArray,0
6.2944,178343295,1595660,Greedy_FlatArray,0
7.8766,178355586,1607951,Greedy_FlatArray,0
7.5255,176748107,472,Greedy_FlatArray,0
7.7265,178513393,1765758,Greedy_FlatArray,0
7.8924,176736467,-11168,Greedy_FlatArray,0
7.5696,178541987,1794352,Greedy_FlatArray,0
9.413501,179899329,3151694,Greedy_FlatArray,0
6.1687,178403541,1655906,Greedy_FlatArray,0
7.4506,178417670,1670035,Greedy_FlatArray,0
7.7325,178453855,1706220,Greedy_FlatArray,0
8.078199,176748027,392,Greedy_FlatArray,0
8.224,178577517,1829882,Greedy_FlatArray,0
7.9476,178458747,1711112,Greedy_FlatArray,0
14.0891,176784635,37000,Greedy_FlatArray,0
17.4328,178458465,1710830,Greedy_FlatArray,0
11.8589,176785599,37964,Greedy_FlatArray,0
12.857,178707137,1959502,Greedy_FlatArray,0
3.6584,179996587,3248952,Greedy_FlatArray,0
10.8812,179991036,3243401,Greedy_FlatArray,0
9.7236,178690162,1942527,Greedy_FlatArray,0
13.7303,178504634,1756999,Greedy_FlatArray,0
12.876,178511681,1764046,Greedy_FlatArray,0
8.904,178741244,1993609,Greedy_FlatArray,0
4.9635,180044489,3296854,Greedy_FlatArray,0
8.6504,178562746,1815111,Greedy_FlatArray,0
7.8706,179057914,2310279,Greedy_FlatArray,0
11.0454,178575073,1827438,Greedy_FlatArray,0
65.5718,178639158,1891523,Greedy_FlatArray,0
12.2672,178889785,2142150,Greedy_FlatArray,0
5.6343,178692535,1944900,Greedy_FlatArray,0
7.7867,178883099,2135464,Greedy_FlatArray,0
9.2602,178679783,1932148,Greedy_FlatArray,0
7.9435,178906959,2159324,Greedy_FlatArray,0
9.753401,178665997,1918362,Greedy_FlatArray,0
14.3888,178973103,2225468,Greedy_FlatArray,0
9.149099,178805870,2058235,Greedy_FlatArray,0
