FrameTimeMillis,MemoryUsageBytes,Technique
38.9294,0,NaiveDebugWorld
38.4166,-1512,NaiveDebugWorld
37.0824,-1128,NaiveDebugWorld
38.7309,-648,NaiveDebugWorld
39.2326,-376,NaiveDebugWorld
37.2276,424,NaiveDebugWorld
37.3686,808,NaiveDebugWorld
39.3428,1288,NaiveDebugWorld
37.6119,1704,NaiveDebugWorld
37.7374,2344,NaiveDebugWorld
37.872,2728,NaiveDebugWorld
38.6302,2984,NaiveDebugWorld
37.1525,3784,NaiveDebugWorld
33.3123,4264,NaiveDebugWorld
37.3175,4648,NaiveDebugWorld
30.4428,5048,NaiveDebugWorld
33.4455,5688,NaiveDebugWorld
33.8624,6328,NaiveDebugWorld
29.5324,6712,NaiveDebugWorld
30.3503,7192,NaiveDebugWorld
27.9164,7448,NaiveDebugWorld
29.0816,8248,NaiveDebugWorld
29.4286,8728,NaiveDebugWorld
29.7305,9112,NaiveDebugWorld
31.1702,9592,NaiveDebugWorld
28.2622,10008,NaiveDebugWorld
28.5434,10648,NaiveDebugWorld
29.8425,11032,NaiveDebugWorld
29.1903,11512,NaiveDebugWorld
31.4436,11880,NaiveDebugWorld
26.9309,12520,NaiveDebugWorld
30.1603,74732736,NaiveDebugWorld
790.2361,76999360,NaiveDebugWorld
36.9052,77023504,NaiveDebugWorld
16.634,151752416,NaiveDebugWorld
508.9446,154009176,NaiveDebugWorld
29.1364,154018104,NaiveDebugWorld
14.3377,228747664,NaiveDebugWorld
514.6578,231015704,NaiveDebugWorld
25.1263,231024720,NaiveDebugWorld
8.5338,264186504,NaiveDebugWorld
221.8028,265161288,NaiveDebugWorld
17.4906,265169696,NaiveDebugWorld
7.871399,298331480,NaiveDebugWorld
224.0891,299302512,NaiveDebugWorld
20.8569,299310536,NaiveDebugWorld
9.808201,299309680,NaiveDebugWorld
4.8662,299310160,NaiveDebugWorld
32.3018,299310960,NaiveDebugWorld
52.1921,299311344,NaiveDebugWorld
51.8253,299311600,NaiveDebugWorld
50.9283,299312400,NaiveDebugWorld
51.7892,299312784,NaiveDebugWorld
52.4142,299313200,NaiveDebugWorld
51.0469,299313744,NaiveDebugWorld
51.7628,299314224,NaiveDebugWorld
50.6082,299314800,NaiveDebugWorld
51.2471,299315184,NaiveDebugWorld
50.9586,299315440,NaiveDebugWorld
52.1779,299316240,NaiveDebugWorld
50.8896,299316624,NaiveDebugWorld
51.3846,299317040,NaiveDebugWorld
51.7864,299317680,NaiveDebugWorld
51.3303,299318064,NaiveDebugWorld
51.3796,299318480,NaiveDebugWorld
51.8764,299319024,NaiveDebugWorld
50.9693,299319504,NaiveDebugWorld
51.7235,299320080,NaiveDebugWorld
51.8418,299320464,NaiveDebugWorld
59.3797,299320880,NaiveDebugWorld
52.2322,299321520,NaiveDebugWorld
51.7333,299321904,NaiveDebugWorld
51.3288,299322320,NaiveDebugWorld
51.2522,299322864,NaiveDebugWorld
48.4447,299323344,NaiveDebugWorld
44.8198,299323920,NaiveDebugWorld
46.9546,299324304,NaiveDebugWorld
50.2313,299324784,NaiveDebugWorld
46.2986,299325360,NaiveDebugWorld
45.2293,299325744,NaiveDebugWorld
45.6882,299326224,NaiveDebugWorld
48.8516,299326800,NaiveDebugWorld
49.2536,299327184,NaiveDebugWorld
44.0184,299327664,NaiveDebugWorld
47.8269,299328240,NaiveDebugWorld
46.1069,299328624,NaiveDebugWorld
44.3728,299329104,NaiveDebugWorld
40.5066,299329520,NaiveDebugWorld
42.4048,299330160,NaiveDebugWorld
42.1808,299330544,NaiveDebugWorld
43.6021,299330960,NaiveDebugWorld
36.2352,299331600,NaiveDebugWorld
40.8578,299331984,NaiveDebugWorld
42.5561,299332240,NaiveDebugWorld
