FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
98.165,2009571211,0,Naive_FlatArray,0
99.5717,2010502017,930806,Naive_FlatArray,0
100.3212,2014862445,5291234,Naive_FlatArray,0
99.3855,2016715939,7144728,Naive_FlatArray,0
103.5491,2017045591,7474380,Naive_FlatArray,0
101.2774,2016713579,7142368,Naive_FlatArray,0
103.3367,2016715795,7144584,Naive_FlatArray,0
99.7881,2016715783,7144572,Naive_FlatArray,0
99.7539,2016713543,7142332,Naive_FlatArray,0
102.3418,2016713531,7142320,Naive_FlatArray,0
98.7537,2016713519,7142308,Naive_FlatArray,0
100.0974,2016713507,7142296,Naive_FlatArray,0
99.9285,2016713495,7142284,Naive_FlatArray,0
99.9009,2016713483,7142272,Naive_FlatArray,0
100.0606,2017760265,8189054,Naive_FlatArray,0
102.065,2023851201,14279990,Naive_FlatArray,0
10.0347,2013829599,0,Culling_FlatArray,0
10.2517,2014809845,980246,Culling_FlatArray,0
13.4483,2014809681,980082,Culling_FlatArray,0
6.8255,2013905279,75680,Culling_FlatArray,0
11.4753,2013904859,75260,Culling_FlatArray,0
10.2771,2013905775,76176,Culling_FlatArray,0
9.9902,2013905763,76164,Culling_FlatArray,0
10.1709,2013905751,76152,Culling_FlatArray,0
10.043,2013905739,76140,Culling_FlatArray,0
10.2877,2013905727,76128,Culling_FlatArray,0
9.9876,2013905715,76116,Culling_FlatArray,0
10.2282,2013905703,76104,Culling_FlatArray,0
10.1054,2013905691,76092,Culling_FlatArray,0
10.8815,2013905679,76080,Culling_FlatArray,0
11.0974,2014833005,1003406,Culling_FlatArray,0
9.6378,2014887417,1057818,Culling_FlatArray,0
10.5564,2014887265,1057666,Culling_FlatArray,0
9.536099,123337247,0,Greedy_FlatArray,0
9.472199,124320715,983468,Greedy_FlatArray,0
9.3364,124320767,983520,Greedy_FlatArray,0
10.2931,124320755,983508,Greedy_FlatArray,0
8.8758,124322259,985012,Greedy_FlatArray,0
9.5148,124322263,985016,Greedy_FlatArray,0
9.6549,124322251,985004,Greedy_FlatArray,0
9.615001,124322239,984992,Greedy_FlatArray,0
9.285,124293539,956292,Greedy_FlatArray,0
9.7212,123342283,5036,Greedy_FlatArray,0
9.2981,123342575,5328,Greedy_FlatArray,0
9.5962,123342563,5316,Greedy_FlatArray,0
10.3785,123343507,6260,Greedy_FlatArray,0
9.6895,123343495,6248,Greedy_FlatArray,0
9.3877,123343467,6220,Greedy_FlatArray,0
9.9495,123343455,6208,Greedy_FlatArray,0
9.0461,123343443,6196,Greedy_FlatArray,0
9.4692,123343431,6184,Greedy_FlatArray,0
9.6615,123343419,6172,Greedy_FlatArray,0
9.2956,123343407,6160,Greedy_FlatArray,0
9.5058,124328743,991496,Greedy_FlatArray,0
9.5606,124328735,991488,Greedy_FlatArray,0
10.2386,124328735,991488,Greedy_FlatArray,0
8.8026,124330147,992900,Greedy_FlatArray,0
9.4296,124330163,992916,Greedy_FlatArray,0
105.4978,2016298367,0,Naive_FlatArray,1
98.45551,2017224784,926417,Naive_FlatArray,1
99.4903,2021316532,5018165,Naive_FlatArray,1
100.5214,2024996928,8698561,Naive_FlatArray,1
99.1986,2025488456,9190089,Naive_FlatArray,1
104.2031,2023441239,7142872,Naive_FlatArray,1
137.0841,2023773545,7475178,Naive_FlatArray,1
61.5334,2023443291,7144924,Naive_FlatArray,1
103.7293,2023440975,7142608,Naive_FlatArray,1
99.94749,2023440975,7142608,Naive_FlatArray,1
99.9201,2023441539,7143172,Naive_FlatArray,1
101.4228,2023440951,7142584,Naive_FlatArray,1
99.6179,2023440927,7142560,Naive_FlatArray,1
100.0972,2023440927,7142560,Naive_FlatArray,1
100.2518,2023440903,7142536,Naive_FlatArray,1
101.3705,2023440903,7142536,Naive_FlatArray,1
101.7383,2024370896,8072529,Naive_FlatArray,1
99.4838,2032116016,15817649,Naive_FlatArray,1
10.1256,2020578879,0,Culling_FlatArray,1
10.2468,2021504189,925310,Culling_FlatArray,1
10.3014,2021558813,979934,Culling_FlatArray,1
10.2111,2020654119,75240,Culling_FlatArray,1
10.3102,2020658423,79544,Culling_FlatArray,1
11.4775,2020658399,79520,Culling_FlatArray,1
10.0594,2020659355,80476,Culling_FlatArray,1
10.2707,2020659331,80452,Culling_FlatArray,1
10.079,2020659315,80436,Culling_FlatArray,1
10.0263,2020659291,80412,Culling_FlatArray,1
10.0121,2020659291,80412,Culling_FlatArray,1
10.3408,2020659267,80388,Culling_FlatArray,1
10.0622,2020659267,80388,Culling_FlatArray,1
9.9798,2020659243,80364,Culling_FlatArray,1
10.3745,2021586437,1007558,Culling_FlatArray,1
9.9641,2021640709,1061830,Culling_FlatArray,1
9.6412,130088555,0,Greedy_FlatArray,1
9.2806,131072027,983472,Greedy_FlatArray,1
9.203,131072079,983524,Greedy_FlatArray,1
9.433499,131073587,985032,Greedy_FlatArray,1
10.1449,131073575,985020,Greedy_FlatArray,1
9.251801,131073563,985008,Greedy_FlatArray,1
9.4856,131045399,956844,Greedy_FlatArray,1
9.4582,130093855,5300,Greedy_FlatArray,1
9.8184,130093903,5348,Greedy_FlatArray,1
10.6354,130093879,5324,Greedy_FlatArray,1
9.2893,130094847,6292,Greedy_FlatArray,1
9.3202,130094823,6268,Greedy_FlatArray,1
9.4378,130094807,6252,Greedy_FlatArray,1
9.339,130094783,6228,Greedy_FlatArray,1
9.6773,130094783,6228,Greedy_FlatArray,1
9.5228,130094759,6204,Greedy_FlatArray,1
9.4165,130094759,6204,Greedy_FlatArray,1
9.0967,130094735,6180,Greedy_FlatArray,1
10.0066,131080115,991560,Greedy_FlatArray,1
9.560699,131080091,991536,Greedy_FlatArray,1
9.684501,131081543,992988,Greedy_FlatArray,1
9.9249,131081519,992964,Greedy_FlatArray,1
8.911301,131081519,992964,Greedy_FlatArray,1
99.8848,2016472083,0,Naive_FlatArray,2
103.6484,2017416235,944152,Naive_FlatArray,2
97.6099,2021749263,5277180,Naive_FlatArray,2
99.8533,2023617459,7145376,Naive_FlatArray,2
100.1645,2024541263,8069180,Naive_FlatArray,2
102.6323,2023615111,7143028,Naive_FlatArray,2
104.8456,2023617327,7145244,Naive_FlatArray,2
102.1421,2023617891,7145808,Naive_FlatArray,2
99.8611,2023615075,7142992,Naive_FlatArray,2
99.75861,2023615063,7142980,Naive_FlatArray,2
99.9772,2023615627,7143544,Naive_FlatArray,2
99.9164,2023615039,7142956,Naive_FlatArray,2
102.2886,2023615027,7142944,Naive_FlatArray,2
99.2635,2023615015,7142932,Naive_FlatArray,2
99.9318,2026969715,10497632,Naive_FlatArray,2
99.7819,2028651175,12179092,Naive_FlatArray,2
99.9124,2032313003,15840920,Naive_FlatArray,2
10.6233,2020765275,0,Culling_FlatArray,2
9.9228,2021690555,925280,Culling_FlatArray,2
9.996799,2021745083,979808,Culling_FlatArray,2
10.3336,2020840959,75684,Culling_FlatArray,2
10.9747,2020840551,75276,Culling_FlatArray,2
11.1953,2020841443,76168,Culling_FlatArray,2
10.0458,2020841443,76168,Culling_FlatArray,2
10.3604,2020841419,76144,Culling_FlatArray,2
10.227,2020841419,76144,Culling_FlatArray,2
10.46,2020841395,76120,Culling_FlatArray,2
9.9382,2020841395,76120,Culling_FlatArray,2
10.2257,2020841371,76096,Culling_FlatArray,2
11.0162,2020841371,76096,Culling_FlatArray,2
10.2136,2020841347,76072,Culling_FlatArray,2
10.2535,2021769139,1003864,Culling_FlatArray,2
9.8782,2021822695,1057420,Culling_FlatArray,2
11.3563,2021821871,1056596,Culling_FlatArray,2
8.9994,130270731,0,Greedy_FlatArray,2
9.6504,131254407,983676,Greedy_FlatArray,2
9.3449,131254459,983728,Greedy_FlatArray,2
9.9914,131254447,983716,Greedy_FlatArray,2
9.9935,131255967,985236,Greedy_FlatArray,2
8.686,131255955,985224,Greedy_FlatArray,2
9.6765,131255943,985212,Greedy_FlatArray,2
33.72,131227767,957036,Greedy_FlatArray,2
3.8775,130276019,5288,Greedy_FlatArray,2
10.0406,130276055,5324,Greedy_FlatArray,2
12.3685,130277011,6280,Greedy_FlatArray,2
9.4622,130276999,6268,Greedy_FlatArray,2
9.4433,130276971,6240,Greedy_FlatArray,2
9.9163,130276959,6228,Greedy_FlatArray,2
9.3955,130276947,6216,Greedy_FlatArray,2
9.2976,130276935,6204,Greedy_FlatArray,2
9.4561,130276923,6192,Greedy_FlatArray,2
9.5265,130276911,6180,Greedy_FlatArray,2
9.669001,130276899,6168,Greedy_FlatArray,2
9.5779,131262459,991728,Greedy_FlatArray,2
9.4091,131262435,991704,Greedy_FlatArray,2
11.7439,131262435,991704,Greedy_FlatArray,2
7.122,131263835,993104,Greedy_FlatArray,2
9.6,131263851,993120,Greedy_FlatArray,2
9.2923,131263827,993096,Greedy_FlatArray,2
9.6703,131263827,993096,Greedy_FlatArray,2
