FrameTimeMillis,MemoryUsageBytes,MemoryDifferenceBytes,Technique,RepeatNumber
511.6149,109245433,0,Naive_FlatArray,0
293.6939,109624965,379532,Naive_FlatArray,0
48.1331,109624873,379440,Naive_FlatArray,0
17.4726,109624861,379428,Naive_FlatArray,0
47.1896,109624689,379256,Naive_FlatArray,0
42.6312,109624933,379500,Naive_FlatArray,0
42.6451,109624825,379392,Naive_FlatArray,0
33.5389,109624813,379380,Naive_FlatArray,0
9.3413,109624641,379208,Naive_FlatArray,0
6.5977,109624629,379196,Naive_FlatArray,0
8.2141,109624617,379184,Naive_FlatArray,0
7.9384,109624717,379284,Naive_FlatArray,0
8.6115,109624705,379272,Naive_FlatArray,0
7.1629,109624837,379404,Naive_FlatArray,0
9.7795,109624825,379392,Naive_FlatArray,0
8.732499,109624813,379380,Naive_FlatArray,0
8.694301,109624801,379368,Naive_FlatArray,0
6.406,114588243,5342810,Naive_FlatArray,0
31.301,114588135,5342702,Naive_FlatArray,0
6.8721,114588123,5342690,Naive_FlatArray,0
6.5251,114551439,5306006,Naive_FlatArray,0
13.8593,114699085,5453652,Naive_FlatArray,0
7.316,114699935,5454502,Naive_FlatArray,0
10.0223,114626611,5381178,Naive_FlatArray,0
6.1555,114778125,5532692,Naive_FlatArray,0
10.0714,115520244,6274811,Naive_FlatArray,0
9.0541,115787200,6541767,Naive_FlatArray,0
9.0998,114673279,5427846,Naive_FlatArray,0
9.3871,114675215,5429782,Naive_FlatArray,0
8.0899,114639537,5394104,Naive_FlatArray,0
7.4837,114677171,5431738,Naive_FlatArray,0
8.1695,114753441,5508008,Naive_FlatArray,0
8.2186,115131831,5886398,Naive_FlatArray,0
8.1497,114795929,5550496,Naive_FlatArray,0
9.9953,114911877,5666444,Naive_FlatArray,0
9.4492,115580432,6334999,Naive_FlatArray,0
8.4757,115959571,6714138,Naive_FlatArray,0
10.5328,115443784,6198351,Naive_FlatArray,0
11.5671,115747483,6502050,Naive_FlatArray,0
9.6127,116164145,6918712,Naive_FlatArray,0
7.6916,114816635,5571202,Naive_FlatArray,0
8.984301,114952897,5707464,Naive_FlatArray,0
21.501,114697303,5451870,Naive_FlatArray,0
6.2111,115314579,6069146,Naive_FlatArray,0
