FrameTimeMillis,MemoryUsageBytes,Technique,RepeatNumber
12.2944,0,Culling_FlatArray,0
21.3214,607267,Culling_FlatArray,0
12.7533,81840,Culling_FlatArray,0
12.8834,81980,Culling_FlatArray,0
13.2778,76672,Culling_FlatArray,0
10.3542,84772,Culling_FlatArray,0
11.487,85264,Culling_FlatArray,0
12.3175,85708,Culling_FlatArray,0
11.9113,86216,Culling_FlatArray,0
11.9948,86660,Culling_FlatArray,0
11.5032,87184,Culling_FlatArray,0
12.2667,87628,Culling_FlatArray,0
10.6239,88120,Culling_FlatArray,0
12.7878,705257,Culling_FlatArray,0
11.7085,0,Greedy_FlatArray,0
11.9345,282670,Greedy_FlatArray,0
11.8655,42584,Greedy_FlatArray,0
12.8728,42124,Greedy_FlatArray,0
11.264,10232,Greedy_FlatArray,0
11.8512,39812,Greedy_FlatArray,0
12.2889,46080,Greedy_FlatArray,0
11.3888,46572,Greedy_FlatArray,0
12.2915,47016,Greedy_FlatArray,0
10.5814,47524,Greedy_FlatArray,0
11.6061,47968,Greedy_FlatArray,0
11.0512,48492,Greedy_FlatArray,0
13.3145,48936,Greedy_FlatArray,0
10.9489,334628,Greedy_FlatArray,0
